Event Day,ShipType,CommodityType,Constraint
0,T-ACS,CSS-ENGINEER,true
0,T-ACS,CSS-MEDICAL,true
0,T-ACS,CSS-SIGNAL,true
0,T-ACS,CSS-SUPPLY,true
0,T-ACS,CSS-TRANSPOR,true
0,T-ACS,CSS-OTHER,true
0,T-ACS,NAVY-UE,true
0,T-ACS,RESUPPLY,true
0,T-ACS,AMMUNITION,true
0,T-ACS,POL,true
0,T-ACS,GEN-RESUPPLY,true
0,T-ACS,GEN-AMMO,true
0,T-ACS,GEN-POL,true
0,T-AH,AF-AIRCRAFT,true
0,T-AH,AF-SUPPORT,true
0,T-AH,AF-PREPO,true
0,T-AH,MARINE-PREPO,true
0,T-AH,ARMY-PREPO,true
0,T-AH,AIRBORNE,true
0,T-AH,ARMOR,true
0,T-AH,MECH-INFANTR,true
0,T-AH,AIRMOBILE,true
0,T-AH,CBAC,true
0,T-AH,INFANTRY,true
0,T-AH,ARMOR-CAV,true
0,T-AH,AMPH-MARINES,true
0,T-AH,MARINES,true
0,T-AH,CS-ENGINEER,true
0,T-AH,CS-ARTILLERY,true
0,T-AH,CS-OTHER,true
0,T-AH,CSS-ENGINEER,true
0,T-AH,CSS-MEDICAL,true
0,T-AH,CSS-SIGNAL,true
0,T-AH,CSS-SUPPLY,true
0,T-AH,CSS-TRANSPOR,true
0,T-AH,CSS-OTHER,true
0,T-AH,NAVY-UE,true
0,T-AH,RESUPPLY,true
0,T-AH,AMMUNITION,true
0,T-AH,POL,true
0,T-AH,GEN-RESUPPLY,true
0,T-AH,GEN-AMMO,true
0,T-AH,GEN-POL,true
0,VISA CONT,AF-AIRCRAFT,true
0,VISA CONT,AF-SUPPORT,true
0,VISA CONT,AF-PREPO,true
0,VISA CONT,MARINE-PREPO,true
0,VISA CONT,ARMY-PREPO,true
0,VISA CONT,AIRBORNE,true
0,VISA CONT,ARMOR,true
0,VISA CONT,MECH-INFANTR,true
0,VISA CONT,AIRMOBILE,true
0,VISA CONT,CBAC,true
0,VISA CONT,INFANTRY,true
0,VISA CONT,ARMOR-CAV,true
0,VISA CONT,AMPH-MARINES,true
0,VISA CONT,MARINES,true
0,VISA CONT,CS-ENGINEER,true
0,VISA CONT,CS-ARTILLERY,true
0,VISA CONT,CS-OTHER,true
0,VISA CONT,CSS-ENGINEER,true
0,VISA CONT,CSS-MEDICAL,true
0,VISA CONT,CSS-SIGNAL,true
0,VISA CONT,CSS-SUPPLY,true
0,VISA CONT,CSS-TRANSPOR,true
0,VISA CONT,CSS-OTHER,true
0,VISA CONT,NAVY-UE,true
0,VISA CONT,RESUPPLY,true
0,VISA CONT,AMMUNITION,true
0,VISA CONT,POL,true
0,VISA CONT,GEN-RESUPPLY,true
0,VISA CONT,GEN-AMMO,true
0,VISA CONT,GEN-POL,true
