Seaport,Contains,Commodity Type
ENCN,true,AF-AIRCRAFT
ENCN,true,AF-SUPPORT
ENCN,true,AF-PREPO
ENCN,true,MARINE-PREPO
ENCN,true,ARMY-PREPO
ENCN,true,AIRBORNE
ENCN,true,ARMOR
ENCN,true,MECH-INFANTR
ENCN,true,AIRMOBILE
ENCN,true,CBAC
ENCN,true,INFANTRY
ENCN,true,ARMOR-CAV
ENCN,true,AMPH-MARINES
ENCN,true,MARINES
ENCN,true,CS-ENGINEER
ENCN,true,CS-ARTILLERY
ENCN,true,CS-OTHER
ENCN,true,CSS-ENGINEER
ENCN,true,CSS-MEDICAL
ENCN,true,CSS-SIGNAL
ENCN,true,CSS-SUPPLY
ENCN,true,CSS-TRANSPOR
ENCN,true,CSS-OTHER
ENCN,true,NAVY-UE
ENCN,true,RESUPPLY
ENCN,true,AMMUNITION
ENCN,true,POL
ENCN,true,GEN-RESUPPLY
ENCN,true,GEN-AMMO
ENCN,true,GEN-POL
EZMU,true,AF-AIRCRAFT
EZMU,true,AF-SUPPORT
EZMU,true,AF-PREPO
EZMU,true,MARINE-PREPO
EZMU,true,ARMY-PREPO
EZMU,true,AIRBORNE
EZMU,true,ARMOR
EZMU,true,MECH-INFANTR
EZMU,true,AIRMOBILE
EZMU,true,CBAC
EZMU,true,INFANTRY
EZMU,true,ARMOR-CAV
EZMU,true,AMPH-MARINES
EZMU,true,MARINES
EZMU,true,CS-ENGINEER
EZMU,true,CS-ARTILLERY
EZMU,true,CS-OTHER
EZMU,true,CSS-ENGINEER
EZMU,true,CSS-MEDICAL
EZMU,true,CSS-SIGNAL
EZMU,true,CSS-SUPPLY
EZMU,true,CSS-TRANSPOR
EZMU,true,CSS-OTHER
EZMU,true,NAVY-UE
EZMU,true,RESUPPLY
EZMU,true,AMMUNITION
EZMU,true,POL
EZMU,true,GEN-RESUPPLY
EZMU,true,GEN-AMMO
EZMU,true,GEN-POL
FGDB,true,AF-AIRCRAFT
FGDB,true,AF-SUPPORT
FGDB,true,AF-PREPO
FGDB,true,MARINE-PREPO
FGDB,true,ARMY-PREPO
FGDB,true,AIRBORNE
FGDB,true,ARMOR
FGDB,true,MECH-INFANTR
FGDB,true,AIRMOBILE
FGDB,true,CBAC
FGDB,true,INFANTRY
FGDB,true,ARMOR-CAV
