Event Day,Aircraft Fleet,Aircraft Fleet Index,Aircraft Type,Airport,Usable
0,STRATEGIC,2,C-17,YAQF,0
0,STRATEGIC,2,C-17,YTPM,0
0,STRATEGIC,2,C-17,YWHG,0
0,STRATEGIC,2,C-17,ZAWN,0
0,STRATEGIC,2,C-17,ZFKN,0
0,STRATEGIC,2,C-17,ZHTV,0
0,STRATEGIC,2,C-17,ZJXD,0
0,STRATEGIC,2,C-17,ZNRE,0
0,STRATEGIC,2,C-17,ZRCE,0
0,STRATEGIC,3,C-5A,AEDY,0
0,STRATEGIC,3,C-5A,AGGN,0
0,STRATEGIC,3,C-5A,AJJY,0
0,STRATEGIC,3,C-5A,AJXF,0
0,STRATEGIC,3,C-5A,AQLM,0
0,STRATEGIC,3,C-5A,ASHE,0
0,STRATEGIC,3,C-5A,ATXK,0
0,STRATEGIC,3,C-5A,AVXV,0
0,STRATEGIC,3,C-5A,AWUB,0
0,STRATEGIC,3,C-5A,BAEY,0
0,STRATEGIC,3,C-5A,BBJM,0
0,STRATEGIC,3,C-5A,BJHZ,0
0,STRATEGIC,3,C-5A,BPWZ,0
0,STRATEGIC,3,C-5A,BQWK,0
0,STRATEGIC,3,C-5A,BRKR,0
0,STRATEGIC,3,C-5A,BWKR,0
0,STRATEGIC,3,C-5A,BXUR,0
0,STRATEGIC,3,C-5A,CTGC,0
0,STRATEGIC,3,C-5A,CWKW,0
0,STRATEGIC,3,C-5A,CYWF,0
0,STRATEGIC,3,C-5A,CZQZ,0
0,STRATEGIC,3,C-5A,DDPF,0
0,STRATEGIC,3,C-5A,DESR,0
0,STRATEGIC,3,C-5A,DKFX,0
0,STRATEGIC,3,C-5A,DNNL,0
0,STRATEGIC,3,C-5A,DPNB,0
0,STRATEGIC,3,C-5A,DVLK,0
0,STRATEGIC,3,C-5A,DYCS,0
0,STRATEGIC,3,C-5A,ETZB,0
0,STRATEGIC,3,C-5A,EYBD,0
0,STRATEGIC,3,C-5A,FAXN,0
0,STRATEGIC,3,C-5A,FBNV,0
0,STRATEGIC,3,C-5A,FGDC,0
0,STRATEGIC,3,C-5A,FGWB,0
0,STRATEGIC,3,C-5A,FJXT,0
0,STRATEGIC,3,C-5A,FNWZ,0
0,STRATEGIC,3,C-5A,FTEP,0
0,STRATEGIC,3,C-5A,FTEV,0
0,STRATEGIC,3,C-5A,FTFA,0
0,STRATEGIC,3,C-5A,FTZH,0
0,STRATEGIC,3,C-5A,FUQN,0
0,STRATEGIC,3,C-5A,FUZD,0
0,STRATEGIC,3,C-5A,FXSB,0
0,STRATEGIC,3,C-5A,GAMH,0
0,STRATEGIC,3,C-5A,GHLN,0
0,STRATEGIC,3,C-5A,GJKZ,0
0,STRATEGIC,3,C-5A,GKVB,0
0,STRATEGIC,3,C-5A,GUQE,0
0,STRATEGIC,3,C-5A,GYRZ,0
0,STRATEGIC,3,C-5A,HNTK,0
0,STRATEGIC,3,C-5A,HPBF,0
0,STRATEGIC,3,C-5A,HTUX,0
0,STRATEGIC,3,C-5A,HUUA,0
0,STRATEGIC,3,C-5A,JEAH,0
0,STRATEGIC,3,C-5A,JFSD,0
0,STRATEGIC,3,C-5A,JREZ,0
0,STRATEGIC,3,C-5A,KJGW,0
0,STRATEGIC,3,C-5A,KNMD,0
0,STRATEGIC,3,C-5A,KRSM,0
0,STRATEGIC,3,C-5A,KWRD,0
0,STRATEGIC,3,C-5A,KYJL,0
0,STRATEGIC,3,C-5A,KZTV,0
0,STRATEGIC,3,C-5A,LEXG,0
0,STRATEGIC,3,C-5A,LSGE,0
0,STRATEGIC,3,C-5A,LXEZ,0
0,STRATEGIC,3,C-5A,LYAX,0
0,STRATEGIC,3,C-5A,MAHG,0
0,STRATEGIC,3,C-5A,MBPB,0
0,STRATEGIC,3,C-5A,MEPJ,0
0,STRATEGIC,3,C-5A,MHMV,0
0,STRATEGIC,3,C-5A,MQNA,0
0,STRATEGIC,3,C-5A,MSET,0
0,STRATEGIC,3,C-5A,MSQB,0
0,STRATEGIC,3,C-5A,MUHJ,0
