Event Day,Airport,AC Type,Enroute Loaded
0,UHHZ,C-5A,false
0,UHHZ,CH47,false
0,UHHZ,KC-10,false
0,ULLT,B-747P,false
0,ULLT,C-17,false
0,ULLT,C-5A,false
0,ULLT,CH47,false
0,ULLT,KC-10,false
0,UMXB,B-747P,false
0,UMXB,C-17,false
0,UMXB,C-5A,false
0,UMXB,CH47,false
0,UMXB,KC-10,false
0,VDYD,B-747P,false
0,VDYD,C-17,false
0,VDYD,C-5A,false
0,VDYD,CH47,false
0,VDYD,KC-10,false
0,VGHV,B-747P,false
0,VGHV,C-17,false
0,VGHV,C-5A,false
0,VGHV,CH47,false
0,VGHV,KC-10,false
0,VKAG,B-747P,false
0,VKAG,C-17,false
0,VKAG,C-5A,false
0,VKAG,CH47,false
0,VKAG,KC-10,false
0,VLSB,B-747P,false
0,VLSB,C-17,false
0,VLSB,C-5A,false
0,VLSB,CH47,false
0,VLSB,KC-10,false
0,VRJT,B-747P,false
0,VRJT,C-17,false
0,VRJT,C-5A,false
0,VRJT,CH47,false
0,VRJT,KC-10,false
0,VSMR,B-747P,false
0,VSMR,C-17,false
0,VSMR,C-5A,false
0,VSMR,CH47,false
0,VSMR,KC-10,false
0,VWLB,B-747P,false
0,VWLB,C-17,false
0,VWLB,C-5A,false
0,VWLB,CH47,false
0,VWLB,KC-10,false
0,VYHK,B-747P,false
0,VYHK,C-17,false
0,VYHK,C-5A,false
0,VYHK,CH47,false
0,VYHK,KC-10,false
0,WEAS,B-747P,false
0,WEAS,C-17,false
0,WEAS,C-5A,false
0,WEAS,CH47,false
0,WEAS,KC-10,false
0,WSVC,B-747P,false
0,WSVC,C-17,false
0,WSVC,C-5A,false
0,WSVC,CH47,false
0,WSVC,KC-10,false
0,WWYK,B-747P,false
0,WWYK,C-17,false
0,WWYK,C-5A,false
0,WWYK,CH47,false
0,WWYK,KC-10,false
0,XBGX,B-747P,false
0,XBGX,C-17,false
0,XBGX,C-5A,false
0,XBGX,CH47,false
0,XBGX,KC-10,false
0,XDAT,B-747P,true
0,XDAT,C-17,true
0,XDAT,C-5A,true
0,XDAT,CH47,true
0,XDAT,KC-10,true
0,XLWU,B-747P,false
0,XLWU,C-17,false
0,XLWU,C-5A,false
0,XLWU,CH47,false
0,XLWU,KC-10,false
0,XQDT,B-747P,false
0,XQDT,C-17,false
0,XQDT,C-5A,false
0,XQDT,CH47,false
0,XQDT,KC-10,false
0,XUMU,B-747P,false
0,XUMU,C-17,false
0,XUMU,C-5A,false
0,XUMU,CH47,false
0,XUMU,KC-10,false
0,YAQF,B-747P,false
0,YAQF,C-17,false
0,YAQF,C-5A,false
0,YAQF,CH47,false
0,YAQF,KC-10,false
0,YTPM,B-747P,false
0,YTPM,C-17,false
0,YTPM,C-5A,false
0,YTPM,CH47,false
0,YTPM,KC-10,false
0,YWHG,B-747P,false
0,YWHG,C-17,false
0,YWHG,C-5A,false
0,YWHG,CH47,false
0,YWHG,KC-10,false
0,ZAWN,B-747P,false
0,ZAWN,C-17,false
0,ZAWN,C-5A,false
0,ZAWN,CH47,false
0,ZAWN,KC-10,false
0,ZFKN,B-747P,false
0,ZFKN,C-17,false
0,ZFKN,C-5A,false
0,ZFKN,CH47,false
0,ZFKN,KC-10,false
0,ZHTV,B-747P,false
0,ZHTV,C-17,false
0,ZHTV,C-5A,false
0,ZHTV,CH47,false
0,ZHTV,KC-10,false
0,ZJXD,B-747P,false
0,ZJXD,C-17,false
0,ZJXD,C-5A,false
0,ZJXD,CH47,false
0,ZJXD,KC-10,false
0,ZNRE,B-747P,false
0,ZNRE,C-17,false
0,ZNRE,C-5A,false
0,ZNRE,CH47,false
0,ZNRE,KC-10,false
0,ZRCE,B-747P,false
0,ZRCE,C-17,false
0,ZRCE,C-5A,false
0,ZRCE,CH47,false
0,ZRCE,KC-10,false
