Type,ParkingType,WeightCapacity,PAXCapacity,ContainerCapacity,OnloadTime,OffloadTime,EnrouteTime,ExpeditedTime,RecoveryTime,FuelTime,FuelCapacity,NauticalAir,DefaultAvail,StratUsable,LIN,DoorHeight,DoorWidth,CargoBayWidth,CargoBayLength,BlockSpeed500,BlockSpeed1000,BlockSpeed1500,Display_Color,FuelConsumptionRate
KNBLK,N,0.0,0.0,0.0,3.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
KNCE,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
KNPAX,N,0.0,110.0,0.0,1.5,2.0,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
KNPE,N,0.0,110.0,0.0,1.5,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,dodgerBlue,5.0
KWC,W,67.9,0.0,1.0,5.0,2.0,2.25,0.75,5.0,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
KWCE,W,68.1,0.0,1.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,100.0,900.0,550.0,332.0,370.0,blue,5.0
KWP,W,0.0,328.0,0.0,3.0,2.0,2.25,0.75,3.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
KWPE,W,0.0,401.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,100.0,900.0,550.0,332.0,370.0,blue,5.0
L1010-CF-C,W,0.0,0.0,0.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
L1010-CF-P,W,0.0,259.0,0.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
L1011-100,W,0.0,281.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,178662.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
L1011-500,W,0.0,238.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
L10115,W,0.0,180.0,0.0,2.0,2.0,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
L1030-CF-C,W,0.0,0.0,0.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
L1030-CF-P,W,0.0,264.0,0.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
LA130,S,10.2,0.0,1.0,1.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,cyan,5.0
LA130P,S,0.0,92.0,0.0,1.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,102.0,107.0,105.0,480.0,550.0,332.0,370.0,cyan,5.0
LRNC,N,0.0,0.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,100.0,900.0,550.0,332.0,370.0,dodgerBlue,5.0
LRNP,N,0.0,160.0,0.0,3.0,2.0,2.25,0.75,1.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,100.0,900.0,550.0,332.0,370.0,dodgerBlue,5.0
LRWC,W,68.1,0.0,1.0,4.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,100.0,900.0,550.0,332.0,370.0,blue,5.0
LRWP,W,0.0,401.0,0.0,2.0,2.0,2.25,0.75,2.5,2.0,300000.0,550.0,100.0,1,,100.0,100.0,100.0,900.0,550.0,332.0,370.0,blue,5.0
M-ULA,N,238.0,76.0,18.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,90.0,1,,300.0,396.0,396.0,1764.0,85.0,90.0,90.0,dodgerBlue,5.0
M-ULA2,N,238.0,76.0,18.0,6.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,90.0,1,,300.0,396.0,396.0,1764.0,85.0,90.0,90.0,dodgerBlue,5.0
MC130,S,14.3,12.0,2.0,1.5,0.75,0.0,0.85,0.0,0.0,0.0,0.0,42.0,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
MC130P,S,0.0,64.0,0.0,1.5,0.85,0.0,0.75,0.0,0.0,0.0,0.0,33.333336,1,,105.0,107.0,105.0,480.0,255.0,285.0,310.0,cyan,5.0
MD011,W,0.0,298.0,0.0,1.5,2.0,0.0,0.75,0.0,0.0,0.0,0.0,100.0,1,,100.0,100.0,10.0,90.0,550.0,332.0,370.0,blue,5.0
