Ship Type,Berth Type,Commodity Class,Transfer Rate
BREAKBULK,CONT/AMMO,MARINE-PREPO,0
BREAKBULK,CONT/AMMO,ARMY-PREPO,0
BREAKBULK,CONT/AMMO,AIRBORNE,0
BREAKBULK,CONTAINER,AF-AIRCRAFT,0
BREAKBULK,CONTAINER,AF-SUPPORT,0
BREAKBULK,CONTAINER,AF-PREPO,0
BREAKBULK,CONTAINER,MARINE-PREPO,0
BREAKBULK,CONTAINER,ARMY-PREPO,0
BREAKBULK,CONTAINER,AIRBORNE,0
BREAKBULK,DOCK,AF-AIRCRAFT,0
BREAKBULK,DOCK,AF-SUPPORT,0
BREAKBULK,DOCK,AF-PREPO,0
BREAKBULK,DOCK,MARINE-PREPO,0
BREAKBULK,DOCK,ARMY-PREPO,0
BREAKBULK,DOCK,AIRBORNE,0
BREAKBULK,GENERAL PURP,AF-AIRCRAFT,0
BREAKBULK,GENERAL PURP,AF-SUPPORT,1800
BREAKBULK,GENERAL PURP,AF-PREPO,1800
BREAKBULK,GENERAL PURP,MARINE-PREPO,3500
BREAKBULK,GENERAL PURP,ARMY-PREPO,5000
BREAKBULK,GENERAL PURP,AIRBORNE,0
BREAKBULK,INTRA WATER,AF-AIRCRAFT,0
BREAKBULK,INTRA WATER,AF-SUPPORT,0
BREAKBULK,INTRA WATER,AF-PREPO,0
BREAKBULK,INTRA WATER,MARINE-PREPO,0
BREAKBULK,INTRA WATER,ARMY-PREPO,0
BREAKBULK,INTRA WATER,AIRBORNE,0
BREAKBULK,JLOTS,AF-AIRCRAFT,0
BREAKBULK,JLOTS,AF-SUPPORT,0
BREAKBULK,JLOTS,AF-PREPO,0
BREAKBULK,JLOTS,MARINE-PREPO,0
BREAKBULK,JLOTS,ARMY-PREPO,0
BREAKBULK,JLOTS,AIRBORNE,0
BREAKBULK,LIGHTER,AF-AIRCRAFT,0
BREAKBULK,LIGHTER,AF-SUPPORT,0
BREAKBULK,LIGHTER,AF-PREPO,0
BREAKBULK,LIGHTER,MARINE-PREPO,0
BREAKBULK,LIGHTER,ARMY-PREPO,0
BREAKBULK,LIGHTER,AIRBORNE,0
BREAKBULK,OTHER,AF-AIRCRAFT,0
BREAKBULK,OTHER,AF-SUPPORT,0
BREAKBULK,OTHER,AF-PREPO,0
BREAKBULK,OTHER,MARINE-PREPO,0
BREAKBULK,OTHER,ARMY-PREPO,0
BREAKBULK,OTHER,AIRBORNE,0
BREAKBULK,RORO,AF-AIRCRAFT,0
BREAKBULK,RORO,AF-SUPPORT,0
BREAKBULK,RORO,AF-PREPO,0
BREAKBULK,RORO,MARINE-PREPO,0
BREAKBULK,RORO,ARMY-PREPO,0
BREAKBULK,RORO,AIRBORNE,0
BREAKBULK,RORO/CONTNR,AF-AIRCRAFT,0
BREAKBULK,RORO/CONTNR,AF-SUPPORT,0
BREAKBULK,RORO/CONTNR,AF-PREPO,0
BREAKBULK,RORO/CONTNR,MARINE-PREPO,0
BREAKBULK,RORO/CONTNR,ARMY-PREPO,0
BREAKBULK,RORO/CONTNR,AIRBORNE,0
BREAKBULK,TANKER,AF-AIRCRAFT,0
BREAKBULK,TANKER,AF-SUPPORT,0
BREAKBULK,TANKER,AF-PREPO,0
BREAKBULK,TANKER,MARINE-PREPO,0
BREAKBULK,TANKER,ARMY-PREPO,0
BREAKBULK,TANKER,AIRBORNE,0
BREAKBULK,VISA,AF-AIRCRAFT,0
BREAKBULK,VISA,AF-SUPPORT,0
BREAKBULK,VISA,AF-PREPO,0
BREAKBULK,VISA,MARINE-PREPO,0
BREAKBULK,VISA,ARMY-PREPO,0
BREAKBULK,VISA,AIRBORNE,0
CAR TRANS,ALL-PURPOSE,AF-AIRCRAFT,0
CAR TRANS,ALL-PURPOSE,AF-SUPPORT,4600
CAR TRANS,ALL-PURPOSE,AF-PREPO,4600
CAR TRANS,ALL-PURPOSE,MARINE-PREPO,0
CAR TRANS,ALL-PURPOSE,ARMY-PREPO,5000
CAR TRANS,ALL-PURPOSE,AIRBORNE,0
CAR TRANS,BARGE,AF-AIRCRAFT,0
CAR TRANS,BARGE,AF-SUPPORT,0
CAR TRANS,BARGE,AF-PREPO,0
CAR TRANS,BARGE,MARINE-PREPO,0
CAR TRANS,BARGE,ARMY-PREPO,0
CAR TRANS,BARGE,AIRBORNE,0
CAR TRANS,BBULK/AMMO,AF-AIRCRAFT,0
CAR TRANS,BBULK/AMMO,AF-SUPPORT,0
