Name,Active,Quantity,CraneType,SeaportName,GeolocCode,BerthName,BerthType,FromDay,ToDay,NumBerthsServed,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,AvailableForMilitary
AVYXVISA      01_Crane,true,1,MOBILE,BARCELONA,AVYX,AVYXVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
BBNQ CRANE,true,3,MOBILE,BEAUMONT T2,BBNQ,N/A,N/A,0,8192,1,8000,8000,288,288,true
BBNQ CRANE,true,3,MOBILE,BEAUMONT T2,BBNQ,BBNQ BG,GENERAL PURP,0,8192,1,8000,8000,288,288,true
BBNVBBULK/CONT01_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
BBNVGENERAL PU01_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU02_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU03_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU04_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU05_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU06_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU07_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU08_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU09_Crane,true,1,MOBILE,BEAUMONT,BBNV,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
BBNVBBULK/CONT01_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVBBULK/CONT01,BBULK/CONTNR,-999,8192,1,5600,5600,1400,1400,true
BBNVGENERAL PU01_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
BBNVGENERAL PU02_Crane,true,1,MOBILE,BEAUMONT,BBNV,BBNVGENERAL PU02,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
