Name,Active,BeachType,BerthType,SeaportName,GeolocCode,BerthGroupName,FromDay,ToDay,PreviousBerthName,NextBerthName,NumContainerCranes,NumGantryCranes,NumMobileCranes,NumWharfCranes,ShipSpacing,Length,Depth,ApronWidth,NumPolPumps,TankerLoadRatePerShip,HotCargoAllowed
FNLDGENERAL PU01,true,null,GENERAL PURP,DURBAN,FNLD,FNLDGENERAL PU01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
FNSHVISA      01,true,null,VISA,DUTCH HARBOR,FNSH,FNSHVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
all-purpose berth-FQZF Terminal-19855,true,null,ALL-PURPOSE,EARLE NWS,FQZF,berth group-FQZF Terminal-19854,-999,99999,null,null,0,10,0,0,50,5000,70,120,0,2000,Both
GPENVISA      01,true,null,VISA,FELIXSTOWE,GPEN,GPENVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
GWZPVISA      01,true,null,VISA,FOS,GWZP,GWZPVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
HAGCVISA      01,true,null,VISA,FREEPORT,HAGC,HAGCVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
HMGBVISA      01,true,null,VISA,FUJAIRAH,HMGB,HMGBVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
Gabes berth1,true,null,GENERAL PURP,GABES,HNTS,BG Gabes berth1,-999,99999,null,null,1,1,2,0,50,4000,44,180,0,2000,Both
Gabes berth2,true,null,GENERAL PURP,GABES,HNTS,BG Gabes berth2,-999,99999,null,null,1,1,2,0,50,4000,90,180,0,2000,Both
Gabes tanker berth,true,null,TANKER,GABES,HNTS,BG Gabes tanker berth,-999,99999,null,null,1,1,2,0,50,1000,44,180,2,450,Both
HUPRVISA      01,true,null,VISA,GENOVA,HUPR,HUPRVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
JJRPVISA      01,true,null,VISA,GRAVESEND,JJRP,JJRPVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
JSSNVISA      01,true,null,VISA,GUAM PORT,JSSN,JSSNVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
GULFPORT all-purpose berth-JTVH,true,null,ALL-PURPOSE,GULFPORT,JTVH,GULFPORT BG-JTVH Terminal-19783,-999,99999,null,null,0,10,0,0,50,5000,55,120,0,2000,Both
JWJYVISA      01,true,null,VISA,HAIFA,JWJY,JWJYVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
JWTDVISA      01,true,null,VISA,HAKATA,JWTD,JWTDVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
JXKMGENERAL PU01,true,null,GENERAL PURP,HALIFAX,JXKM,JXKMGENERAL PU01,0,99999,null,null,0,0,1,0,50,2000,36,60,0,2000,Both
JXKMVISA      01,true,null,VISA,HALIFAX,JXKM,JXKMVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
JYPNVISA      01,true,null,VISA,HAMBURG,JYPN,JYPNVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
KZPHVISA      01,true,null,VISA,HONG KONG ABERDEE,KZPH,KZPHVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
KZTZVISA      01,true,null,VISA,HONOLULU,KZTZ,KZTZVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
LCMTVISA      01,true,null,VISA,HOUSTON,LCMT,LCMTVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
LKPEBBULK/AMMO01,true,null,BBULK/AMMO,INDIAN ISLAND,LKPE,LKPEBBULK/AMMO01,0,99999,null,null,0,0,1,0,50,660,55,60,0,2000,Both
LKPECONT/AMMO 01,true,null,CONT/AMMO,INDIAN ISLAND,LKPE,LKPECONT/AMMO 01,0,99999,null,null,0,0,1,0,50,1000,55,60,0,2000,Both
LRNCVISA      01,true,null,VISA,IZMIR,LRNC,LRNCVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
JACKSONVILLE all-purpose berth-LSGM,true,null,ALL-PURPOSE,JACKSONVILLE,LSGM,JACKSONVILLE berth group-LSGM,-999,99999,null,null,0,10,0,0,50,5000,55,120,0,2000,Both
LUTPBBULK/RORO01,true,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO01,0,99999,null,null,0,0,1,0,50,2378,44,60,0,2000,Both
LUTPBBULK/RORO02,true,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO02,0,99999,null,null,0,0,1,0,50,1968,44,60,0,2000,Both
LUTPBBULK/RORO03,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO03,0,99999,null,null,0,0,1,0,50,1394,44,60,0,2000,Both
LUTPBBULK/RORO04,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO04,0,99999,null,null,0,0,1,0,50,890,39,60,0,2000,Both
LUTPBBULK/RORO05,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO05,0,99999,null,null,0,0,1,0,50,1230,39,60,0,2000,Both
LUTPBBULK/RORO06,false,null,BBULK/RORO,JEDDAH,LUTP,LUTPBBULK/RORO06,0,99999,null,null,0,0,1,0,50,5904,39,60,0,2000,Both
