RLN,CCC,Mtons,Stons,Sqft,NumPieces,Length,Width,Height,Description,LongDescription,CargoId
1:00HF,M7C,0.9000001,0.89999986,0.39999998,1,1,52,48,M7C Leftover,,1:00HF.M7C0002
1:00HF,A2D,25.6,4.8,150.3,30,235,92,78,A2D Defaulted,,1:00HF.A2D0001
1:00HF,A2D,28,6.100006,151,1,236,92,78,A2D Leftover,,1:00HF.A2D0002
1:00HG,J7C,2.4,1,19.4,18,54,52,48,J7C Defaulted,,1:00HG.J7C0001
1:00HG,J7C,2.7999992,0.5,20.800018,1,58,52,48,J7C Leftover,,1:00HG.J7C0002
1:00HG,M7C,1,0.6,1,1,3,52,48,M7C Leftover,,1:00HG.M7C0001
1:00HG,A2D,35.6,4.5,176.6,2,276,92,78,A2D Defaulted,,1:00HG.A2D0001
1:00HG,A2D,35.800003,4.5,176.79999,1,277,92,78,A2D Leftover,,1:00HG.A2D0002
1:00HK,J7C,2.4,1,19,16,53,52,48,J7C Defaulted,,1:00HK.J7C0001
1:00HK,J7C,2.5999985,0.20000076,20,1,55,52,48,J7C Leftover,,1:00HK.J7C0002
1:00HK,M7C,1,0.9,0.3,2,1,52,48,M7C Defaulted,,1:00HK.M7C0001
1:00HK,M7C,1,0.79999995,0.39999998,1,1,52,48,M7C Leftover,,1:00HK.M7C0002
1:00HK,A2D,21.5,2.7,106,1,166,92,78,A2D Defaulted,,1:00HK.A2D0001
1:00HK,A2D,21.5,2.7,106,1,166,92,78,A2D Leftover,,1:00HK.A2D0002
1:00HL,J7C,2.4,1,19,16,53,52,48,J7C Defaulted,,1:00HL.J7C0001
1:00HL,J7C,2.5999985,0.20000076,20,1,55,52,48,J7C Leftover,,1:00HL.J7C0002
1:00HL,M7C,1,0.9,0.3,2,1,52,48,M7C Defaulted,,1:00HL.M7C0001
1:00HL,M7C,1,0.79999995,0.39999998,1,1,52,48,M7C Leftover,,1:00HL.M7C0002
1:00HL,A2D,32.5,4.1,159,1,249,92,78,A2D Defaulted,,1:00HL.A2D0001
1:00HL,A2D,32.5,4.0000005,159,1,249,92,78,A2D Leftover,,1:00HL.A2D0002
1:00JC,J7C,2.4,0.9,18.9,14,52,52,48,J7C Defaulted,,1:00JC.J7C0001
1:00JC,J7C,2.3999977,1.6000004,19.399994,1,54,52,48,J7C Leftover,,1:00JC.J7C0002
1:00JC,M7C,1,1,0.1,7,0,52,48,M7C Defaulted,,1:00JC.M7C0001
1:00JC,M7C,1,0.9000001,0.3,1,1,52,48,M7C Leftover,,1:00JC.M7C0002
1:00JC,A2D,11.6,4.9,57.1,46,89,92,78,A2D Defaulted,,1:00JC.A2D0001
1:00JC,A2D,14.399963,6.9999847,61.400146,1,96,92,78,A2D Leftover,,1:00JC.A2D0002
1:00JCC,R1D,30,9.6,191,1,284,97,115,R1D Defaulted,,1:00JCC.R1D0001
1:00JCC,R1D,30,9.5,191,1,284,97,115,R1D Leftover,,1:00JCC.R1D0002
1:00JD,J7C,2.4,1,19.8,12,55,52,48,J7C Defaulted,,1:00JD.J7C0001
1:00JD,J7C,3.1999989,0.8999996,20.40001,1,56,52,48,J7C Leftover,,1:00JD.J7C0002
1:00JD,M7C,1,0.6,1,1,3,52,48,M7C Leftover,,1:00JD.M7C0001
1:00JD,A1D,54.5,12.2,231.5,1,344,97,115,A1D Defaulted,,1:00JD.A1D0001
1:00JD,A1D,54.5,12.2,231.5,1,344,97,115,A1D Leftover,,1:00JD.A1D0002
1:00JD,A2D,53.7,4.4,478.5,3,749,92,78,A2D Defaulted,,1:00JD.A2D0001
1:00JD,A2D,53.899994,4.199999,478.5,1,749,92,78,A2D Leftover,,1:00JD.A2D0002
1:00JD,J2C,31.5,3.6,181.5,1,284,92,78,J2C Defaulted,,1:00JD.J2C0001
1:00JD,J2C,31.5,3.5,181.5,1,284,92,78,J2C Leftover,,1:00JD.J2C0002
1:00JE,J7C,2.3,0.9,18.6,9,52,52,48,J7C Defaulted,,1:00JE.J7C0001
1:00JE,J7C,2.3000011,1.2000008,18.59999,1,52,52,48,J7C Leftover,,1:00JE.J7C0002
1:00JE,M7C,1,0.5,1,1,3,52,48,M7C Leftover,,1:00JE.M7C0001
1:00JE,A2D,13.6,3.9,91,2,142,92,78,A2D Defaulted,,1:00JE.A2D0001
1:00JE,A2D,13.799999,3.8000002,91,1,142,92,78,A2D Leftover,,1:00JE.A2D0002
1:03AEC,J7C,2.5,1,19.9,135,55,52,48,J7C Defaulted,,1:03AEC.J7C0001
1:03AEC,J7C,2.5,0.80000305,29.5,1,82,52,48,J7C Leftover,,1:03AEC.J7C0002
1:03AEC,M7C,0.8,0.9,0.2,4,1,52,48,M7C Defaulted,,1:03AEC.M7C0001
1:03AEC,M7C,0.79999995,0.8000002,0.19999999,1,1,52,48,M7C Leftover,,1:03AEC.M7C0002
1:03AEC,R3B,3.7,0.4,40,6,95,60,45,M68405MORTAR 1,,1:03AEC.R3B0001
1:03AEC,R3D,9.3,1.4,50,1,100,72,89,C32887CLEANER,,1:03AEC.R3D0001
1:03AEC,A1D,30.3,12,143,3,194,106,102,C11158CARR CMN,,1:03AEC.A1D0001
