geoloc,berthid,berthtype,draft,avail,len,cap,ute,lat,lon
TNVX,TNVXVISA      01,18,99,0,9999,99999,1,26.1,-80.11667
TNZY,TNZYBBULK/RORO02,5,35,0,1202,99999,1,34.15,-119.2
TNZY,TNZYBBULK/RORO03,5,35,0,1025,99999,1,34.15,-119.2
TNZY,TNZYBBULK/RORO05,5,35,0,1800,99999,1,34.15,-119.2
TPPR,TPPRGENERAL PU01,10,36,0,2000,99999,1,31.25,32.3
TPPR,TPPRVISA      01,18,99,0,9999,99999,1,31.25,32.3
TPRW,TPRWVISA      01,18,99,0,9999,99999,1,3.0166667,101.35
TQKG,TQKGGENERAL PU01,10,40,0,2876,99999,1,45.583332,-122.6
TQKG,TQKGVISA      01,18,99,0,9999,99999,1,45.583332,-122.6
TRZP,TRZPGENERAL PU01,10,39,0,1200,99999,1,38.716667,-27.05
TVJD,TVJDBBULK/CONT01,4,32,0,606,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU01,10,32,0,656,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU02,10,32,0,1084,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU03,10,29,0,1318,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU04,10,29,0,2145,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU05,10,29,0,1541,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU06,10,29,0,1476,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU09,10,42,0,4592,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU10,10,39,0,4149,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU11,10,42,0,2952,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU12,10,40,0,1779,99999,1,35.083332,129.08223
TVJD,TVJDGENERAL PU13,10,29,0,2118,99999,1,35.083332,129.08223
TVJD,TVJDVISA      01,18,99,0,9999,99999,1,35.083332,129.08223
TVXA,TVXAGENERAL PU01,10,34,0,1500,99999,1,23.616667,58.55
TZL4,TZL4GENERAL PU01,10,36,0,1200,99999,1,28.1,48.633335
TZL4,TZL4GENERAL PU02,10,36,0,900,99999,1,28.1,48.633335
TZYR,TZYRGENERAL PU01,10,32,0,1701,99999,1,16.933332,54
UMXA,UMXAALL-PURPOS01,1,40,1,1148,99999,0.6,36.64639,-6.349167
UMXA,UMXABBULK/RORO01,5,40,1,1148,99999,0.6,36.64639,-6.349167
UNAP,UNAPBBULK/RORO18,5,42,0,700,99999,1,51.883335,4.45
UNAP,UNAPGENERAL PU03,10,43,0,2624,99999,1,51.883335,4.45
UNAP,UNAPGENERAL PU06,10,36,0,1256,99999,1,51.883335,4.45
UNAP,UNAPVISA      01,18,99,0,9999,99999,1,51.883335,4.45
UTAC,SAN DIEGO berth group-UTAC,1,55,0,5000,99999,1,32.75,-117.166664
UTVT,UTVTGENERAL PU01,10,99,0,9999,99999,1,18.516666,-67.15
UTVT,UTVTVISA      01,18,99,0,9999,99999,1,18.516666,-67.15
UULA,UULAVISA      01,18,99,0,9999,99999,1,-33.683334,-59.633335
UULB,UULBVISA      01,18,99,0,9999,99999,1,4.733333,-6.616667
UULX,UULXVISA      01,18,99,0,9999,99999,1,33.75,-118.25
UYQR,UYQRBREAKBULK 01,6,33,0,606,99999,1,33.166668,129.71666
UYQR,UYQRGENERAL PU01,10,36,0,623,99999,1,33.166668,129.71666
UZXJ,SAVANNAH berth group-UZXJ,1,55,0,5000,99999,1,32.083332,-81.11667
VFVN,VFVNGENERAL PU01,10,50,0,1580,99999,1,47.6,-122.333336
VFVN,VFVNGENERAL PU03,10,45,0,2750,99999,1,47.6,-122.333336
VFVN,VFVNVISA      01,18,99,0,9999,99999,1,47.6,-122.333336
VKNP,BG Safaqis cont-1 berth,1,44,0,1640,99999,1,34.733334,10.766666
