Day,Airport,Geoloc,Fleet,AircraftType,Arrivals,Departures,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay
21,LAJES,MQNA,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,13.500,.000,NO,.000
21,JB LANGLEY-EUSTIS,MUHJ,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
21,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,1,0,3.000,.000,.000,.000,.000,.000,.000,5.936,.000,NO,.000
21,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,0,1,.000,.000,.000,.000,.000,.000,.000,1.585,.000,NO,.000
21,POPE AAF,TMKH,STRATEGIC,B-747P,1,2,3.000,.000,.000,.000,.000,.000,.000,6.363,.000,NO,.000
21,POPE AAF,TMKH,STRATEGIC,C-17,0,4,.000,.000,.000,.000,.000,.000,2.186,31.909,.000,NO,.000
21,POPE AAF,TMKH,STRATEGIC,KC-10,1,1,5.000,.000,.000,.000,.000,.000,.000,10.000,.000,NO,.000
21,RAMSTEIN AB,TYFR,STRATEGIC,B-747P,1,2,.000,.000,.000,1.500,.000,.000,.000,24.255,.000,NO,.000
21,RAMSTEIN AB,TYFR,STRATEGIC,C-17,8,6,.000,.000,.000,17.004,.000,.000,.000,86.255,.000,NO,.000
21,TRAVIS AFB,XDAT,STRATEGIC,B-747P,2,3,.000,.000,3.000,.000,.000,.000,.000,.000,.000,NO,.000
21,TRAVIS AFB,XDAT,STRATEGIC,C-5A,0,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
21,TRAVIS AFB,XDAT,STRATEGIC,KC-10,1,1,.000,.000,1.500,.000,.000,.000,.000,.000,.000,NO,.000
22,ALCONBURY,AEDY,STRATEGIC,B-747P,0,3,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
22,BIGGS AAF,BPWZ,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
22,JB CHARLESTON,DKFX,STRATEGIC,C-17,4,3,.000,.000,9.000,.000,.000,.000,.000,.000,.000,NO,.000
22,THYNA,FUQN,STRATEGIC,C-17,5,7,.077,11.250,.000,.000,.000,.000,.000,12.750,.000,NO,.000
22,ALEXANDRIA INTL,GAMH,STRATEGIC,B-747P,2,0,6.000,.000,.000,.000,.000,.000,.000,18.177,.000,NO,.000
22,MATMATA,HNTK,STRATEGIC,B-747P,2,3,.000,6.000,.000,.000,.000,.000,.000,31.062,.000,NO,.000
22,JBPH-H HICKAM FLD,KNMD,STRATEGIC,C-5A,1,1,.000,.000,.000,3.250,.000,.000,.000,11.750,.000,NO,.000
22,LAJES,MQNA,STRATEGIC,C-17,4,4,.000,.000,.000,9.000,.000,.000,.000,48.242,.000,NO,.000
22,LAJES,MQNA,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
22,MC GUIRE FLD,PTFL,STRATEGIC,B-747P,3,4,.000,.000,.000,4.500,.000,.000,.000,6.064,.000,NO,.000
22,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,1,1,.000,.000,.000,1.500,.000,.000,.000,.000,.000,NO,.000
22,POPE AAF,TMKH,STRATEGIC,B-747P,3,2,9.000,.000,.000,.000,.000,.000,.000,29.705,.000,NO,.000
