Day,ShipType,ShipsAvailable,TotalUsed,VISAMission,CONUS,Tunisia
21,POL TANKER,2,0,0,0,0
21,RO/RO,28,10,0,0,10
21,RO/RO(T-AKR),5,1,0,0,1
21,T-ACS,7,4,0,0,4
21,T-AH,2,0,0,0,0
21,VISA CONT,10,0,0,0,0
22,BARGE(LASH),4,0,0,0,0
22,BARGE(T-AKB),6,0,0,0,0
22,BREAKBULK,20,0,0,0,0
22,CAR TRANS,6,0,0,0,0
22,CLF,10,0,0,0,0
22,COMBO,3,1,0,0,1
22,CONT-NSS,58,6,0,0,6
22,CONT-SS,15,0,0,0,0
22,FSS,4,3,0,0,3
22,PAX,2,0,0,0,0
22,POL TANKER,2,0,0,0,0
22,RO/RO,28,11,0,0,11
22,RO/RO(T-AKR),5,1,0,0,1
22,T-ACS,7,4,0,0,4
22,T-AH,2,0,0,0,0
22,VISA CONT,10,0,0,0,0
23,BARGE(LASH),4,0,0,0,0
23,BARGE(T-AKB),6,1,0,0,1
23,BREAKBULK,20,0,0,0,0
23,CAR TRANS,6,0,0,0,0
23,CLF,10,0,0,0,0
23,COMBO,3,1,0,0,1
23,CONT-NSS,59,6,0,0,6
23,CONT-SS,15,0,0,0,0
23,FSS,4,4,0,0,4
23,PAX,2,0,0,0,0
23,POL TANKER,2,0,0,0,0
23,RO/RO,28,14,0,0,14
23,RO/RO(T-AKR),5,1,0,0,1
23,T-ACS,7,4,0,0,4
23,T-AH,2,0,0,0,0
23,VISA CONT,21,0,0,0,0
24,BARGE(LASH),4,0,0,0,0
24,BARGE(T-AKB),6,3,0,0,3
24,BREAKBULK,20,0,0,0,0
24,CAR TRANS,6,0,0,0,0
24,CLF,10,0,0,0,0
24,COMBO,3,1,0,0,1
24,CONT-NSS,61,8,0,0,8
24,CONT-SS,15,0,0,0,0
24,FSS,4,4,0,0,4
24,PAX,2,0,0,0,0
24,POL TANKER,2,0,0,0,0
24,RO/RO,28,15,0,0,15
24,RO/RO(T-AKR),5,1,0,0,1
24,T-ACS,7,4,0,0,4
24,T-AH,2,0,0,0,0
24,VISA CONT,25,0,0,0,0
25,BARGE(LASH),4,0,0,0,0
25,BARGE(T-AKB),6,4,0,0,4
25,BREAKBULK,20,0,0,0,0
25,CAR TRANS,6,0,0,0,0
25,CLF,10,0,0,0,0
25,COMBO,3,2,0,0,2
25,CONT-NSS,62,9,0,0,9
25,CONT-SS,15,0,0,0,0
25,FSS,4,4,0,0,4
25,PAX,2,0,0,0,0
25,POL TANKER,2,0,0,0,0
25,RO/RO,28,15,0,0,15
25,RO/RO(T-AKR),5,1,0,0,1
25,T-ACS,7,4,0,0,4
25,T-AH,2,0,0,0,0
25,VISA CONT,25,0,0,0,0
26,BARGE(LASH),4,0,0,0,0
26,BARGE(T-AKB),6,4,0,0,4
26,BREAKBULK,20,0,0,0,0
26,CAR TRANS,6,0,0,0,0
26,CLF,10,0,0,0,0
26,COMBO,3,2,0,0,2
26,CONT-NSS,63,9,0,0,9
26,CONT-SS,15,0,0,0,0
26,FSS,4,3,0,0,3
26,PAX,2,0,0,0,0
26,POL TANKER,2,0,0,0,0
26,RO/RO,28,15,0,0,15
26,RO/RO(T-AKR),5,1,0,0,1
26,T-ACS,7,4,0,0,4
26,T-AH,2,0,0,0,0
26,VISA CONT,25,0,0,0,0
27,BARGE(LASH),4,0,0,0,0
27,BARGE(T-AKB),6,4,0,0,4
27,BREAKBULK,20,0,0,0,0
27,CAR TRANS,6,1,0,0,1
27,CLF,10,0,0,0,0
27,COMBO,3,2,0,0,2
27,CONT-NSS,63,10,0,0,10
27,CONT-SS,15,0,0,0,0
27,FSS,4,1,0,0,1
27,PAX,2,0,0,0,0
27,POL TANKER,2,0,0,0,0
27,RO/RO,28,15,0,0,15
27,RO/RO(T-AKR),5,1,0,0,1
27,T-ACS,7,3,0,0,3
27,T-AH,2,0,0,0,0
27,VISA CONT,25,0,0,0,0
28,BARGE(LASH),4,0,0,0,0
28,BARGE(T-AKB),6,4,0,0,4
28,BREAKBULK,20,0,0,0,0
28,CAR TRANS,6,1,0,0,1
28,CLF,10,0,0,0,0
28,COMBO,3,2,0,0,2
28,CONT-NSS,63,9,0,0,9
28,CONT-SS,15,0,0,0,0
28,FSS,4,1,0,0,1
28,PAX,2,0,0,0,0
