Airport,AirportName,RampId,RampName,ACType,ACName,MissionType,MissionName,ServiceTime,ParkingMOG,WorkingMOG,HotCargoFlag,ExclusiveFlag
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,1,B-747P,2,UPLOAD,3,4.736842,4.736842,1,0
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.736842,4.736842,1,0
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,2,C-17,2,UPLOAD,2.25,9,9,1,0
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,2,C-17,4,DOWNLOAD,2.25,9,9,1,0
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,3,C-5A,2,UPLOAD,3.75,3,3,1,0
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,3,3,1,0
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,5,KC-10,2,UPLOAD,5,7.4999995,7.4999995,1,0
FNWZ,DYESS AFB,1,DYESS AFB -FNWZ-MAP-PARKING,5,KC-10,4,DOWNLOAD,3,7.4999995,7.4999995,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,1,B-747P,2,UPLOAD,3,4.736842,4.736842,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,1,B-747P,4,DOWNLOAD,3,4.736842,4.736842,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,2,C-17,2,UPLOAD,2.25,9,9,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,2,C-17,4,DOWNLOAD,2.25,9,9,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,3,C-5A,2,UPLOAD,3.75,3,3,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,3,3,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,5,KC-10,2,UPLOAD,5,7.4999995,7.4999995,1,0
FTFA,EGLIN AFB,1,EGLIN AFB -FTFA-MAP-PARKING,5,KC-10,4,DOWNLOAD,3,7.4999995,7.4999995,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,1,B-747P,2,UPLOAD,3,2.1052632,2.1052632,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,1,B-747P,4,DOWNLOAD,3,2.1052632,2.1052632,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,2,C-17,2,UPLOAD,2.25,4,4,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,2,C-17,4,DOWNLOAD,2.25,4,4,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,3,C-5A,2,UPLOAD,3.75,1.3333334,1.3333334,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,3,C-5A,4,DOWNLOAD,3.25,1.3333334,1.3333334,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,5,KC-10,2,UPLOAD,5,3.3333333,3.3333333,1,0
FTZH,EL BORMA,1,EL BORMA -FTZH-APT-parking,5,KC-10,4,DOWNLOAD,3,3.3333333,3.3333333,1,0
