Name,GeolocCode,LocationType,CountryState,Latitude,Longitude
CHAMBLEE,DHRF,CTY,GEORGIA,33.583332,-84.36667
CHANNEL ISLANDS A,DJCF,AGS,CALIFORNIA,34.141666,-119.111115
CHARLESTON,DKAD,CTY,ARKANSAS,35.3,-94.047226
JB CHARLESTON,DKFX,JAP,SOUTH CAROLINA,32.898613,-80.04056
CHARLESTON NAVY,DKFY,AMO,SOUTH CAROLINA,32.783333,-79.916664
NORTH CHARLESTON,DKGJ,RTC,SOUTH CAROLINA,32.90333,-79.97972
CHARLESTON,DKGK,CTY,SOUTH CAROLINA,32.8,-79.96667
CHARLESTON,DKGL,NYI,SOUTH CAROLINA,32.77639,-79.93139
CHARLESTON    NWS,DKGT,AMO,SOUTH CAROLINA,32.9,-80.03333
CHARLESTON,DKSD,PRT,SOUTH CAROLINA,32.783333,-79.916664
CHARLESTON NAVY,DKTB,HSP,SOUTH CAROLINA,32.763332,-79.93
CHARLESTON,DKTT,NAV,WEST VIRGINIA,38.35,-81.76667
CHARLESTON,DKTX,CTY,WEST VIRGINIA,38.366665,-81.63333
CHARLESTON NAV YD,DKVL,NYI,SOUTH CAROLINA,32.9,-80.03333
CHARLOTTE,DLAL,CTY,NORTH CAROLINA,35.233334,-80.833336
CHATTANOOGA,DLUL,CTY,TENNESSEE,36.016666,-86.51667
CHEATHAM ANX  NSC,DLZC,STG,VIRGINIA,37.25,-76.666664
CHEROKEE,DNJC,CTY,IOWA,42.749443,-95.55139
CHERRY POINT,DNNH,AFS,NORTH CAROLINA,34.9,-76.88333
CHERRY POINT MCAS,DNNL,MAP,NORTH CAROLINA,34.900833,-76.88084
MCAS CHERRY POINT,DNNM,STG,NORTH CAROLINA,34.9,-76.86667
CHESTER,DNRV,CTY,PENNSYLVANIA,39.833332,-75.38333
CHEYENNE,DPEV,CTY,WYOMING,41.133335,-104.833336
CHEYENNE RGNL JER,DPEZ,JAP,WYOMING,41.155556,-104.810555
CHEYENNE MT CMPLX,DPFM,CTY,COLORADO,38.816666,-104.71667
CHICAGO,DPLX,CTY,ILLINOIS,41.883335,-87.6
CHICAGO,DPMA,STG,ILLINOIS,42.083332,-87.816666
CHICAGO,DPMD,PRT,ILLINOIS,41.833332,-87.75
CHICAGO OHARE INT,DPMZ,JAP,ILLINOIS,41.981667,-87.90667
OHARE,DPNB,RTC,ILLINOIS,41.978054,-87.90611
CHICAGO RIDGE,DPNV,CTY,ILLINOIS,41.70139,-87.77917
CHICOPEE,DPYZ,CTY,MASSACHUSETTS,42.183334,-72.61667
CHINHAE,DRUG,PRT,"KOREA, REP OF",35.133335,128.66667
CHIPPEWA FALLS,DRYL,CTY,WISCONSIN,43.166668,-87.96667
CINCINNATI NORTHE,DTVB,CAP,KENTUCKY,39.04889,-84.66778
CINCINNATI,DTVP,CTY,OHIO,39.1,-84.5
CINCINNATI,DTWB,DFP,OHIO,39.433334,-84.5
CLACKAMAS,DUHW,CTY,OREGON,45.416668,-122.583336
CLARION,DVGK,CTY,PENNSYLVANIA,41.216667,-79.38333
DIOSDADO MACAPAGA,DVLK,APT,PHILIPPINES,15.186111,120.56028
CLARKSBURG,DVYP,CTY,WEST VIRGINIA,39.266666,-80.35
CLEAR FORK,DXFX,CTY,WEST VIRGINIA,37.630833,-81.68305
CLEVELAND HOPKINS,DYCS,CAP,OHIO,41.409443,-81.855
CLEVELAND NAVY,DYCZ,ADM,OHIO,41.5,-81.7
CLEVELAND,DYDV,CTY,TENNESSEE,35.15,-84.88333
CLINTON,DYVS,CTY,MASSACHUSETTS,42.416668,-71.683334
CLINTON,DYWP,CTY,MISSISSIPPI,32.336945,-90.329445
CLINTON,DYXQ,CTY,NORTH CAROLINA,35,-78.316666
CLOVIS,EAPD,CTY,NEW MEXICO,34.4,-103.183334
CLYDE,EAQQ,CTY,NORTH CAROLINA,35.533333,-82.916664
MIDDLE GEORGIA RG,EAZP,CAP,GEORGIA,32.69278,-83.64917
COLOMBO,EDME,PRT,SRI LANKA,6.9333334,79.85
COLORADO SPRINGS,EDUG,STG,COLORADO,38.766666,-104.8
COLORADO SPRINGS,EDUJ,CTY,COLORADO,38.83389,-104.82083
COLTS NECK,EDVT,CTY,NEW JERSEY,40.283333,-74.183334
COLUMBIA,EDWC,APT,CALIFORNIA,38.030556,-120.414444
COLUMBIA,EDYN,CTY,MISSOURI,38.966667,-92.333336
COLUMBIA,EEBS,CTY,SOUTH CAROLINA,34,-81
COLUMBUS,EEHR,CTY,GEORGIA,32.466667,-84.98333
COLUMBUS,EEMW,CAP,GEORGIA,32.516388,-84.93889
COLUMBUS AFB,EEPZ,MAP,MISSISSIPPI,33.64528,-88.44583
COLUMBUS,EFGH,ADM,OHIO,39.816666,-82.933334
COLUMBUS,EFGV,CTY,OHIO,39.966667,-83
COLUMBUS ARMY DEP,EFGX,STG,OHIO,39.983334,-82.916664
COLUMBUS,EFHH,ADM,OHIO,39.976387,-82.905556
COMPTON,EGDZ,CTY,CALIFORNIA,33.883335,-118.3
CONCORD,EGNA,AMO,CALIFORNIA,37.983334,-122.05
CONCORD,EGND,CTY,CALIFORNIA,37.983334,-122.05
CONCORD       NWS,EGNF,AMO,CALIFORNIA,37.983334,-122.05
CONCORD,EGNN,PRT,CALIFORNIA,37.933334,-121.933334
CONNELLSVILLE,EHNP,CTY,PENNSYLVANIA,40.016666,-79.583336
CONWAY,EJSP,CTY,ARKANSAS,35.066666,-92.416664
COOS BAY,EKWU,PRT,OREGON,43.383335,-124.2
COOS HEAD,EKWW,CTY,OREGON,42.166668,-124.166664
CORONADO,EMVX,NYI,CALIFORNIA,32.7,-117.166664
CORONADO SD   NPB,EMVY,NYI,CALIFORNIA,32.666668,-117.166664
CORPUS CHRISTI,ENCB,STG,TEXAS,27.683332,-97.26667
CORPUS CHRISTI,ENCF,CTY,TEXAS,27.8,-97.4
CORPUS CHRISTI,ENCJ,DEP,TEXAS,27.690556,-97.289444
CORPUS CHRISTI NA,ENCK,MAP,TEXAS,27.692778,-97.290276
CORPUS CHRISTI NA,ENCN,PRT,TEXAS,27.816668,-97.4
ENID,ENID,RTC,OKLAHOMA,36.427223,-97.88167
COUNCIL BLUFFS,EPKA,CTY,IOWA,41.261944,-95.86083
COVENTRY,EQDF,AGS,RHODE ISLAND,41.720833,-71.59889
FT A P HILL,EQYH,AIN,VIRGINIA,38.116665,-77.25
CP ATTERBURY,ERCH,AIN,INDIANA,39.35,-86.03333
CP BEAUREGARD,ERDH,AIN,LOUISIANA,31.316668,-92.416664
CP BLANDING,ERDY,AIN,FLORIDA,30,-81.98333
ERIE,ERIE,RTC,PENNSYLVANIA,42.135555,-80.0525
CP DAWSON,ERUW,AIN,WEST VIRGINIA,39.45,-79.71667
CP DODGE,ESBW,AIN,IOWA,42.55,-94.183334
FT DRUM,ESGM,AIN,NEW YORK,44.05,-75.73333
CP ELMORE,ESHH,MGI,VIRGINIA,36.93722,-76.28972
CP EDWARDS,ESLM,AIN,MASSACHUSETTS,41.533333,-70.61667
CP GRAYLING,ESPS,AIN,MICHIGAN,44.666668,-84.666664
CAMP LEJEUNE,ETFA,STG,NORTH CAROLINA,34.666668,-77.333336
CP LEJEUNE,ETFB,MGI,NORTH CAROLINA,34.666668,-77.333336
FT MCCOY,ETMB,AIN,WISCONSIN,44.1,-90.683334
CP MURRAY,ETRB,AIN,WASHINGTON,47.116665,-122.566666
CP PENDLETON NAVY,ETVL,HSP,CALIFORNIA,33.316666,-117.38333
CP PARKS,ETVM,AIN,CALIFORNIA,37.730556,-121.90139
CP PENDLETON,ETZB,MGI,CALIFORNIA,33.316666,-117.38333
CP PENDLETON,ETZC,STG,CALIFORNIA,33.316666,-117.38333
CP PERRY,EUBC,AGS,OHIO,41.533333,-83.025
FT PICKETT,EUDB,AIN,VIRGINIA,37.05,-77.933334
CP RAPID,EUFG,AIN,SOUTH DAKOTA,44.1,-103.23333
CP RILEA,EUFM,AIN,OREGON,46.116665,-123.96667
CP RIPLEY,EUFN,AIN,MINNESOTA,44.066666,-96.76667
CP ROBERTS,EUHB,AIN,CALIFORNIA,35.832222,-120.743614
CP ROBINSON,EUKB,AIN,ARKANSAS,34.833332,-92.3
CP SHELBY,EURB,AIN,MISSISSIPPI,31.158333,-89.316666
CP SMITH,EUVB,MGI,HAWAII,21.366667,-157.91667
CP SMITH      MCC,EUVH,STG,HAWAII,21.366667,-157.91667
CP SMITH       BA,EUVJ,STG,HAWAII,21.3,-157.88333
CAMP H M SMITH,EUVK,STG,HAWAII,21.333334,-157.91417
CRANE,EWFK,NYI,INDIANA,39.716667,-86.26667
CRANE         AAP,EWFL,AMO,INDIANA,39.716667,-86.26667
CRESCENT CITY,EWYN,CTY,CALIFORNIA,41.75,-124.333336
CRESTON,EXAN,CTY,IOWA,41.058613,-94.361115
CRESTVIEW,EXCN,CTY,FLORIDA,30.816668,-86.55
CROCKETT,EXGM,PRT,CALIFORNIA,38.05,-122.21667
SUBIC BAY INTL,EYBD,MAP,PHILIPPINES,14.794444,120.271385
DADEVILLE,EZGG,CTY,ALABAMA,32.8,-85.76667
DAHLGREN,EZHK,CTY,VIRGINIA,38.331112,-77.05139
DAKAR,EZMU,PRT,SENEGAL,14.683333,-17.433332
DALLAS FORT WORTH,EZSE,CAP,TEXAS,32.896946,-97.038055
DALLAS,EZTC,CTY,TEXAS,32.283333,-96.78333
MILLENNIUM DALLAS,EZTH,MAP,TEXAS,32.734722,-96.9675
