Day,ActivityType,TailNumber,AirportName,AirportGeoloc,AircraftType,MissionCount,FuelCapacity,FuelLoaded,AirportActivity,Bulk,Oversize,Outsize,TotalWeight,Pax,RampName,MogUsed,MogAvailable,ParkingMogUsed,ParkingMogAvailable,AircraftUse,GroundDelay,NextAirport,ChannelStop,Miles,ChannelMissionId
0,RESOURCE,"",PALERMO,STRL,"","",99999,0,"",0,0,0,0,0,RAMP1,0,5,0,0,0,0,"",NO,0,
0,RESOURCE,"",PATRICK AFB,SXHT,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",CITY OF COLORADO,TDHV,"","",99999,0,"",0,0,0,0,0,C SPRINGS-PETERSN -TDHV-JAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",PLATTSBURGH INTL,THWA,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",POINT MUGU NAS,TKXA,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",POPE AAF,TMKH,"","",99999,0,"",0,0,0,0,0,POPE AFB -TMKH-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",RAMSTEIN AB,TYFR,"","",99999,0,"",0,0,0,0,0,RAMP1,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",RIYADH AB,UGZX,"","",99999,0,"",0,0,0,0,0,RAMP1,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",ROBERT GRAY AAF,UHGN,"","",99999,0,"",0,0,0,0,0,ROBERT GRAY AAF -UHGN-MAP-PARKING,0,5,0,0,0,0,"",NO,0,
0,RESOURCE,"",ROBINS AFB,UHHZ,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",JOSE APONTE DE LA,ULLT,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",ROTA NS,UMXB,"","",99999,0,"",0,0,0,0,0,RAMP1,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",SCOTT AFB MIDAMER,VDYD,"","",99999,0,"",0,0,0,0,0,SCOTT AFB -VDYD-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",MUSCAT INTL,VGHV,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",SEYMOUR JOHNSON A,VKAG,"","",99999,0,"",0,0,0,0,0,SEYMOUR JOHNSON A -VKAG-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",SHAW AFB,VLSB,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",SIGONELLA,VRJT,"","",99999,0,"",0,0,0,0,0,RAMP1,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",PAYA LEBAR,VSMR,"","",99999,0,"",0,0,0,0,0,RAMP1,0,2,0,0,0,0,"",NO,0,
0,RESOURCE,"",SOESTERBERG,VWLB,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",SPANGDAHLEM AB,VYHK,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",LOUISVILLE INTL S,WEAS,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",CHEIKH LARBI TEBE,WSVC,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",TINKER AFB,WWYK,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",TORREJON,XBGX,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",TRAVIS AFB,XDAT,"","",99999,0,"",0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,0,360,0,0,0,0,"",NO,0,
0,RESOURCE,"",TYNDALL AFB,XLWU,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",UPPER HEYFORD,XQDT,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",VANDENBERG AFB,XUMU,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",VOLK FLD,YAQF,"","",99999,0,"",0,0,0,0,0,VOLK FIELD -YAQF-MAP-PARKING,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",WESTOVER ARB METR,YTPM,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",WHITEMAN AFB,YWHG,"","",99999,0,"",0,0,0,0,0,WHITEMAN AFB -YWHG-MAP-PARKING,0,8,0,0,0,0,"",NO,0,
0,RESOURCE,"",WILLOW GROVE NAS,ZAWN,"","",99999,0,"",0,0,0,0,0,WILLOW GROVE NAS -ZAWN-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",WOODBRIDGE,ZFKN,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",WRIGHT PATTERSON,ZHTV,"","",99999,0,"",0,0,0,0,0,WRIGHT-PATTERSON -ZHTV-MAP-PARKING,0,9,0,0,0,0,"",NO,0,
0,RESOURCE,"",OSCODA WURTSMITH,ZJXD,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,RESOURCE,"",YOKOTA AB,ZNRE,"","",99999,0,"",0,0,0,0,0,RAMP1,0,4,0,0,0,0,"",NO,0,
0,RESOURCE,"",YUMA INTL,ZRCE,"","",99999,0,"",0,0,0,0,0,,0,0,0,0,0,0,"",NO,0,
0,HOMESTART,B747-400-XDAT001,TRAVIS AFB,XDAT,B-747P,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1.8999999,0,0,0,1,0,,NO,0,
0,HOMESTART,C17-DKFX001,JB CHARLESTON,DKFX,C-17,0,0,0,HOM,0,0,0,0,0,CHARLESTON AFB-IN -DKFX-JAP-PARKING,0,0,1,0,1,0,,NO,0,
0,HOMESTART,C17-PQWY001,JBLM MCCHORD FLD,PQWY,C-17,0,0,0,HOM,0,0,0,0,0,MCCHORD AFB -PQWY-MAP-PARKING,0,0,1,0,1,0,,NO,0,
0,HOMESTART,C17-XDAT001,TRAVIS AFB,XDAT,C-17,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1,0,0,0,1,0,,NO,0,
0,HOMESTART,C5A-XDAT001,TRAVIS AFB,XDAT,C-5A,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,3,0,0,0,1,0,,NO,0,
0,HOMESTART,CH47-SEA1001,TUNISIASEABASE,SEA1,CH47,0,0,0,HOM,0,0,0,0,0,RAMP1,0,0,1,0,1,0,,NO,0,
0,HOMESTART,KC10-XDAT001,TRAVIS AFB,XDAT,KC-10,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1.2,0,0,0,1,0,,NO,0,
0.1,HOMESTART,B747-400-XDAT002,TRAVIS AFB,XDAT,B-747P,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1.8999999,0,0,0,1,0,,NO,0,
0.125,HOMESTART,C17-DKFX002,JB CHARLESTON,DKFX,C-17,0,0,0,HOM,0,0,0,0,0,CHARLESTON AFB-IN -DKFX-JAP-PARKING,0,0,1,0,1,0,,NO,0,
0.125,HOMESTART,KC10-XDAT002,TRAVIS AFB,XDAT,KC-10,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1.2,0,0,0,1,0,,NO,0,
0.2,HOMESTART,B747-400-XDAT003,TRAVIS AFB,XDAT,B-747P,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1.8999999,0,0,0,1,0,,NO,0,
0.2,HOMESTART,C5A-XDAT002,TRAVIS AFB,XDAT,C-5A,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,3,0,0,0,1,0,,NO,0,
0.25,HOMESTART,C17-DKFX003,JB CHARLESTON,DKFX,C-17,0,0,0,HOM,0,0,0,0,0,CHARLESTON AFB-IN -DKFX-JAP-PARKING,0,0,1,0,1,0,,NO,0,
0.25,HOMESTART,C17-PQWY002,JBLM MCCHORD FLD,PQWY,C-17,0,0,0,HOM,0,0,0,0,0,MCCHORD AFB -PQWY-MAP-PARKING,0,0,1,0,1,0,,NO,0,
0.25,HOMESTART,C17-XDAT002,TRAVIS AFB,XDAT,C-17,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1,0,0,0,1,0,,NO,0,
0.25,HOMESTART,KC10-XDAT003,TRAVIS AFB,XDAT,KC-10,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1.2,0,0,0,1,0,,NO,0,
0.3,HOMESTART,B747-400-XDAT004,TRAVIS AFB,XDAT,B-747P,0,0,0,HOM,0,0,0,0,0,TRAVIS AFB -XDAT-MAP-PARKING,1.8999999,0,0,0,1,0,,NO,0,
0.333,HOMESTART,CH47-SEA1002,TUNISIASEABASE,SEA1,CH47,0,0,0,HOM,0,0,0,0,0,RAMP1,0,0,1,0,1,0,,NO,0,
