RLN,CCC,STons,MTons,Sqft,CargoClass
1:0JLBC,M7C,1.60,2.00,32.00,2
1:0JLBC,R1D,685.30,2715.30,12280.00,2
1:0JLBC,R2B,0.90,9.90,70.00,2
1:0JLBC,R2D,443.80,3394.00,15984.00,2
1:0JLBC,R3D,1.40,9.30,50.00,2
1:0JXC,J7C,1.00,3.00,20.00,2
1:0JXC,M7C,0.10,1.00,1.00,2
1:0JXC,R1D,9.00,50.00,188.00,2
1:0KFA,J2D,11.50,50.00,259.00,2
1:0KFA,J3B,31.00,91.00,532.00,2
1:0KFA,R1D,4506.90,21879.00,86267.00,2
1:0KFA,R2B,34.70,162.00,1375.00,2
1:0KFA,R2D,265.40,907.00,4994.00,2
1:0KFA,R3D,1.40,10.00,50.00,2
1:0KFBC,A1D,1218.00,1943.70,8237.00,2
1:0KFBC,A2D,1640.60,3347.30,16223.00,2
1:0KFBC,J2D,2.20,17.70,101.00,2
1:0KFBC,J7C,135.80,340.00,2716.00,2
1:0KFBC,M7C,4.40,4.00,1.00,2
1:0KFBC,R1D,469.00,1716.50,7779.00,2
1:0KFBC,R2B,97.40,530.50,4383.00,2
1:0KFBC,R2D,673.70,2561.90,15124.00,2
1:0KFBC,R3B,2.40,22.20,240.00,2
1:0KFBC,R3D,1.40,9.30,50.00,2
1:0KGA,J2D,11.50,50.00,259.00,2
1:0KGA,J3B,31.00,91.00,532.00,2
1:0KGA,R1D,4506.90,21879.00,86267.00,2
1:0KGA,R2B,34.70,162.00,1375.00,2
1:0KGA,R2D,265.40,907.00,4994.00,2
1:0KGA,R3D,1.40,10.00,50.00,2
1:0KGBC,J2D,2.30,17.70,101.00,2
1:0KGBC,J7C,28.20,71.00,564.00,2
1:0KGBC,M7C,1.60,2.00,32.00,2
1:0KGBC,R1D,685.30,2715.30,12280.00,2
1:0KGBC,R2B,0.90,9.90,70.00,2
1:0KGBC,R2D,443.80,3394.00,15984.00,2
1:0KGBC,R3D,1.40,9.30,50.00,2
1:0KHA,J2D,11.50,50.00,259.00,2
1:0KHA,J3B,31.00,91.00,532.00,2
1:0KHA,R1D,4506.90,21879.00,86267.00,2
1:0KHA,R2B,34.70,162.00,1375.00,2
1:0KHA,R2D,265.40,907.00,4994.00,2
1:0KHA,R3D,1.40,10.00,50.00,2
1:0LAA,J7C,60.50,151.00,1210.00,2
1:0LAA,R2B,26.00,127.00,1137.00,2
1:0LAA,R2D,19.80,89.00,531.00,2
1:0LBGC,A1D,55.10,83.40,323.00,2
1:0LBGC,A2D,271.20,642.10,3367.00,2
1:0LBGC,J7C,18.40,46.00,368.00,2
1:0LBGC,M7C,2.70,3.00,54.00,2
1:0LBGC,R1D,75.60,229.60,1036.00,2
1:0LBGC,R2B,0.90,9.90,70.00,2
1:0LBGC,R2D,159.30,560.10,3130.00,2
1:0LBGC,R3D,1.40,9.30,50.00,2
1:0MAAC,J2D,2.30,17.70,101.00,2
1:0MAAC,J7C,28.20,71.00,564.00,2
1:0MAAC,M7C,1.60,2.00,32.00,2
1:0MAAC,R1D,685.30,2715.30,12280.00,2
1:0MAAC,R2B,0.90,9.90,70.00,2
1:0MAAC,R2D,443.80,3394.00,15984.00,2
1:0MAAC,R3D,1.40,9.30,50.00,2
1:0MBDC,J2D,2.30,17.70,101.00,2
1:0MBDC,J7C,28.00,70.00,560.00,2
1:0MBDC,M7C,1.00,1.00,20.00,2
1:0MBDC,R1D,599.90,2984.70,12219.00,2
1:0MBDC,R2B,0.90,9.90,70.00,2
1:0MBDC,R2D,1219.50,7839.90,40736.00,2
1:0MBDC,R3D,1.40,9.30,50.00,2
1:0MBKC,J2D,2.30,17.70,101.00,2
1:0MBKC,J7C,28.00,70.00,560.00,2
1:0MBKC,M7C,1.00,1.00,20.00,2
1:0MBKC,R1D,599.90,2984.70,12219.00,2
1:0MBKC,R2B,0.90,9.90,70.00,2
1:0MBKC,R2D,1219.50,7839.90,40736.00,2
1:0MBKC,R3D,1.40,9.30,50.00,2
1:0NACC,J2D,23.00,96.00,480.00,2
1:0NACC,J7C,18.20,46.00,364.00,2
1:0NACC,M7C,0.40,1.00,1.00,2
1:0NACC,R1D,92.60,280.40,1227.00,2
1:0NACC,R2B,1.80,19.80,140.00,2
1:0NACC,R2D,68.90,370.60,2482.00,2
1:0QAAC,A1D,68.40,234.00,972.00,2
1:0QAAC,A2B,4.90,15.20,91.00,2
1:0QAAC,A2D,581.10,1431.60,7047.00,2
1:0QAAC,J2D,16.20,40.50,387.00,2
1:0QAAC,J3B,11.70,145.80,1044.00,2
1:0QAAC,J7C,96.00,240.00,1920.00,2
1:0QAAC,M7C,1.90,2.00,38.00,2
1:0QAAC,R1D,1269.80,3820.10,17126.00,2
1:0QAAC,R2B,23.90,192.80,1400.00,2
1:0QAAC,R2D,758.50,4057.30,24901.00,2
1:0QAAC,R3D,5.60,37.20,200.00,2
1:0QAEC,A1D,57.40,188.40,606.00,2
1:0QAEC,A2D,577.90,1575.20,7922.00,2
1:0QAEC,A3B,2.50,6.30,45.00,2
1:0QAEC,J2B,4.00,16.80,262.00,2
1:0QAEC,J7C,129.70,324.00,2594.00,2
1:0QAEC,M7C,6.90,7.00,1.00,2
1:0QAEC,R1D,99.30,423.30,1607.00,2
1:0QAEC,R2B,98.40,653.40,4895.00,2
1:0QAEC,R2D,1502.60,5298.40,30874.00,2
1:0QAEC,R3B,1.50,10.50,105.00,2
1:0QAEC,R3D,7.00,46.50,250.00,2
1:0QAFC,A1D,68.40,234.00,972.00,2
1:0QAFC,A2B,4.90,15.20,91.00,2
1:0QAFC,A2D,581.10,1431.60,7047.00,2
1:0QAFC,J2D,16.20,40.50,387.00,2
1:0QAFC,J3B,11.70,145.80,1044.00,2
1:0QAFC,J7C,96.00,240.00,1920.00,2
1:0QAFC,M7C,1.90,2.00,38.00,2
1:0QAFC,R1D,1269.80,3820.10,17126.00,2
1:0QAFC,R2B,23.90,192.80,1400.00,2
1:0QAFC,R2D,758.50,4057.30,24901.00,2
1:0QAFC,R3D,5.60,37.20,200.00,2
1:0QBJ,J3C,0.10,1.00,2.00,2
1:0QBJ,J7C,0.30,1.00,6.00,2
1:0QBJ,M7C,0.10,1.00,1.00,2
1:0QBJ,R2D,7.10,36.00,176.00,2
1:0RAAC,J3B,87.50,216.00,1750.00,2
1:0RAAC,R1D,19.10,60.00,382.00,2
1:0RAAC,R2D,1077.90,6299.00,21558.00,2
1:0TABC,J1D,2.20,88.00,385.00,2
1:0TABC,J2D,2.30,17.70,101.00,2
1:0TABC,J7C,96.20,241.00,1924.00,2
1:0TABC,M7C,2.20,3.00,1.00,2
1:0TABC,R1D,948.60,2983.80,13492.00,2
1:0TABC,R2B,15.30,168.30,1190.00,2
1:0TABC,R2D,583.20,3190.90,21458.00,2
1:0TABC,R3D,1.40,9.30,50.00,2
1:0TAE1,A2D,57.30,145.00,668.00,2
1:0TAE1,J3C,1.80,11.00,66.00,2
1:0TAE1,R1D,234.00,546.00,4680.00,2
1:0TAE1,R2B,41.70,142.00,1198.00,2
1:0TAE1,R2D,21.00,45.00,470.00,2
1:0TAEC,A1D,25.70,52.00,219.00,2
1:0TAEC,A2D,498.60,1122.00,5211.00,2
1:0TAEC,J2B,124.60,188.00,2720.00,2
1:0TAEC,J7C,74.80,187.00,1496.00,2
1:0TAEC,M7C,4.50,5.00,1.00,2
1:0TAEC,R2B,183.40,1000.00,8614.00,2
1:0TAEC,R2D,1647.50,5560.00,32084.00,2
1:0TAEC,R3B,0.60,4.00,42.00,2
1:0TAEC,R3D,1.40,9.00,50.00,2
1:0VAAC,J3B,10.90,28.00,218.00,2
1:0VAAC,R2D,70.10,325.00,1402.00,2
1:0VABC,J3B,65.60,167.00,1312.00,2
1:0VABC,R1D,95.90,382.00,1918.00,2
1:0VABC,R2D,670.20,2710.00,13404.00,2
1:0YABC,J3B,12.20,43.00,244.00,2
1:0YABC,R1D,471.40,2249.00,9428.00,2
1:0YABC,R2D,498.60,2667.00,9972.00,2
1:0YACC,J3B,49.40,126.00,988.00,2
1:0YACC,R2D,384.40,3437.00,7688.00,2
1:0YADC,J1D,1.60,64.00,280.00,2
1:0YADC,J7C,19.60,49.00,392.00,2
1:0YADC,M7C,0.10,1.00,2.00,2
1:0YADC,R1D,99.10,282.30,1279.00,2
1:0YADC,R2B,2.70,29.70,210.00,2
1:0YADC,R2D,132.20,605.40,4719.00,2
1:0YADC,R3D,1.40,9.30,50.00,2
1:0YAFC,J1D,2.00,80.00,350.00,2
1:0YAFC,J2D,2.30,17.70,101.00,2
1:0YAFC,J7C,74.30,186.00,1486.00,2
1:0YAFC,M7C,0.40,1.00,8.00,2
1:0YAFC,R1D,368.00,1007.30,4555.00,2
1:0YAFC,R2B,10.30,81.30,599.00,2
1:0YAFC,R2D,482.00,2175.20,16379.00,2
1:0YAFC,R3D,1.40,9.30,50.00,2
1:0YB C,J3B,11.80,30.00,236.00,2
1:0YB C,R2D,39.80,199.00,796.00,2
1:0YB3C,J3B,34.60,85.00,692.00,2
1:0YB3C,R2D,242.80,1318.00,4856.00,2
1:0YB4C,J3B,18.70,47.00,374.00,2
1:0YB4C,R1D,19.10,60.00,382.00,2
1:0YB4C,R2D,132.40,716.00,2648.00,2
1:0YBAC,J7C,15.60,39.00,312.00,2
1:0YBAC,M7C,0.60,1.00,12.00,2
1:0YBAC,R1D,12.70,37.50,170.00,2
1:0YBAC,R2B,3.40,15.40,91.00,2
1:0YBAC,R2D,101.20,471.10,3270.00,2
1:0YBBC,J7C,15.60,39.00,312.00,2
1:0YBBC,M7C,0.60,1.00,12.00,2
1:0YBBC,R1D,12.70,37.50,170.00,2
1:0YBBC,R2B,3.40,15.40,91.00,2
1:0YBBC,R2D,101.20,471.10,3270.00,2
1:0YBCC,A2B,4.90,15.20,91.00,2
1:0YBCC,A2D,182.20,421.30,2009.00,2
1:0YBCC,J2D,7.70,31.20,230.00,2
1:0YBCC,J3B,1.20,19.20,132.00,2
1:0YBCC,J7C,25.40,64.00,508.00,2
1:0YBCC,M7C,0.50,1.00,10.00,2
1:0YBCC,R1D,302.00,942.40,4264.00,2
1:0YBCC,R2B,5.60,50.40,313.00,2
1:0YBCC,R2D,238.00,1440.50,9055.00,2
1:0YBCC,R3D,1.40,9.30,50.00,2
1:0YBDC,J3B,10.60,27.00,212.00,2
1:0YBDC,R2D,120.30,582.00,2406.00,2
1:0YBEC,J3B,10.60,27.00,212.00,2
1:0YBEC,R2D,120.30,582.00,2406.00,2
1:0YBFC,J3B,28.10,70.00,562.00,2
1:0YBFC,R2D,253.80,1188.00,5076.00,2
1:0YBKC,J3B,13.50,33.00,270.00,2
1:0YBKC,R1D,19.10,60.00,382.00,2
1:0YBKC,R2D,244.20,1222.00,4884.00,2
1:0YBLC,J3B,13.50,33.00,270.00,2
1:0YBLC,R1D,19.10,60.00,382.00,2
1:0YBLC,R2D,244.20,1222.00,4884.00,2
1:0YBMC,J3B,19.90,49.00,398.00,2
1:0YBMC,R1D,57.30,180.00,1146.00,2
1:0YBMC,R2D,214.60,1059.00,4292.00,2
1:0YBNC,J3B,28.00,69.00,560.00,2
1:0YBNC,R1D,30.10,111.00,602.00,2
1:0YBNC,R2D,475.90,2503.00,9518.00,2
1:0YBPC,J3B,3.30,14.00,66.00,2
1:0YBPC,R1D,21.00,75.00,420.00,2
1:0YBPC,R2D,193.70,933.00,3874.00,2
1:0YBQC,J3B,17.30,43.00,346.00,2
