Berth Group Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,PORT NAME<String>,BERTH GROUP<String>,Time<Day>,BERTH LENGTH<Ft>,MIN FEET USED<Ft>,MIN LENGTH USE<Percent>,AVG FEET USED<Ft>,AVG LENGTH USE<Percent>,MAX FEET USED<Ft>,MAX LENGTH USE<Percent>,MIN SHIPS ON<Ship>,AVG SHIPS ON<Ship>,MAX SHIPS ON<Ship>
VKNP,TN,SFAX,BG Safaqis NE-1 berth,137.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,138.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,139.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,140.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,141.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,142.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,143.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,144.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,145.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,146.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,147.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,148.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,149.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,150.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,151.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,152.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,153.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,154.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,155.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,156.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,157.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,158.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,159.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,160.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,161.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,162.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,163.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,164.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,165.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,166.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,167.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,168.0,1656.0,0.0,0.0,275.9167,0.16661635,946.0,0.57125604,0.0,0.29166666,1.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,169.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,170.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,171.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,172.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,173.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,174.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,175.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,176.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,177.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,178.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,179.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VKNP,TN,SFAX,BG Safaqis NE-1 berth,180.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
