Crane Utilization
GEOLOC<String>,COUNTRY STATE CODE<String>,NAME<String>,Time<Day>,MIN Usage<Integer>,AVG Usage<Float>,MAX Usage<Integer>,MIN Capacity<Integer>,AVG Capacity<Float>,MAX Capacity<Integer>,MIN Utilization<Integer>,AVG Utilization<Float>,MAX Utilization<Float>
ADLS,TN,AL MAHDIYAH,177,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,178,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,179,0,0.0,0,6,6.0,6,0.0,0.0,0.0
ADLS,TN,AL MAHDIYAH,180,0,0.0,0,6,6.0,6,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,0,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,1,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,2,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,3,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,4,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,5,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,6,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,7,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,8,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,9,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,10,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,11,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,12,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,13,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,14,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,15,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,16,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,17,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,18,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,19,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,20,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,21,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,22,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,23,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,24,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,25,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,26,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,27,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,28,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,29,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,30,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,31,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,32,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,33,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,34,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,35,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,36,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,37,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,38,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,39,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,40,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,41,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,42,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,43,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,44,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,45,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,46,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,47,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,48,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,49,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,50,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,51,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,52,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,53,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,54,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,55,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,56,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,57,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,58,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,59,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,60,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,61,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,62,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,63,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,64,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,65,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,66,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,67,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,68,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,69,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,70,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,71,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,72,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,73,0,0.0,0,2,2.0,2,0.0,0.0,0.0
APFD,TN,AS SUKHAYRAH,74,0,0.0,0,2,2.0,2,0.0,0.0,0.0
