Model,FedTime,Fleet,AcType,Home,AvailToPlanBulk,PlannedBulk,AvailBulk,ScheduledBulk,AvailToPlanOver,PlannedOver,AvailOver,ScheduledOver,AvailToPlanOut,PlannedOut,AvailOut,ScheduledOut,AvailToPlanPax,PlannedPax,AvailPax,ScheduledPax
MAIN,13.05,STRATEGIC,C-17,DKFX,679.7000050321221,196.2000014781952,259.20000348985195,0.0,1570.9000029563904,1507.293797135353,420.5999994277954,0.0,47.20000076293945,38.20000076293945,0.0,0.0,2862,1759,1177,0
MAIN,13.05,STRATEGIC,C-17,PQWY,679.7000050321221,196.2000014781952,259.20000348985195,0.0,1570.9000029563904,1507.293797135353,420.5999994277954,0.0,47.20000076293945,38.20000076293945,0.0,0.0,2862,1759,1177,0
MAIN,13.05,STRATEGIC,C-17,XDAT,679.7000050321221,196.2000014781952,259.20000348985195,0.0,1570.9000029563904,1507.293797135353,420.5999994277954,0.0,47.20000076293945,38.20000076293945,0.0,0.0,2862,1759,1177,0
MAIN,13.05,STRATEGIC,C-5A,XDAT,85.19999992847443,28.399999976158142,0.0,0.0,625.099996805191,8.49999988079071,0.0,0.0,9.0,9.0,0.0,0.0,32,20,0,0
MAIN,13.05,STRATEGIC,KC-10,XDAT,733.0000049844384,307.52344680577517,312.50000344216824,72.7000002861023,903.3000068664551,37.506202697753906,420.5999994277954,17.600000381469727,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,14.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35280,35072,547,0
MAIN,14.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35280,35072,547,0
MAIN,14.05,STRATEGIC,C-17,DKFX,628.9000080898404,182.69076538085938,188.40000034868717,12.200000002980232,1553.300003528595,1479.617554783821,737.7000064849854,57.39999866485596,47.20000076293945,47.20000076293945,0.0,0.0,2731,2413,1593,56
MAIN,14.05,STRATEGIC,C-17,PQWY,628.9000080898404,182.69076538085938,188.40000034868717,0.0,1553.300003528595,1479.617554783821,737.7000064849854,0.0,47.20000076293945,47.20000076293945,0.0,0.0,2731,2413,1593,0
MAIN,14.05,STRATEGIC,C-17,XDAT,628.9000080898404,182.69076538085938,188.40000034868717,0.0,1553.300003528595,1479.617554783821,737.7000064849854,0.0,47.20000076293945,47.20000076293945,0.0,0.0,2731,2413,1593,0
MAIN,14.05,STRATEGIC,C-5A,XDAT,135.19999992847443,78.0,0.0,0.0,625.099996805191,1.399999976158142,0.0,0.0,9.0,0.0,0.0,0.0,32,12,0,0
MAIN,14.05,STRATEGIC,KC-10,XDAT,707.2000080421567,346.44276321679354,266.70000030100346,75.0,875.1000092029572,14.882444262504578,724.4000082015991,0.0,0.0,0.0,0.0,0.0,0,0,0,0
MAIN,15.05,STRATEGIC,B-747P,AEDY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35848,35134,1008,0
MAIN,15.05,STRATEGIC,B-747P,XDAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35848,35134,1008,355
