Model,FedTime,AssetID,AssetType,FromLocation,RampName,FromTime,MissionID,Mode,ToLocation,ToTime,CrewDutyLeft,CrewStatus,GroundDelay,LoadDelay,FuelAmount,ChannelMissionId,ConfigurationChange,ReconfigureTime
MAIN,51.55,KC10-XDAT014,KC-10,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,51.53082,KC10-XDAT014-D0048R0001S01,AIR,XDAT,51.771416,0.5520833,REST,0,0,0,,false,0
MAIN,51.65,C17-PQWY004,C-17,PQWY,MCCHORD AFB -PQWY-MAP-PARKING,51.61732,C17-PQWY004-D0050R0003S01,AIR,FJXT,51.833267,0.5520833,REST,0,0,0,,false,0
MAIN,51.7,C17-DKFX007,C-17,FJXT,DOVER AFB -FJXT-MAP-PARKING,51.684387,C17-DKFX007-D0050R0003S01,AIR,MQNA,51.914364,0.5520833,REST,0,0,0,,false,0
MAIN,51.75,B747-400-XDAT013,B-747P,BPWZ,BIGGS AAF -BPWZ-MAP-PARKING,51.72359,B747-400-XDAT013-D0051R0001S01,AIR,TYFR,52.14685,0.5520833,REST,0,0,0,,false,0
MAIN,51.75,C17-DKFX004,C-17,BPWZ,BIGGS AAF -BPWZ-MAP-PARKING,51.730537,C17-DKFX004-D0050R0005S01,AIR,FJXT,51.89894,0.28609955,WORK,0,0,0,,false,0
MAIN,51.75,C17-DKFX003,C-17,FNWZ,DYESS AFB -FNWZ-MAP-PARKING,51.733536,C17-DKFX003-D0050R0008S01,AIR,FJXT,51.87579,0.5520833,REST,0,0,0,,false,0
MAIN,51.8,B747-400-XDAT011,B-747P,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,51.781536,B747-400-XDAT011-D0051R0003S01,AIR,LEXG,51.970722,0.5520833,CHANGE,0,0,0,,false,0
MAIN,51.8,B747-400-XDAT009,B-747P,CWKW,RAMP1,51.789406,B747-400-XDAT009-D0049R0006S01,AIR,FUQN,51.91701,0.5520833,REST,0,0,0,,false,0
MAIN,51.85,C17-PQWY002,C-17,MQNA,RAMP1,51.802322,C17-PQWY002-D0050R0003S01,AIR,HNTK,51.99286,0.5520833,REST,0,0,0,,false,0
MAIN,51.85,KC10-XDAT013,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,51.803646,KC10-XDAT013-D0051R0002S01,AIR,FJXT,52.013832,0.5520833,CHANGE,0,0,0,,false,0
MAIN,51.85,KC10-XDAT014,KC-10,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,51.833916,KC10-XDAT014-D0051R0002S01,AIR,FJXT,52.0441,0.5520833,CHANGE,0,0,0,,false,0
MAIN,51.85,B747-400-XDAT008,B-747P,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,51.83894,B747-400-XDAT008-D0049R0007S01,AIR,TYFR,51.955494,0.5520833,REST,0,0,0,,false,0
MAIN,51.95,B747-400-XDAT010,B-747P,CWKW,RAMP1,51.918705,B747-400-XDAT010-D0050R0004S01,AIR,FUQN,52.04631,0.5520833,REST,0,0,0,,false,0
MAIN,51.95,KC10-XDAT008,KC-10,HNTK,GABES -HNTK-APT-parking,51.91951,KC10-XDAT008-D0050R0007S01,AIR,MQNA,52.123478,0.5520833,REST,0,0,0,,false,0
MAIN,52,KC10-XDAT009,KC-10,HNTK,GABES -HNTK-APT-parking,51.95884,KC10-XDAT009-D0050R0007S01,AIR,MQNA,52.162807,0.5520833,REST,0.03932953,0,0,,false,0
MAIN,52,KC10-XDAT010,KC-10,HNTK,GABES -HNTK-APT-parking,51.98201,KC10-XDAT010-D0050R0004S01,AIR,MQNA,52.185978,0.5520833,REST,0,0,0,,false,0
MAIN,52.05,C17-DKFX007,C-17,MQNA,RAMP1,52.008114,C17-DKFX007-D0050R0003S01,AIR,FUQN,52.2001,0.22835761,WORK,0,0,0,,false,0
MAIN,52.05,KC10-XDAT011,KC-10,HNTK,GABES -HNTK-APT-parking,52.02134,KC10-XDAT011-D0050R0004S01,AIR,MQNA,52.225307,0.5520833,REST,0.03932953,0,0,,false,0
MAIN,52.05,KC10-XDAT007,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,52.040268,KC10-XDAT007-D0051R0005S01,AIR,MQNA,52.257404,0.5520833,REST,0,0,0,,false,0
MAIN,52.05,B747-400-XDAT009,B-747P,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,52.04201,B747-400-XDAT009-D0049R0006S01,AIR,TYFR,52.158566,0.29947913,WORK,0,0,0,,false,0
MAIN,52.15,C17-XDAT003,C-17,TYFR,RAMP1,52.117393,C17-XDAT003-D0043R0004S03,AIR,HNTK,52.23458,0.5520833,REST,0,0,0,,false,0
MAIN,52.2,C17-DKFX015,C-17,MQNA,RAMP1,52.162807,C17-DKFX015-D0048R0005S01,AIR,DKFX,52.460262,0.5520833,REST,0,0,0,,false,0
MAIN,52.2,B747-400-XDAT010,B-747P,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,52.17131,B747-400-XDAT010-D0050R0004S01,AIR,TYFR,52.287865,0.29947913,WORK,0,0,0,,false,0
MAIN,52.2,KC10-XDAT008,KC-10,MQNA,RAMP1,52.185978,KC10-XDAT008-D0050R0007S01,AIR,PTFL,52.42642,0.28561538,WORK,0,0,0,,false,0
MAIN,52.25,KC10-XDAT009,KC-10,MQNA,RAMP1,52.225307,KC10-XDAT009-D0050R0007S01,AIR,PTFL,52.465748,0.28561538,WORK,0,0,0,,false,0
