Model,FedTime,NumPlanesWaitingToOffload,NumPlanesOffloaded,Longitude,Latitude,Geoloc,Name,Capability
MAIN,-2,0,0,-67.88583374023438,46.95055389404297,NRCH,LORING INTL,1
MAIN,-2,0,0,-112.383056640625,33.53499984741211,NUEX,LUKE AFB,1
MAIN,-2,0,0,-82.52111053466797,27.849445343017578,NVZR,MACDILL AFB,1
MAIN,-2,0,0,10.443611145019531,33.349998474121094,NWXN,MADANIYIN,1
MAIN,-2,0,0,-111.18722534179688,47.504722595214844,NZAS,MALMSTROM AFB HEL,1
MAIN,-2,0,0,9.600000381469727,34.28333282470703,OPA1,FWD BASE,1
MAIN,-2,0,0,-117.25944519042969,33.88083267211914,PCZP,MARCH ARB,1
MAIN,-2,0,0,-77.98472595214844,39.40194320678711,PJVY,EASTERN WV RGNL S,1
MAIN,-2,0,0,-86.36583709716797,32.383056640625,PNQS,MAXWELL AFB,1
MAIN,-2,0,0,-122.47638702392578,47.137779235839844,PQWY,JBLM MCCHORD FLD,1
MAIN,-2,0,0,-97.26750183105469,37.62305450439453,PRQE,MC CONNELL AFB,1
MAIN,-2,0,0,-83.9941635131836,35.81111145019531,PSXE,MC GHEE TYSON,1
MAIN,-2,0,0,-74.59166717529297,40.01555633544922,PTFL,MC GUIRE FLD,1
MAIN,-2,0,0,0.4863888919353485,52.36194610595703,QFQE,MILDENHALL,1
MAIN,-2,0,0,-93.22166442871094,44.88194274902344,QJKL,MINNEAPOLIS ST PA,1
MAIN,-2,0,0,-101.3580551147461,48.41583251953125,QJVF,MINOT AFB,1
MAIN,-2,0,0,-117.14167022705078,32.86833190917969,QKJA,MIRAMAR MCAS,1
MAIN,-2,0,0,-83.19305419921875,30.967777252197266,QSEU,MOODY AFB,1
MAIN,-2,0,0,-115.87249755859375,43.043609619140625,QYZH,MOUNTAIN HOME AFB,1
MAIN,-2,0,0,-78.92833709716797,33.67972183227539,RDRD,MYRTLE BEACH INTL,1
MAIN,-2,0,0,-115.03416442871094,36.23611068725586,RKMF,NELLIS AFB,1
MAIN,-2,0,0,-117.21527862548828,32.69916534423828,RZQH,NORTH ISLAND NAS,1
MAIN,-2,0,0,-76.28916931152344,36.93777847290039,SBDW,NORFOLK NS,1
MAIN,-2,0,0,-117.23500061035156,34.09527587890625,SCEY,SAN BERNARDINO IN,1
MAIN,-2,0,0,10.5,34.28333282470703,SEA1,TUNISIASEABASE,1
MAIN,-2,0,0,-95.90860748291016,41.11944580078125,SGBP,OFFUTT AFB,1
MAIN,-2,0,0,-76.76249694824219,40.19305419921875,SHYQ,HARRISBURG INTL,1
MAIN,-2,0,0,127.02972412109375,37.09055709838867,SMYU,OSAN AB,1
MAIN,-2,0,0,13.091111183166504,38.17583465576172,STRL,PALERMO,1
MAIN,-2,0,0,-80.61000061035156,28.235000610351562,SXHT,PATRICK AFB,1
MAIN,-2,0,0,-104.70083618164062,38.80583190917969,TDHV,CITY OF COLORADO,1
MAIN,-2,0,0,-73.46805572509766,44.65083312988281,THWA,PLATTSBURGH INTL,1
MAIN,-2,0,0,-119.12083435058594,34.120277404785156,TKXA,POINT MUGU NAS,1
MAIN,-2,0,0,-79.01444244384766,35.170833587646484,TMKH,POPE AAF,1
MAIN,-2,0,0,7.606389045715332,49.43611145019531,TYFR,RAMSTEIN AB,1
MAIN,-2,0,0,46.725555419921875,24.712778091430664,UGZX,RIYADH AB,1
MAIN,-2,0,0,-97.82888793945312,31.067222595214844,UHGN,ROBERT GRAY AAF,1
MAIN,-2,0,0,-83.5919418334961,32.64027786254883,UHHZ,ROBINS AFB,1
MAIN,-2,0,0,-65.6433334350586,18.245277404785156,ULLT,JOSE APONTE DE LA,1
MAIN,-2,0,0,-6.349444389343262,36.64527893066406,UMXB,ROTA NS,1
