Model,FedTime,ToTime,ToPurpose,ToLocation,RampName,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,Fleet,CrewType,CrewID,CrewAugmentedSize,CrewAugmentedDuty,MissionID,EarliestReleaseTime,Craf,Contam,Hot,Acl,CrewDutyLeft,OnGroundTime,ServiceTime,ScheduleDelay,CrewRestTime,FuelAmount,ChannelMissionId,SaamId,SaamLegId,ReconfigureTime
MAIN,153.25,153.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,153,HOME,XDAT,AIR,KC-10,KC10-XDAT021,STRATEGIC,"","",false,false,KC10-XDAT021-D0153R0008S01,153.9849,false,false,false,84.675,0.34189898,0.774704,0.20833333,0.14970398,0.4166667,0,,"","",0
MAIN,153.25,153.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,153,HOME,XDAT,AIR,KC-10,KC10-XDAT024,STRATEGIC,"","",false,false,KC10-XDAT024-D0153R0008S01,154.0474,false,false,false,84.675,0.34189898,0.837204,0.20833333,0.21220398,0.4166667,0,,"","",0
MAIN,153.25,153.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,153,HOME,XDAT,AIR,KC-10,KC10-XDAT022,STRATEGIC,"","",false,false,KC10-XDAT022-D0153R0008S01,154.0474,false,false,false,84.675,0.34189898,0.837204,0.20833333,0.21220398,0.4166667,0,,"","",0
MAIN,153.25,153.24806,UNLOAD,HNTK,GABES -HNTK-APT-parking,153.13869,ENROUTE,TYFR,AIR,KC-10,KC10-XDAT034,STRATEGIC,"","",false,false,KC10-XDAT034-D0151R0009S01,153.37306,false,false,false,84.675,0.4427083,0.125,0.125,0,0,0,,"","",0
MAIN,153.25,153.24806,UNLOAD,HNTK,GABES -HNTK-APT-parking,153.13869,ENROUTE,TYFR,AIR,KC-10,KC10-XDAT027,STRATEGIC,"","",false,false,KC10-XDAT027-D0151R0009S01,153.37306,false,false,false,84.675,0.4427083,0.125,0.125,0,0,0,,"","",0
MAIN,153.3,153.29451,UNLOAD,HNTK,GABES -HNTK-APT-parking,153.11482,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT012,STRATEGIC,"","",false,false,KC10-XDAT012-D0152R0008S01,153.99806,false,false,false,84.675,0.09276074,0.70355225,0.125,0.078552246,0.5,0,,"","",0
MAIN,153.35,153.31056,UNLOAD,HNTK,GABES -HNTK-APT-parking,153.20119,ENROUTE,TYFR,AIR,KC-10,KC10-XDAT031,STRATEGIC,"","",false,false,KC10-XDAT031-D0151R0009S01,153.43556,false,false,false,84.675,0.4427083,0.125,0.125,0,0,0,,"","",0
MAIN,153.45,153.42642,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,153.18597,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT033,STRATEGIC,"","",false,false,KC10-XDAT033-D0151R0008S01,154.05142,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,153.45,153.42642,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,153.18597,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT009,STRATEGIC,"","",false,false,KC10-XDAT009-D0151R0008S01,154.05142,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,153.45,153.42642,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,153.18597,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT011,STRATEGIC,"","",false,false,KC10-XDAT011-D0151R0008S01,154.05142,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,153.5,153.478,ENROUTE,MQNA,RAMP1,153.27403,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT038,STRATEGIC,"","",false,false,KC10-XDAT038-D0151R0005S01,153.5405,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,153.6,153.57703,ENROUTE,MQNA,RAMP1,153.37306,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT034,STRATEGIC,"","",false,false,KC10-XDAT034-D0151R0009S01,154.20203,false,false,false,84.675,0.1137404,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,153.6,153.57703,ENROUTE,MQNA,RAMP1,153.37306,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT027,STRATEGIC,"","",false,false,KC10-XDAT027-D0151R0009S01,154.20203,false,false,false,84.675,0.1137404,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,153.65,153.63953,ENROUTE,MQNA,RAMP1,153.43556,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT031,STRATEGIC,"","",false,false,KC10-XDAT031-D0151R0009S01,154.26453,false,false,false,84.675,0.1137404,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,153.8,153.78094,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,153.5405,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT038,STRATEGIC,"","",false,false,KC10-XDAT038-D0151R0005S01,154.40594,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,154.25,154.20203,ENROUTE,MQNA,RAMP1,153.9849,LOAD,FJXT,AIR,KC-10,KC10-XDAT021,STRATEGIC,"","",false,false,KC10-XDAT021-D0153R0008S01,154.26453,false,false,false,84.675,0.33494824,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.25,154.20203,ENROUTE,MQNA,RAMP1,153.99806,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT012,STRATEGIC,"","",false,false,KC10-XDAT012-D0152R0008S01,154.26453,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
