Model,FedTime,MissionId,UID,Stons,Pax,Length,Width,Height,X,Y,Hazmat,CompartmentName,LegId,SeatCode
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT48_1,1,0,108,88,60,240,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT49_1,1,0,108,88,60,1038,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000010.PLT50_1,1,0,108,88,60,126,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000011.PLT1_1,1,0,108,88,60,1152,15,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000011.PLT2_1,1,0,108,88,60,1038,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000011.PLT3_1,1,0,108,88,60,12,14,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000011.PLT4_1,1,0,108,88,60,1152,109,false,AFT/CENTER/LOWER,3,
MAIN,26.9,KC10-XDAT034-D0025R0001S01,1:0000011.PLT5_1,1,0,108,88,60,12,108,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT12_1,1,0,108,88,60,582,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT13_1,1,0,108,88,60,696,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT14_1,1,0,108,88,60,582,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT15_1,1,0,108,88,60,468,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT16_1,1,0,108,88,60,696,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT17_1,1,0,108,88,60,354,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT18_1,1,0,108,88,60,468,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT19_1,1,0,108,88,60,810,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT20_1,1,0,108,88,60,354,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT21_1,1,0,108,88,60,924,15,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT22_1,1,0,108,88,60,810,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT23_1,1,0,108,88,60,240,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT24_1,1,0,108,88,60,924,109,false,AFT/CENTER/LOWER,3,
MAIN,26.95,KC10-XDAT033-D0025R0001S01,1:0000010.PLT25_1,1,0,108,88,60,126,109,false,AFT/CENTER/LOWER,3,
