Model,FedTime,AssetID,AmountAvailable,AmountAvailableAddSea,AmountPlanned,AmountCommited,AmountCancelled
MAIN,16.05,8320559,24978.317672729492,0.0,0.0,0.0,0.0
MAIN,16.05,8320779,7353.400344848633,4244.89990234375,4394.399993896484,4394.399993896484,0.0
MAIN,16.05,8322789,24935.01759338379,0.0,0.0,0.0,0.0
MAIN,16.05,8412869,4244.89990234375,0.0,0.0,0.0,0.0
MAIN,16.05,8413239,23250.517623901367,0.0,0.0,0.0,0.0
MAIN,16.05,8419142,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,8419154,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,8419166,10.600006103515625,0.0,0.0,0.0,0.0
MAIN,16.05,8600179,8912.600402832031,0.0,0.0,0.0,0.0
MAIN,16.05,8613322,19005.617721557617,0.0,0.0,0.0,0.0
MAIN,16.05,8616283,10.600006103515625,0.0,0.0,0.0,0.0
