Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,BerthName,Contam
MAIN,46.15,1811111,1811111-2,VKNP,CONT-NSS,POD,46.125,BG Safaqis cont-1 berth,false
MAIN,46.25,7320411,7320411-2,QTUP,BARGE(T-AKB),POE,46.208332,MOREHEAD CITY BG-QTUP -19792,false
MAIN,46.5,8412869,8412869-1,VKNP,RO/RO,POD,46.458332,BG Safaqis cont-1 berth,false
MAIN,46.95,7224306,7224306-2,RUAM,CONT-NSS,POE,46.941666,Unconstrained,false
MAIN,47.4,8450665,8450665-1,SBEA,RO/RO,POE,47.375,NORFOLK berth group-SBEA,false
MAIN,47.95,8419154,8419154-1,HNTS,CONT-NSS,POD,47.916668,BG Gabes berth1,false
MAIN,48.6,7717171,7717171-1,HNTS,COMBO,POD,48.583332,BG Gabes berth1,false
MAIN,48.8,7635933,7635933-1,VKNP,CONT-NSS,POD,48.791668,BG Safaqis cont-1 berth,false
MAIN,49.95,6913429,6913429-2,VKNP,COMBO,POD,49.916668,BG Safaqis cont-1 berth,false
MAIN,50.1,6812211,6812211-1,AVBU,CONT-NSS,POE,50.05764,Unconstrained,false
MAIN,50.55,9064267,9064267-1,HNTS,CONT-NSS,POD,50.5,BG Gabes berth1,false
MAIN,51.1,8322789,8322789-1,VKNP,CONT-NSS,POD,51.083332,BG Safaqis cont-1 berth,false
MAIN,51.9,7026259,7026259-2,RUAM,CONT-NSS,POE,51.890972,Unconstrained,false
MAIN,52.05,7729459,7729459-1,VKNP,CONT-NSS,POD,52.041668,BG Safaqis cont-1 berth,false
MAIN,52.45,7050248,7050248-2,DKSD,BARGE(T-AKB),POE,52.416668,Charleston-DKSD Terminal-19777,false
MAIN,52.6,6828624,6828624-2,VKNP,CONT-NSS,POD,52.583332,BG Safaqis cont-1 berth,false
MAIN,52.65,9007817,9007817-1,VKNP,CONT-NSS,POD,52.625,BG Safaqis cont-2 berth,false
MAIN,52.8,8419166,8419166-1,QTUP,CONT-NSS,POE,52.75,MOREHEAD CITY BG-QTUP -19792,false
MAIN,52.85,7034335,7034335-2,WPVT,BARGE(T-AKB),POE,52.833332,TACOMA berth group-WPVT,false
MAIN,53.2,7714349,7714349-1,HNTS,CONT-NSS,POD,53.166668,BG Gabes berth1,false
MAIN,53.5,7116315,7116315-1,VKNP,CONT-NSS,POD,53.458332,BG Safaqis cont-1 berth,false
MAIN,54.15,8902400,8902400-2,RUAM,CONT-NSS,POE,54.129166,Unconstrained,false
MAIN,54.55,8902395,8902395-2,RUAM,CONT-NSS,POE,54.515972,Unconstrained,false
MAIN,54.6,7224306,7224306-2,VKNP,CONT-NSS,POD,54.583332,BG Safaqis cont-1 berth,false
MAIN,54.65,7233278,7233278-1,HNTS,CONT-NSS,POD,54.625,BG Gabes berth1,false
MAIN,54.95,6708379,6708379-1,HNTS,CONT-NSS,POD,54.916668,BG Gabes berth1,false
MAIN,55,7304792,7304792-2,UTAC,BARGE(T-AKB),POE,54.958332,SAN DIEGO berth group-UTAC,false
MAIN,55.3,8419142,8419142-1,VKNP,CONT-NSS,POD,55.25,BG Safaqis cont-1 berth,false
MAIN,55.8,5386605,5386605-1,VKNP,T-ACS,POD,55.75,BG Safaqis cont-1 berth,false
MAIN,56.35,7320411,7320411-2,HNTS,BARGE(T-AKB),POD,56.333332,BG Gabes berth1,false
