Model,FedTime,Day,AssetPool,VehType,VehLoadsAvail,VehLoadsAvailReady,VehLoadsPlanned,VehLoadsPlannedReady,VehLoadsScheduled,VehLoadsScheduledReady,VehLoadsCommitted,VehLoadsExecuted
MAIN,9.05,8,twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,1.6923077180981636,0.0,1.6923077180981636,0.0,0.0,0.0,0.0,0.0
MAIN,9.05,8,BIZERTE DD,Commercial 10-Ton Tractor/Commercial Semitrailer,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0
MAIN,9.05,8,BIZERTE DD,M1074 PLS,22.0,22.0,22.0,22.0,22.0,22.0,0.0,0.0
MAIN,10.05,9,eleven,68FLAT,3078.0,309.0,2980.0,408.0,9.0,0.0,0.0,9.0
MAIN,10.05,9,eleven,Commercial 10-Ton Tractor/Commercial Semitrailer,59.78574216365814,1.6923077180981636,59.78574216365814,1.6923077180981636,59.28574216365814,1.6923077180981636,0.0,59.28574217110872
MAIN,10.05,9,eleven,Commercial Bus 45-pax,11.48888874053955,0.0,11.48888874053955,0.0,11.48888874053955,0.0,0.0,11.488888889551163
MAIN,10.05,9,eleven,commercial medium railcar,1634.16812999174,103.0,1596.2236853279173,148.55555557087064,1596.1681297719479,148.50000001490116,0.0,191.25473003461957
MAIN,10.05,9,five,54DODX,130.0,0.0,130.0,0.0,65.0,0.0,0.0,65.0
MAIN,10.05,9,five,commercial boxcar,30.5,0.0,30.5,0.0,2.0,0.0,0.0,15.5
MAIN,10.05,9,five,commercial medium railcar,319.9804855212569,0.0,319.9804855212569,0.0,66.62390292063355,0.0,0.0,21.676190495491028
MAIN,10.05,9,four,M1070 HET Tractor/M1000 70-Ton HET Trailer,112.5,0.0,112.5,0.0,23.5,0.0,0.0,0.0
MAIN,10.05,9,four,M123 10-Ton Tractor/M870 40-Ton Lowbed,110.5,0.0,110.5,0.0,89.0,0.0,0.0,0.0
MAIN,10.05,9,nine,Commercial 10-Ton Tractor/Commercial Semitrailer,25.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0
MAIN,10.05,9,nine,Commercial Bus 45-pax,3.777777671813965,0.0,3.777777671813965,0.0,3.777777671813965,0.0,0.0,3.7777777910232544
MAIN,10.05,9,nine,commercial medium railcar,319.9804855212569,0.0,313.5000934191048,120.7333333492279,313.5000934191048,120.7333333492279,0.0,59.84285715222359
MAIN,10.05,9,one,54DODX,750.0,28.0,749.0,29.0,396.0,1.0,0.0,0.0
MAIN,10.05,9,one,Commercial 10-Ton Tractor/Commercial Semitrailer,35.333333015441895,0.0,35.333333015441895,0.0,3.5,0.0,0.0,0.0
MAIN,10.05,9,one,M1070 HET Tractor/M1000 70-Ton HET Trailer,266.5,0.0,266.5,0.0,266.5,0.0,0.0,237.0
MAIN,10.05,9,one,M1083 WOWN 5-Ton MTV,53.0,0.0,53.0,0.0,53.0,0.0,0.0,52.0
MAIN,10.05,9,one,commercial medium railcar,1517.4996431916952,36.66666662693024,1357.9788475111127,63.52790356427431,1091.7788475081325,62.52790356427431,0.0,120.13571447134018
MAIN,10.05,9,seven,54DODX,572.0,0.0,567.0,10.0,0.0,0.0,0.0,0.0
MAIN,10.05,9,seven,Commercial Bus 45-pax,15.266666412353516,0.0,15.266666412353516,0.0,0.0,0.0,0.0,0.0
MAIN,10.05,9,seven,M1070 HET Tractor/M1000 70-Ton HET Trailer,172.58333346247673,0.0,113.91666674613953,0.0,99.91666674613953,0.0,0.0,0.0
MAIN,10.05,9,seven,M1074 PLS,86.38888883590698,1.7500000223517418,86.38888883590698,1.7500000223517418,0.0,0.0,0.0,0.0
MAIN,10.05,9,seven,M1083 WOWN 5-Ton MTV,233.0,8.5,233.0,8.5,0.0,0.0,0.0,0.0
MAIN,10.05,9,six,Commercial Bus 45-pax,3.777777671813965,0.0,3.777777671813965,0.0,0.0,0.0,0.0,0.0
MAIN,10.05,9,six,M1083 WOWN 5-Ton MTV,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
MAIN,10.05,9,ten,commercial boxcar,203.0,0.0,187.0,8.5,20.0,8.0,0.0,11.0
MAIN,10.05,9,ten,commercial medium railcar,918.503798186779,0.0,880.5593535229564,45.55555557087064,222.74780587479472,0.0555555559694767,0.0,195.76676012948155
MAIN,10.05,9,twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,66.54331784695387,1.6923077180981636,66.54331784695387,1.6923077180981636,7.257575683295727,0.0,0.0,6.757575772702694
MAIN,10.05,9,twelve,Commercial Bus 45-pax,11.48888874053955,0.0,11.48888874053955,0.0,0.0,0.0,0.0,0.0
MAIN,10.05,9,two,Commercial 10-Ton Tractor/Commercial Semitrailer,5.924242347478867,0.0,5.924242347478867,0.0,2.5,0.0,0.0,0.0
MAIN,10.05,9,two,Commercial HET Tractor/Commercial HET Trailer,245.08333334326744,0.0,245.08333334326744,0.0,132.58333334326744,0.0,0.0,0.0
MAIN,10.05,9,two,M1083 WOWN 5-Ton MTV,16.5,0.0,16.5,0.0,16.5,0.0,0.0,0.0
MAIN,10.05,9,BIZERTE DD,Commercial 10-Ton Tractor/Commercial Semitrailer,31.25,31.25,31.25,31.25,0.0,0.0,0.0,0.0
MAIN,10.05,9,BIZERTE DD,M1074 PLS,31.25,31.25,31.25,31.25,31.25,31.25,0.0,22.0
MAIN,11.05,10,eleven,68FLAT,2907.0,2565.0,2578.0,2476.0,327.0,225.0,0.0,124.0
MAIN,11.05,10,eleven,Commercial 10-Ton Tractor/Commercial Semitrailer,6.815268114209175,0.5,6.815268114209175,0.5,6.315268114209175,0.0,0.0,6.315268099308014
MAIN,11.05,10,eleven,Commercial Bus 45-pax,5.177777737379074,0.0,5.177777737379074,0.0,1.4888889491558075,0.0,0.0,1.4888888970017433
MAIN,11.05,10,eleven,commercial medium railcar,1873.5983547829092,1564.9133988246322,1633.2401844412088,1526.873716071248,1287.1226898804307,1287.1226898804307,0.0,137.9523810148239
MAIN,11.05,10,five,54DODX,65.0,65.0,65.0,65.0,0.0,0.0,0.0,0.0
MAIN,11.05,10,five,commercial boxcar,20.0,20.0,20.0,20.0,6.0,6.0,0.0,0.0
MAIN,11.05,10,five,commercial medium railcar,233.77815123274922,233.77815123274922,233.77815123274922,233.77815123274922,42.99999997019768,42.99999997019768,0.0,0.0
MAIN,11.05,10,four,M1070 HET Tractor/M1000 70-Ton HET Trailer,112.5,112.5,112.5,112.5,23.5,23.5,0.0,0.0
MAIN,11.05,10,four,M123 10-Ton Tractor/M870 40-Ton Lowbed,110.5,110.5,110.5,110.5,89.0,89.0,0.0,0.0
MAIN,11.05,10,nine,Commercial 10-Ton Tractor/Commercial Semitrailer,27.510416269302368,27.510416269302368,27.510416269302368,27.510416269302368,27.510416269302368,27.510416269302368,0.0,23.604166567325592
MAIN,11.05,10,nine,commercial medium railcar,260.13762836903334,260.13762836903334,253.65723626688123,253.65723626688123,253.65723626688123,253.65723626688123,0.0,3.0
MAIN,11.05,10,one,54DODX,663.0,634.0,650.0,650.0,477.0,477.0,0.0,37.0
MAIN,11.05,10,one,Commercial 10-Ton Tractor/Commercial Semitrailer,4.0,4.0,4.0,4.0,3.5,3.5,0.0,3.5
MAIN,11.05,10,one,M1070 HET Tractor/M1000 70-Ton HET Trailer,29.5,29.5,29.5,29.5,29.5,29.5,0.0,2.0
MAIN,11.05,10,one,M1083 WOWN 5-Ton MTV,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
MAIN,11.05,10,one,commercial medium railcar,1386.652164593339,1358.9521644562483,1364.8658900931478,1362.532556720078,1016.43479757756,1016.43479757756,0.0,231.46361787617207
MAIN,11.05,10,seven,54DODX,464.0,301.0,352.0,292.0,0.0,0.0,0.0,0.0
MAIN,11.05,10,seven,Commercial Bus 45-pax,5.266666620969772,0.0,5.266666620969772,0.0,3.777777671813965,0.0,0.0,0.0
MAIN,11.05,10,seven,M1070 HET Tractor/M1000 70-Ton HET Trailer,172.58333346247673,172.58333346247673,172.58333346247673,172.58333346247673,172.58333346247673,172.58333346247673,0.0,89.16666677594185
MAIN,11.05,10,seven,M1074 PLS,34.358315609395504,27.691648960113525,34.358315609395504,27.691648960113525,0.0,0.0,0.0,0.0
MAIN,11.05,10,seven,M1083 WOWN 5-Ton MTV,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
MAIN,11.05,10,ten,commercial boxcar,184.5,106.5,111.5,90.5,25.5,19.5,0.0,0.0
MAIN,11.05,10,ten,commercial medium railcar,1076.1672629080713,767.4823069497943,835.809092566371,729.4426241964102,238.18019386008382,193.5065826959908,0.0,50.176190584897995
MAIN,11.05,10,twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,6.815268114209175,0.5,6.815268114209175,0.5,0.5,0.5,0.0,0.5
MAIN,11.05,10,twelve,Commercial Bus 45-pax,8.955555409193039,0.0,8.955555409193039,0.0,7.4666664600372314,0.0,0.0,0.0
MAIN,11.05,10,two,Commercial 10-Ton Tractor/Commercial Semitrailer,5.924242347478867,5.924242347478867,5.924242347478867,5.924242347478867,2.5,2.5,0.0,0.0
MAIN,11.05,10,two,Commercial HET Tractor/Commercial HET Trailer,245.08333334326744,245.08333334326744,245.08333334326744,245.08333334326744,132.58333334326744,132.58333334326744,0.0,89.08333334326744
MAIN,11.05,10,two,M1083 WOWN 5-Ton MTV,16.5,16.5,16.5,16.5,16.5,16.5,0.0,16.5
MAIN,11.05,10,BIZERTE DD,Commercial 10-Ton Tractor/Commercial Semitrailer,9.25,9.25,9.25,9.25,0.0,0.0,0.0,0.0
MAIN,11.05,10,BIZERTE DD,M1074 PLS,9.25,9.25,9.25,9.25,9.25,9.25,0.0,9.25
MAIN,12.05,11,eleven,68FLAT,2659.0,2659.0,2290.0,2290.0,876.0,876.0,0.0,157.0
MAIN,12.05,11,eleven,Commercial 10-Ton Tractor/Commercial Semitrailer,2.516666630282998,0.0,2.516666630282998,0.0,2.516666630282998,0.0,0.0,2.5166666600853205
MAIN,12.05,11,eleven,Commercial Bus 45-pax,4.7111110389232635,3.6888887882232666,4.7111110389232635,3.6888887882232666,1.022222250699997,0.0,0.0,1.022222252562642
MAIN,12.05,11,eleven,commercial medium railcar,1641.1935932300985,1641.1935932300985,1467.8354229182005,1467.8354229182005,858.825431663543,858.825431663543,0.0,186.56666672229767
MAIN,12.05,11,five,54DODX,4.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0
MAIN,12.05,11,five,commercial boxcar,15.0,15.0,15.0,15.0,6.0,6.0,0.0,0.0
MAIN,12.05,11,five,commercial medium railcar,173.54705876484513,173.54705876484513,173.54705876484513,173.54705876484513,42.99999997019768,42.99999997019768,0.0,0.0
MAIN,12.05,11,four,Commercial Bus 45-pax,3.777777671813965,0.0,3.777777671813965,0.0,0.0,0.0,0.0,0.0
MAIN,12.05,11,four,M1070 HET Tractor/M1000 70-Ton HET Trailer,112.5,112.5,112.5,112.5,23.5,23.5,0.0,23.5
MAIN,12.05,11,four,M123 10-Ton Tractor/M870 40-Ton Lowbed,110.5,110.5,110.5,110.5,89.0,89.0,0.0,89.0
MAIN,12.05,11,nine,Commercial 10-Ton Tractor/Commercial Semitrailer,3.906249761581421,3.906249761581421,3.906249761581421,3.906249761581421,3.906249761581421,3.906249761581421,0.0,3.9062498211860657
MAIN,12.05,11,nine,commercial medium railcar,257.13762836903334,257.13762836903334,250.65723626688123,250.65723626688123,250.65723626688123,250.65723626688123,0.0,57.33333334326744
MAIN,12.05,11,one,54DODX,609.0,515.0,486.0,486.0,440.0,440.0,0.0,60.0
MAIN,12.05,11,one,M1070 HET Tractor/M1000 70-Ton HET Trailer,29.5,27.5,29.5,27.5,29.5,27.5,0.0,26.5
MAIN,12.05,11,one,commercial medium railcar,1345.2000635415316,1140.2669779732823,1104.8140368759632,1102.4807034730911,767.7162776738405,767.3829443305731,0.0,90.7333333492279
MAIN,12.05,11,seven,54DODX,400.0,400.0,383.0,383.0,0.0,0.0,0.0,0.0
MAIN,12.05,11,seven,Commercial Bus 45-pax,4.799999922513962,3.777777671813965,4.799999922513962,3.777777671813965,3.777777671813965,3.777777671813965,0.0,0.0
MAIN,12.05,11,seven,M1070 HET Tractor/M1000 70-Ton HET Trailer,83.4166667163372,83.4166667163372,83.4166667163372,83.4166667163372,83.4166667163372,83.4166667163372,0.0,0.0
MAIN,12.05,11,seven,M1074 PLS,6.64586709998548,4.014989376068115,6.64586709998548,4.014989376068115,0.0,0.0,0.0,0.0
MAIN,12.05,11,seven,M1083 WOWN 5-Ton MTV,12.58333333581686,0.0,12.58333333581686,0.0,0.0,0.0,0.0,0.0
MAIN,12.05,11,ten,commercial boxcar,142.0,142.0,69.0,69.0,25.5,25.5,0.0,1.0
MAIN,12.05,11,ten,commercial medium railcar,957.2053578458726,957.2053578458726,783.8471875339746,783.8471875339746,274.6441175863147,274.6441175863147,0.0,43.64705887809396
MAIN,12.05,11,twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,2.516666630282998,0.0,2.516666630282998,0.0,0.0,0.0,0.0,0.0
MAIN,12.05,11,twelve,Commercial Bus 45-pax,8.488888710737228,7.4666664600372314,8.488888710737228,7.4666664600372314,7.4666664600372314,7.4666664600372314,0.0,3.688888907432556
MAIN,12.05,11,two,Commercial 10-Ton Tractor/Commercial Semitrailer,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0
MAIN,12.05,11,two,Commercial Bus 45-pax,7.55555534362793,0.0,7.55555534362793,0.0,7.55555534362793,0.0,0.0,0.0
MAIN,12.05,11,two,Commercial HET Tractor/Commercial HET Trailer,156.0,156.0,156.0,156.0,43.5,43.5,0.0,0.0
MAIN,12.05,11,BIZERTE DD,Commercial 10-Ton Tractor/Commercial Semitrailer,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0
MAIN,12.05,11,BIZERTE DD,Commercial Bus 45-pax,2.088888891041279,2.088888891041279,2.088888891041279,2.088888891041279,2.088888891041279,2.088888891041279,0.0,0.0
MAIN,12.05,11,BIZERTE DD,M1074 PLS,12.5,12.5,12.5,12.5,12.5,12.5,0.0,0.0
MAIN,13.05,12,eleven,68FLAT,2040.0,2040.0,1815.0,1815.0,574.0,574.0,0.0,67.0
MAIN,13.05,12,eleven,Commercial 10-Ton Tractor/Commercial Semitrailer,1.6923077180981636,0.0,1.6923077180981636,0.0,1.6923077180981636,0.0,0.0,1.6923077180981636
MAIN,13.05,12,eleven,Commercial Bus 45-pax,14.466666638851166,0.0,14.466666638851166,0.0,14.466666638851166,0.0,0.0,14.466666743159294
MAIN,13.05,12,eleven,commercial medium railcar,1211.0632004961371,1211.0632004961371,1106.13836370036,1106.13836370036,702.6899180598557,702.6899180598557,0.0,50.61372559145093
MAIN,13.05,12,five,54DODX,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MAIN,13.05,12,five,commercial boxcar,15.0,15.0,15.0,15.0,6.0,6.0,0.0,0.0
MAIN,13.05,12,five,commercial medium railcar,113.81372541561723,113.81372541561723,113.81372541561723,113.81372541561723,43.33333331346512,43.33333331346512,0.0,0.0
MAIN,13.05,12,four,Commercial Bus 45-pax,3.777777671813965,3.777777671813965,3.777777671813965,3.777777671813965,0.0,0.0,0.0,0.0
MAIN,13.05,12,nine,Commercial Bus 45-pax,3.7555556297302246,0.0,3.7555556297302246,0.0,3.7555556297302246,0.0,0.0,0.0
