Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,RampName,Departed,Contam
MAIN,55.95,KC10-XDAT011,KC10-XDAT011-D0054R0005S01,HNTK,KC-10,PLACE_HOLDER,55.91951,GABES -HNTK-APT-parking,false,false
MAIN,55.95,KC10-XDAT012,KC10-XDAT012-D0054R0004S01,HNTK,KC-10,PLACE_HOLDER,55.91951,GABES -HNTK-APT-parking,false,false
MAIN,56,KC10-XDAT015,KC10-XDAT015-D0054R0001S01,HNTK,KC-10,PLACE_HOLDER,55.98201,GABES -HNTK-APT-parking,false,false
MAIN,56.05,KC10-XDAT013,KC10-XDAT013-D0056R0003S01,XDAT,KC-10,PLACE_HOLDER,56,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,56.05,KC10-XDAT014,KC10-XDAT014-D0056R0003S01,XDAT,KC-10,PLACE_HOLDER,56,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,56.05,KC10-XDAT016,KC10-XDAT016-D0056R0001S01,XDAT,KC-10,PLACE_HOLDER,56,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,56.05,KC10-XDAT017,KC10-XDAT017-D0056R0001S01,XDAT,KC-10,PLACE_HOLDER,56,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,56.05,KC10-XDAT018,KC10-XDAT018-D0056R0001S01,XDAT,KC-10,PLACE_HOLDER,56,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,56.05,KC10-XDAT019,KC10-XDAT019-D0056R0001S01,XDAT,KC-10,PLACE_HOLDER,56,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,56.05,B747-400-XDAT012,B747-400-XDAT012-D0054R0002S01,FUQN,B-747P,PLACE_HOLDER,56.005886,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,56.1,C17-PQWY004,C17-PQWY004-D0050R0003S02,MQNA,C-17,PLACE_HOLDER,56.050476,RAMP1,false,false
MAIN,56.1,B747-400-XDAT013,B747-400-XDAT013-D0054R0002S01,TYFR,B-747P,PLACE_HOLDER,56.065876,RAMP1,false,false
MAIN,56.15,B747-400-XDAT007,B747-400-XDAT007-D0056R0007S01,XDAT,B-747P,PLACE_HOLDER,56.117973,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,56.2,KC10-XDAT010,KC10-XDAT010-D0054R0005S01,MQNA,KC-10,PLACE_HOLDER,56.185978,RAMP1,false,false
MAIN,56.2,KC10-XDAT011,KC10-XDAT011-D0054R0005S01,MQNA,KC-10,PLACE_HOLDER,56.185978,RAMP1,false,false
MAIN,56.2,KC10-XDAT012,KC10-XDAT012-D0054R0004S01,MQNA,KC-10,PLACE_HOLDER,56.185978,RAMP1,false,false
MAIN,56.2,B747-400-XDAT009,B747-400-XDAT009-D0053R0007S01,TYFR,B-747P,PLACE_HOLDER,56.19639,RAMP1,false,false
MAIN,56.25,KC10-XDAT015,KC10-XDAT015-D0054R0001S01,MQNA,KC-10,PLACE_HOLDER,56.248478,RAMP1,false,false
MAIN,56.3,B747-400-XDAT013,B747-400-XDAT013-D0054R0002S01,FUQN,B-747P,PLACE_HOLDER,56.291714,THYNA-EL MAOU -FUQN-IAP-parking,false,false
