Model,FedTime,Key,PositionUpdateTime,ShipStatus,Longitude,Latitude
MAIN,175.75,6828624,0,AT_SEA_EMPTY,-67.94999694824219,18.5
MAIN,175.8,1811111,0,AT_SEA_EMPTY,-2.9000000953674316,35.900001525878906
MAIN,175.85,7302897,0,AT_SEA_EMPTY,-78.80000305175781,26.299999237060547
MAIN,175.85,8221545,0,AT_SEA_LOADED,-0.6000000238418579,36.20000076293945
MAIN,175.9,7233278,0,AT_SEA_EMPTY,7.5,37.400001525878906
MAIN,175.9,6820579,0,AT_SEA_EMPTY,-75.0999984741211,35.599998474121094
MAIN,175.9,6708379,0,AT_SEA_LOADED,11.600000381469727,35.0
MAIN,175.9,7236153,0,AT_SEA_EMPTY,-78.80000305175781,26.299999237060547
MAIN,175.9,9074391,0,AT_SEA_LOADED,-9.25,36.79999923706055
MAIN,175.95,7325253,0,AT_SEA_EMPTY,-82.27999877929688,23.93000030517578
MAIN,175.95,7302897,0,AT_SEA_EMPTY,-79.80000305175781,26.399999618530273
MAIN,175.95,1811111,0,AT_SEA_EMPTY,-4.699999809265137,36.0
MAIN,175.95,6828624,0,AT_SEA_EMPTY,-66.0,18.700000762939453
MAIN,175.95,6708379,0,AT_SEA_LOADED,11.600000381469727,35.0
MAIN,175.95,7236153,0,AT_SEA_EMPTY,-79.80000305175781,26.399999618530273
MAIN,176,7302897,0,AT_SEA_EMPTY,-79.9000015258789,25.700000762939453
MAIN,176.05,7320411,0,AT_SEA_EMPTY,-59.084712982177734,31.010831832885742
MAIN,176.05,7002071,0,AT_SEA_EMPTY,-55.660465240478516,21.947786331176758
MAIN,176.05,7303205,0,AT_SEA_LOADED,-27.375499725341797,40.044700622558594
MAIN,176.05,6913259,0,AT_SEA_EMPTY,-31.476613998413086,28.732486724853516
MAIN,176.05,7224306,0,AT_SEA_EMPTY,-31.05965232849121,28.849464416503906
MAIN,176.05,6905252,0,AT_SEA_EMPTY,-16.000038146972656,33.07438659667969
MAIN,176.05,7218462,0,AT_SEA_LOADED,-9.884024620056152,36.988731384277344
MAIN,176.05,9015204,0,AT_SEA_EMPTY,-42.64132308959961,32.64132308959961
MAIN,176.05,7802718,0,AT_SEA_EMPTY,-84.96499633789062,7.566880226135254
MAIN,176.05,7223508,0,AT_SEA_EMPTY,-73.47100067138672,38.23754119873047
MAIN,176.05,8221545,0,AT_SEA_LOADED,0.7390475273132324,36.56190490722656
MAIN,176.05,7233278,0,AT_SEA_EMPTY,5.947835922241211,37.32944869995117
MAIN,176.05,6820579,0,AT_SEA_EMPTY,-75.02555847167969,36.828330993652344
MAIN,176.05,9074391,0,AT_SEA_LOADED,-7.923493385314941,36.47785186767578
MAIN,176.05,7325253,0,AT_SEA_EMPTY,-81.76949310302734,24.01317596435547
MAIN,176.05,1811111,0,AT_SEA_EMPTY,-5.75,35.95000076293945
MAIN,176.05,6828624,0,AT_SEA_EMPTY,-65.94084167480469,19.321182250976562
MAIN,176.05,7236153,0,AT_SEA_EMPTY,-79.9000015258789,25.700000762939453
MAIN,176.05,7302897,0,AT_SEA_EMPTY,-80.13823699951172,25.437942504882812
MAIN,176.1,7218462,0,AT_SEA_LOADED,-9.25,36.79999923706055
MAIN,176.1,7302897,0,AT_SEA_EMPTY,-80.9000015258789,24.600000381469727
MAIN,176.15,7236153,0,AT_SEA_EMPTY,-80.9000015258789,24.600000381469727
MAIN,176.2,6828624,0,AT_SEA_EMPTY,-65.80000305175781,20.799999237060547
MAIN,176.2,9074391,0,AT_SEA_LOADED,-5.75,35.95000076293945
MAIN,176.25,6708379,0,AT_SEA_EMPTY,10.766666412353516,34.733333587646484
MAIN,176.25,7223508,0,AT_SEA_EMPTY,-75.94999694824219,36.95000076293945
MAIN,176.25,6820579,0,AT_SEA_EMPTY,-74.9000015258789,38.900001525878906
MAIN,176.3,7302897,0,AT_SEA_EMPTY,-82.69999694824219,24.299999237060547
MAIN,176.3,7233278,0,AT_SEA_EMPTY,3.0999999046325684,37.20000076293945
MAIN,176.3,9074391,0,AT_SEA_LOADED,-4.699999809265137,36.0
MAIN,176.3,8221545,0,AT_SEA_LOADED,3.0999999046325684,37.20000076293945
MAIN,176.3,6708379,0,AT_SEA_EMPTY,11.600000381469727,35.0
MAIN,176.3,7236153,0,AT_SEA_EMPTY,-82.69999694824219,24.299999237060547
MAIN,176.3,7223508,0,AT_SEA_EMPTY,-76.1500015258789,37.79999923706055
MAIN,176.35,6820579,0,AT_SEA_EMPTY,-74.19999694824219,39.5
MAIN,176.35,1811111,0,AT_SEA_EMPTY,-9.25,36.79999923706055
MAIN,176.4,7218462,0,AT_SEA_LOADED,-5.75,35.95000076293945
MAIN,176.4,6820579,0,AT_SEA_EMPTY,-74.5999984741211,40.016666412353516
MAIN,176.45,9074391,0,AT_SEA_LOADED,-2.9000000953674316,35.900001525878906
MAIN,176.45,7223508,0,AT_SEA_EMPTY,-76.58329772949219,39.266700744628906
MAIN,176.45,7325253,0,AT_SEA_EMPTY,-79.51799774169922,24.3799991607666
MAIN,176.5,7218462,0,AT_SEA_LOADED,-4.699999809265137,36.0
MAIN,176.55,7303205,0,AT_SEA_LOADED,-20.0,40.0
MAIN,176.6,6708379,0,AT_SEA_EMPTY,11.0,37.5
MAIN,176.65,9074391,0,AT_SEA_LOADED,-0.6000000238418579,36.20000076293945
MAIN,176.65,7233278,0,AT_SEA_EMPTY,-0.6000000238418579,36.20000076293945
MAIN,176.7,7218462,0,AT_SEA_LOADED,-2.9000000953674316,35.900001525878906
MAIN,176.8,8221545,0,AT_SEA_LOADED,7.5,37.400001525878906
MAIN,176.85,7233278,0,AT_SEA_EMPTY,-2.9000000953674316,35.900001525878906
MAIN,176.9,7218462,0,AT_SEA_LOADED,-0.6000000238418579,36.20000076293945
MAIN,176.95,6708379,0,AT_SEA_EMPTY,7.5,37.400001525878906
MAIN,176.95,9074391,0,AT_SEA_LOADED,3.0999999046325684,37.20000076293945
MAIN,176.95,7302897,0,AT_SEA_EMPTY,-89.0,28.799999237060547
MAIN,177,7236153,0,AT_SEA_EMPTY,-89.0,28.799999237060547
MAIN,177,7233278,0,AT_SEA_EMPTY,-4.699999809265137,36.0
MAIN,177.05,7320411,0,AT_SEA_EMPTY,-68.69818115234375,30.12055778503418
MAIN,177.05,7002071,0,AT_SEA_EMPTY,-65.6675796508789,19.14032554626465
MAIN,177.05,6913259,0,AT_SEA_EMPTY,-41.48372268676758,25.925024032592773
MAIN,177.05,7224306,0,AT_SEA_EMPTY,-41.06676483154297,26.04199981689453
MAIN,177.05,6905252,0,AT_SEA_EMPTY,-25.57205581665039,30.388988494873047
MAIN,177.05,9015204,0,AT_SEA_EMPTY,-49.4454460144043,39.4454460144043
MAIN,177.05,7802718,0,AT_SEA_EMPTY,-94.33287048339844,9.319265365600586
MAIN,177.05,1811111,0,AT_SEA_EMPTY,-16.548892974853516,38.972694396972656
MAIN,177.05,7325253,0,AT_SEA_EMPTY,-79.36463928222656,27.132564544677734
MAIN,177.05,7303205,0,AT_SEA_LOADED,-13.796932220458984,38.15350341796875
MAIN,177.05,8221545,0,AT_SEA_LOADED,9.587499618530273,37.45964431762695
MAIN,177.05,7218462,0,AT_SEA_LOADED,0.6920634508132935,36.54920959472656
MAIN,177.05,6708379,0,AT_SEA_EMPTY,6.4066033363342285,37.350303649902344
MAIN,177.05,9074391,0,AT_SEA_LOADED,4.099209785461426,37.245418548583984
MAIN,177.05,7302897,0,AT_SEA_EMPTY,-89.58955383300781,29.439605712890625
MAIN,177.05,7236153,0,AT_SEA_EMPTY,-89.26797485351562,29.090728759765625
MAIN,177.05,7233278,0,AT_SEA_EMPTY,-4.715097904205322,35.99928283691406
MAIN,177.1,7302897,0,AT_SEA_EMPTY,-90.0167007446289,29.950000762939453
MAIN,177.1,9015204,0,AT_SEA_EMPTY,-50.0,40.0
MAIN,177.1,7233278,0,AT_SEA_EMPTY,-5.75,35.95000076293945
MAIN,177.15,7236153,0,AT_SEA_EMPTY,-90.0167007446289,29.950000762939453
MAIN,177.15,7320411,0,AT_SEA_EMPTY,-70.0,30.0
MAIN,177.2,8221545,0,AT_SEA_LOADED,11.0,37.5
MAIN,177.25,7002071,0,AT_SEA_EMPTY,-67.94999694824219,18.5
