Model,FedTime,Name,VirtualRlnId,Type,EncodedDetails,ServiceCode,OplanId,Pax,Pol,TotalSTons,DestinationModeSource,ToPoeOwnerName,ToPodOwnerName,ToDestOwnerName,Rdd,Preloaded,Commodity,Rld,BrigadeKey
AMP,-2,1:00JD,,U,cargoCategoryCode=J7C&mtons=32.0&stons=12.9&sqft=258.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.6&sqft=1.0;cargoCategoryCode=A1D&mtons=109.0&stons=24.4&sqft=463.0;cargoCategoryCode=A2D&mtons=215.0&stons=17.4&sqft=1914.0;cargoCategoryCode=J2C&mtons=63.0&stons=7.1&sqft=363.0,A,090TP,0,0,62.4,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,5,ABN
AMP,-2,1:00JDA,,U,No Details,A,090TP,52,0,0,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,11,ABN
AMP,-2,1:00JE,,U,cargoCategoryCode=J7C&mtons=23.0&stons=9.3&sqft=186.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.5&sqft=1.0;cargoCategoryCode=A2D&mtons=41.0&stons=11.6&sqft=273.0,A,090TP,23,0,21.400002,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,11,ABN
AMP,-2,1:00JFA,,U,No Details,A,090TP,52,0,0,LD,MAIN,MAIN,MAIN,27,false,AIRBORNE,11,ABN
AMP,-2,1:03AEC,,U,cargoCategoryCode=J7C&mtons=340.0&stons=135.8&sqft=2716.0;cargoCategoryCode=M7C&mtons=4.0&stons=4.4&sqft=1.0;cargoCategoryCode=R3B&mtons=22.2&stons=2.4&sqft=240.0;cargoCategoryCode=R3D&mtons=9.3&stons=1.4&sqft=50.0;cargoCategoryCode=A1D&mtons=1943.7&stons=1218.0&sqft=8237.0;cargoCategoryCode=R1D&mtons=1716.5&stons=469.0&sqft=7779.0;cargoCategoryCode=A2D&mtons=3347.3003&stons=1640.6&sqft=16223.0;cargoCategoryCode=J2D&mtons=17.7&stons=2.2&sqft=101.0;cargoCategoryCode=R2B&mtons=530.5&stons=97.4&sqft=4383.0;cargoCategoryCode=R2D&mtons=2561.9&stons=673.7&sqft=15124.0,A,090TP,0,0,4244.9,LD,MAIN,MAIN,MAIN,40,false,ARMOR,15,1ME
AMP,-2,1:03AEP,,U,No Details,A,090TP,821,0,0,LD,MAIN,MAIN,MAIN,38,false,ARMOR,15,1ME
AMP,-2,1:03AFC,,U,cargoCategoryCode=J7C&mtons=340.0&stons=135.8&sqft=2716.0;cargoCategoryCode=M7C&mtons=4.0&stons=4.4&sqft=1.0;cargoCategoryCode=R3B&mtons=22.2&stons=2.4&sqft=240.0;cargoCategoryCode=R3D&mtons=9.3&stons=1.4&sqft=50.0;cargoCategoryCode=A1D&mtons=1943.7&stons=1218.0&sqft=8237.0;cargoCategoryCode=R1D&mtons=1716.5&stons=469.0&sqft=7779.0;cargoCategoryCode=A2D&mtons=3347.3003&stons=1640.6&sqft=16223.0;cargoCategoryCode=J2D&mtons=17.7&stons=2.2&sqft=101.0;cargoCategoryCode=R2B&mtons=530.5&stons=97.4&sqft=4383.0;cargoCategoryCode=R2D&mtons=2561.9&stons=673.7&sqft=15124.0,A,090TP,0,0,4244.9,LD,MAIN,MAIN,MAIN,40,false,ARMOR,15,1ME
AMP,-2,1:03AFP,,U,No Details,A,090TP,821,0,0,LD,MAIN,MAIN,MAIN,38,false,ARMOR,15,1ME
AMP,-2,1:03AGC,,U,cargoCategoryCode=J3D&mtons=92.4&stons=29.4&sqft=462.0;cargoCategoryCode=J7C&mtons=262.0&stons=104.8&sqft=2096.0;cargoCategoryCode=M7C&mtons=38.0&stons=37.2&sqft=744.0;cargoCategoryCode=R3B&mtons=22.2&stons=2.4&sqft=240.0;cargoCategoryCode=R3D&mtons=9.3&stons=1.4&sqft=50.0;cargoCategoryCode=A1D&mtons=4604.4004&stons=4187.4&sqft=19466.0;cargoCategoryCode=R1D&mtons=1599.8&stons=619.9&sqft=7005.0;cargoCategoryCode=A2D&mtons=710.0&stons=363.4&sqft=3919.0;cargoCategoryCode=J2D&mtons=177.7&stons=58.7&sqft=901.0;cargoCategoryCode=R2B&mtons=29.699999&stons=2.7&sqft=210.0;cargoCategoryCode=R2D&mtons=3406.7&stons=1008.6&sqft=19047.0,A,090TP,0,0,6415.9,LD,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:03AGP,,U,No Details,A,090TP,633,0,0,XX,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:03AJC,,U,cargoCategoryCode=J3D&mtons=92.4&stons=29.4&sqft=462.0;cargoCategoryCode=J7C&mtons=262.0&stons=104.8&sqft=2096.0;cargoCategoryCode=M7C&mtons=38.0&stons=37.2&sqft=744.0;cargoCategoryCode=R3B&mtons=22.2&stons=2.4&sqft=240.0;cargoCategoryCode=R3D&mtons=9.3&stons=1.4&sqft=50.0;cargoCategoryCode=A1D&mtons=4604.4004&stons=4187.4&sqft=19466.0;cargoCategoryCode=R1D&mtons=1599.8&stons=619.9&sqft=7005.0;cargoCategoryCode=A2D&mtons=710.0&stons=363.4&sqft=3919.0;cargoCategoryCode=J2D&mtons=177.7&stons=58.7&sqft=901.0;cargoCategoryCode=R2B&mtons=29.699999&stons=2.7&sqft=210.0;cargoCategoryCode=R2D&mtons=3406.7&stons=1008.6&sqft=19047.0,A,090TP,0,0,6415.9,LD,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:03AJP,,U,No Details,A,090TP,633,0,0,XX,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:03AKC,,U,cargoCategoryCode=J3D&mtons=92.4&stons=29.4&sqft=462.0;cargoCategoryCode=J7C&mtons=262.0&stons=104.8&sqft=2096.0;cargoCategoryCode=M7C&mtons=38.0&stons=37.2&sqft=744.0;cargoCategoryCode=R3B&mtons=22.2&stons=2.4&sqft=240.0;cargoCategoryCode=R3D&mtons=9.3&stons=1.4&sqft=50.0;cargoCategoryCode=A1D&mtons=4604.4004&stons=4187.4&sqft=19466.0;cargoCategoryCode=R1D&mtons=1599.8&stons=619.9&sqft=7005.0;cargoCategoryCode=A2D&mtons=710.0&stons=363.4&sqft=3919.0;cargoCategoryCode=J2D&mtons=177.7&stons=58.7&sqft=901.0;cargoCategoryCode=R2B&mtons=29.699999&stons=2.7&sqft=210.0;cargoCategoryCode=R2D&mtons=3406.7&stons=1008.6&sqft=19047.0,A,090TP,0,0,6415.9,LD,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:03AKP,,U,No Details,A,090TP,551,0,0,XX,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:03AUC,,U,cargoCategoryCode=J3D&mtons=92.4&stons=29.4&sqft=462.0;cargoCategoryCode=J7C&mtons=262.0&stons=104.8&sqft=2096.0;cargoCategoryCode=M7C&mtons=38.0&stons=37.2&sqft=744.0;cargoCategoryCode=R3B&mtons=22.2&stons=2.4&sqft=240.0;cargoCategoryCode=R3D&mtons=9.3&stons=1.4&sqft=50.0;cargoCategoryCode=A1D&mtons=4604.4004&stons=4187.4&sqft=19466.0;cargoCategoryCode=R1D&mtons=1599.8&stons=619.9&sqft=7005.0;cargoCategoryCode=A2D&mtons=710.0&stons=363.4&sqft=3919.0;cargoCategoryCode=J2D&mtons=177.7&stons=58.7&sqft=901.0;cargoCategoryCode=R2B&mtons=29.699999&stons=2.7&sqft=210.0;cargoCategoryCode=R2D&mtons=3406.7&stons=1008.6&sqft=19047.0,A,090TP,0,0,6415.9,LD,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:03AUP,,U,No Details,A,090TP,633,0,0,XX,MAIN,MAIN,MAIN,34,false,ARMOR,2,CTK
AMP,-2,1:04DDC,,U,cargoCategoryCode=J7C&mtons=70.0&stons=28.0&sqft=560.0;cargoCategoryCode=M7C&mtons=1.0&stons=1.0&sqft=20.0;cargoCategoryCode=R3D&mtons=9.3&stons=1.4&sqft=50.0;cargoCategoryCode=R1D&mtons=2984.7&stons=599.9&sqft=12219.0;cargoCategoryCode=J2D&mtons=17.7&stons=2.3&sqft=101.0;cargoCategoryCode=R2B&mtons=9.9&stons=0.9&sqft=70.0;cargoCategoryCode=R2D&mtons=7839.9&stons=1219.5&sqft=40736.0,A,090TP,0,0,1853,LD,MAIN,MAIN,MAIN,24,false,CSS-OTHER,0,TMD
AMP,-2,1:04DDP,,U,No Details,A,090TP,169,0,0,LD,MAIN,MAIN,MAIN,24,false,CSS-OTHER,0,TMD
AMP,-2,1:0DAAC,,U,cargoCategoryCode=J7C&mtons=42.0&stons=16.6&sqft=332.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.3&sqft=1.0;cargoCategoryCode=R1D&mtons=150.0&stons=49.7&sqft=680.0;cargoCategoryCode=J2B&mtons=10.2&stons=0.5&sqft=73.0;cargoCategoryCode=R2B&mtons=73.899994&stons=13.5&sqft=489.0;cargoCategoryCode=R2D&mtons=303.7&stons=66.1&sqft=2483.0,A,090TP,0,0,146.7,LD,MAIN,MAIN,MAIN,30,false,CSS-SUPPLY,0,PSY
AMP,-2,1:0DAAP,,U,No Details,A,090TP,100,0,0,LD,MAIN,MAIN,MAIN,30,false,CSS-SUPPLY,0,PSY
AMP,-2,1:0DBBC,,U,cargoCategoryCode=J7C&mtons=46.0&stons=18.2&sqft=364.0;cargoCategoryCode=M7C&mtons=1.0&stons=0.4&sqft=1.0;cargoCategoryCode=R1D&mtons=280.4&stons=92.6&sqft=1227.0;cargoCategoryCode=J2D&mtons=96.0&stons=23.0&sqft=480.0;cargoCategoryCode=R2B&mtons=19.8&stons=1.8&sqft=140.0;cargoCategoryCode=R2D&mtons=370.6&stons=68.9&sqft=2482.0,A,090TP,0,0,204.9,LD,MAIN,MAIN,MAIN,30,false,CSS-SUPPLY,0,PSY
AMP,-2,1:0DBBP,,U,No Details,A,090TP,110,0,0,LD,MAIN,MAIN,MAIN,30,false,CSS-SUPPLY,0,PSY
