Model,FedTime,RoundTripID,MissionID,AssetID,StartTime
MAIN,30.45,B747-400-XDAT005-D0030R0004,B747-400-XDAT005-D0030R0004S01,B747-400-XDAT005,30.445066
MAIN,30.7,KC10-XDAT003-D0027R0003,KC10-XDAT003-D0027R0003S02,KC10-XDAT003,30.659101
MAIN,31.05,KC10-XDAT005-D0031R0003,KC10-XDAT005-D0031R0003S01,KC10-XDAT005,31
MAIN,31.05,C17-XDAT002-D0031R0002,C17-XDAT002-D0031R0002S01,C17-XDAT002,31
MAIN,31.05,C17-DKFX001-D0031R0006,C17-DKFX001-D0031R0006S01,C17-DKFX001,31
MAIN,31.05,C17-DKFX004-D0031R0002,C17-DKFX004-D0031R0002S01,C17-DKFX004,31
MAIN,31.3,CH47-SEA1002-D0031R0002,CH47-SEA1002-D0031R0002S01,CH47-SEA1002,31.25
MAIN,31.4,C17-XDAT010-D0020R0002,C17-XDAT010-D0020R0002S04,C17-XDAT010,31.399305
MAIN,31.45,C17-XDAT003-D0027R0002,C17-XDAT003-D0027R0002S02,C17-XDAT003,31.402082
MAIN,32.05,KC10-XDAT006-D0032R0003,KC10-XDAT006-D0032R0003S01,KC10-XDAT006,32
MAIN,32.05,KC10-XDAT007-D0032R0002,KC10-XDAT007-D0032R0002S01,KC10-XDAT007,32
MAIN,32.05,KC10-XDAT008-D0032R0002,KC10-XDAT008-D0032R0002S01,KC10-XDAT008,32
MAIN,32.05,KC10-XDAT009-D0032R0003,KC10-XDAT009-D0032R0003S01,KC10-XDAT009,32
MAIN,32.05,B747-400-XDAT004-D0032R0004,B747-400-XDAT004-D0032R0004S01,B747-400-XDAT004,32
MAIN,32.05,B747-400-XDAT007-D0032R0002,B747-400-XDAT007-D0032R0002S01,B747-400-XDAT007,32
MAIN,32.05,B747-400-XDAT008-D0032R0002,B747-400-XDAT008-D0032R0002S01,B747-400-XDAT008,32
MAIN,32.6,B747-400-XDAT002-D0032R0007,B747-400-XDAT002-D0032R0007S01,B747-400-XDAT002,32.571945
MAIN,32.7,KC10-XDAT036-D0032R0002,KC10-XDAT036-D0032R0002S01,KC10-XDAT036,32.65835
MAIN,32.7,C17-XDAT004-D0025R0002,C17-XDAT004-D0025R0002S03,C17-XDAT004,32.682037
MAIN,32.75,KC10-XDAT037-D0032R0002,KC10-XDAT037-D0032R0002S01,KC10-XDAT037,32.72085
MAIN,33.05,B747-400-XDAT009-D0033R0001,B747-400-XDAT009-D0033R0001S01,B747-400-XDAT009,33
MAIN,33.5,KC10-XDAT002-D0033R0006,KC10-XDAT002-D0033R0006S01,KC10-XDAT002,33.46003
MAIN,33.5,KC10-XDAT004-D0033R0005,KC10-XDAT004-D0033R0005S01,KC10-XDAT004,33.46003
MAIN,33.55,C17-XDAT001-D0030R0002,C17-XDAT001-D0030R0002S02,C17-XDAT001,33.54312
MAIN,33.65,C17-PQWY001-D0029R0003,C17-PQWY001-D0029R0003S02,C17-PQWY001,33.63613
MAIN,33.65,KC10-XDAT001-D0033R0006,KC10-XDAT001-D0033R0006S01,KC10-XDAT001,33.64122
MAIN,33.75,B747-400-XDAT005-D0033R0005,B747-400-XDAT005-D0033R0005S01,B747-400-XDAT005,33.730896
MAIN,33.9,B747-400-XDAT003-D0033R0006,B747-400-XDAT003-D0033R0006S01,B747-400-XDAT003,33.861412
MAIN,34.05,KC10-XDAT010-D0034R0001,KC10-XDAT010-D0034R0001S01,KC10-XDAT010,34
MAIN,34.05,B747-400-XDAT010-D0034R0001,B747-400-XDAT010-D0034R0001S01,B747-400-XDAT010,34
MAIN,34.3,CH47-SEA1003-D0034R0002,CH47-SEA1003-D0034R0002S01,CH47-SEA1003,34.25
MAIN,34.35,B747-400-XDAT006-D0034R0004,B747-400-XDAT006-D0034R0004S01,B747-400-XDAT006,34.317226
MAIN,34.45,C17-DKFX001-D0034R0007,C17-DKFX001-D0034R0007S01,C17-DKFX001,34.417465
MAIN,34.5,KC10-XDAT005-D0034R0004,KC10-XDAT005-D0034R0004S01,KC10-XDAT005,34.475964
MAIN,34.75,KC10-XDAT003-D0034R0004,KC10-XDAT003-D0034R0004S01,KC10-XDAT003,34.712376
MAIN,34.9,C17-XDAT002-D0031R0002,C17-XDAT002-D0031R0002S02,C17-XDAT002,34.859028
MAIN,35.05,KC10-XDAT011-D0035R0001,KC10-XDAT011-D0035R0001S01,KC10-XDAT011,35
MAIN,35.05,KC10-XDAT012-D0035R0001,KC10-XDAT012-D0035R0001S01,KC10-XDAT012,35
MAIN,35.05,C17-PQWY002-D0035R0002,C17-PQWY002-D0035R0002S01,C17-PQWY002,35
MAIN,35.15,B747-400-XDAT004-D0035R0005,B747-400-XDAT004-D0035R0005S01,B747-400-XDAT004,35.126873
MAIN,35.3,C17-PQWY003-D0035R0002,C17-PQWY003-D0035R0002S01,C17-PQWY003,35.25
MAIN,35.3,C17-XDAT002-D0035R0003,C17-XDAT002-D0035R0003S01,C17-XDAT002,35.25
MAIN,35.3,B747-400-XDAT007-D0035R0003,B747-400-XDAT007-D0035R0003S01,B747-400-XDAT007,35.299232
MAIN,35.55,C17-PQWY004-D0035R0002,C17-PQWY004-D0035R0002S01,C17-PQWY004,35.5
MAIN,35.55,C17-PQWY005-D0035R0001,C17-PQWY005-D0035R0001S01,C17-PQWY005,35.5
MAIN,35.6,KC10-XDAT006-D0035R0004,KC10-XDAT006-D0035R0004S01,KC10-XDAT006,35.57384
MAIN,35.65,KC10-XDAT007-D0035R0003,KC10-XDAT007-D0035R0003S01,KC10-XDAT007,35.60962
MAIN,35.65,KC10-XDAT008-D0035R0003,KC10-XDAT008-D0035R0003S01,KC10-XDAT008,35.63634
MAIN,35.7,B747-400-XDAT002-D0035R0008,B747-400-XDAT002-D0035R0008S01,B747-400-XDAT002,35.676506
MAIN,35.8,C17-XDAT003-D0035R0003,C17-XDAT003-D0035R0003S01,C17-XDAT003,35.75
MAIN,35.95,B747-400-XDAT008-D0035R0003,B747-400-XDAT008-D0035R0003S01,B747-400-XDAT008,35.924232
MAIN,36.05,C17-DKFX002-D0036R0005,C17-DKFX002-D0036R0005S01,C17-DKFX002,36
MAIN,36.35,B747-400-XDAT009-D0036R0002,B747-400-XDAT009-D0036R0002S01,B747-400-XDAT009,36.301506
MAIN,36.7,C17-XDAT004-D0025R0002,C17-XDAT004-D0025R0002S04,C17-XDAT004,36.68387
MAIN,36.85,C17-PQWY001-D0029R0003,C17-PQWY001-D0029R0003S03,C17-PQWY001,36.80357
MAIN,36.85,KC10-XDAT002-D0036R0007,KC10-XDAT002-D0036R0007S01,KC10-XDAT002,36.814545
MAIN,36.85,KC10-XDAT004-D0036R0006,KC10-XDAT004-D0036R0006S01,KC10-XDAT004,36.814545
MAIN,37,B747-400-XDAT003-D0036R0007,B747-400-XDAT003-D0036R0007S01,B747-400-XDAT003,36.965973
MAIN,37.05,B747-400-XDAT011-D0037R0001,B747-400-XDAT011-D0037R0001S01,B747-400-XDAT011,37
MAIN,37.2,B747-400-XDAT005-D0037R0006,B747-400-XDAT005-D0037R0006S01,B747-400-XDAT005,37.175964
MAIN,37.3,CH47-SEA1001-D0037R0003,CH47-SEA1001-D0037R0003S01,CH47-SEA1001,37.25
MAIN,37.5,KC10-XDAT010-D0037R0002,KC10-XDAT010-D0037R0002S01,KC10-XDAT010,37.46211
MAIN,37.75,C17-XDAT001-D0030R0002,C17-XDAT001-D0030R0002S03,C17-XDAT001,37.744728
MAIN,37.85,B747-400-XDAT006-D0037R0005,B747-400-XDAT006-D0037R0005S01,B747-400-XDAT006,37.800964
MAIN,37.85,KC10-XDAT005-D0037R0005,KC10-XDAT005-D0037R0005S01,KC10-XDAT005,37.83048
MAIN,38.1,KC10-XDAT006-D0035R0004,KC10-XDAT006-D0035R0004S02,KC10-XDAT006,38.06276
MAIN,38.1,KC10-XDAT007-D0035R0003,KC10-XDAT007-D0035R0003S02,KC10-XDAT007,38.098537
MAIN,38.15,KC10-XDAT003-D0038R0005,KC10-XDAT003-D0038R0005S01,KC10-XDAT003,38.12939
MAIN,38.3,B747-400-XDAT004-D0038R0006,B747-400-XDAT004-D0038R0006S01,B747-400-XDAT004,38.253746
MAIN,38.5,C17-PQWY002-D0035R0002,C17-PQWY002-D0035R0002S02,C17-PQWY002,38.48542
MAIN,38.6,C17-DKFX001-D0038R0008,C17-DKFX001-D0038R0008S01,C17-DKFX001,38.582638
MAIN,38.65,C17-PQWY005-D0035R0001,C17-PQWY005-D0035R0001S02,C17-PQWY005,38.60764
MAIN,38.75,B747-400-XDAT007-D0038R0004,B747-400-XDAT007-D0038R0004S01,B747-400-XDAT007,38.7443
MAIN,39.05,KC10-XDAT008-D0039R0004,KC10-XDAT008-D0039R0004S01,KC10-XDAT008,39
MAIN,39.05,KC10-XDAT009-D0039R0004,KC10-XDAT009-D0039R0004S01,KC10-XDAT009,39
MAIN,39.05,C17-DKFX003-D0039R0005,C17-DKFX003-D0039R0005S01,C17-DKFX003,39
MAIN,39.35,C17-PQWY003-D0035R0002,C17-PQWY003-D0035R0002S02,C17-PQWY003,39.347694
MAIN,39.45,B747-400-XDAT008-D0039R0004,B747-400-XDAT008-D0039R0004S01,B747-400-XDAT008,39.409294
MAIN,39.45,B747-400-XDAT009-D0039R0003,B747-400-XDAT009-D0039R0003S01,B747-400-XDAT009,39.42838
MAIN,39.55,C17-XDAT002-D0035R0003,C17-XDAT002-D0035R0003S02,C17-XDAT002,39.503727
MAIN,39.6,C17-PQWY004-D0035R0002,C17-PQWY004-D0035R0002S02,C17-PQWY004,39.557735
MAIN,39.6,C17-PQWY005-D0039R0002,C17-PQWY005-D0039R0002S01,C17-PQWY005,39.57438
MAIN,39.7,C17-XDAT003-D0035R0003,C17-XDAT003-D0035R0003S02,C17-XDAT003,39.664238
MAIN,40.05,KC10-XDAT011-D0040R0002,KC10-XDAT011-D0040R0002S01,KC10-XDAT011,40
MAIN,40.05,KC10-XDAT012-D0040R0002,KC10-XDAT012-D0040R0002S01,KC10-XDAT012,40
