Model,FedTime,CargoID,RlnID,PalletID,PalletReq,Stons,Mtons,Ccc,CargoCommodity,NumItems,Hot,ConsolidationGeo,MultiRln
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT21,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT22,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT23,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT24,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT25,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT26,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT27,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT28,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT29,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT30,1:0000001,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT31,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT32,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT33,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT34,1:0000001,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT35,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT36,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT37,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT38,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT39,1:0000001,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT40,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT41,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT42,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT43,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT44,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT45,1:0000001,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT46,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT47,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT48,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT49,1:0000001,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT50,1:0000001,0.40000152587890625,0.8000030517578125,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,6.1,1:0000001.JDB,1:0000001,1:0000001.PLT50,1:0000001,0.5999984741210938,1.1999969482421875,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT1,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT2,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT3,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT4,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT5,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT6,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT7,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT8,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT9,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT10,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT11,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT12,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT13,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT14,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT15,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT16,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT17,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT18,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT19,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT20,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT21,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT22,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT23,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT24,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT25,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT26,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT27,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT28,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT29,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT30,1:0000005,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT31,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT32,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT33,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT34,1:0000005,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT35,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT36,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT37,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT38,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT39,1:0000005,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT40,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT41,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT42,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT43,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT44,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT45,1:0000005,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT46,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT47,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT48,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT49,1:0000005,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT50,1:0000005,0.40000152587890625,0.8000030517578125,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,12.4,1:0000005.JDB,1:0000005,1:0000005.PLT50,1:0000005,0.5999984741210938,1.1999969482421875,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,13.75,1:0000006.JDB,1:0000006,1:0000006.PLT1,1:0000006,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,13.75,1:0000006.JDB,1:0000006,1:0000006.PLT2,1:0000006,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,13.75,1:0000006.JDB,1:0000006,1:0000006.PLT3,1:0000006,1.0,2.0,JDB,TEU Resupply,-1,false,FJXT,false
MAIN,13.75,1:0000006.JDB,1:0000006,1:0000006.PLT4,1:0000006,1.0,1.9999999999999998,JDB,TEU Resupply,-1,false,FJXT,false
