Event Day,Port,Fleet,Restriction
40,UTVT,FF-LINER,true
40,UULA,FF-LINER,true
40,UULB,FF-LINER,true
40,UULX,FF-LINER,true
40,UYQR,FF-LINER,true
40,UZXJ,FF-LINER,true
40,VFVN,FF-LINER,true
40,VKNP,FF-LINER,true
40,VPRF,FF-LINER,true
40,VSNF,FF-LINER,true
40,WMPT,FF-LINER,true
40,WPAU,FF-LINER,true
40,WPVT,FF-LINER,true
40,WQZM,FF-LINER,true
40,WTJG,FF-LINER,true
40,WYKZ,FF-LINER,true
40,XEXW,FF-LINER,true
40,XRVJ,FF-LINER,true
40,XUDT,FF-LINER,true
40,XVMN,FF-LINER,true
40,XVRV,FF-LINER,true
40,XYNK,FF-LINER,true
40,YRTK,FF-LINER,true
40,ZBES,FF-LINER,true
40,ZMJJ,FF-LINER,true
40,ZNMC,FF-LINER,true
40,ZSJC,FF-LINER,true
40,00A1,FLOW,true
40,00IO,FLOW,true
40,00XT,FLOW,true
40,AAPV,FLOW,true
40,ABFL,FLOW,true
40,ADKH,FLOW,true
40,ADLS,FLOW,true
40,AELU,FLOW,true
40,AEQT,FLOW,true
40,AJGX,FLOW,true
40,ALRF,FLOW,true
40,AMCQ,FLOW,true
40,APFD,FLOW,true
40,APGW,FLOW,true
40,AVBU,FLOW,true
40,AVYX,FLOW,true
40,BBNQ,FLOW,true
40,BBNV,FLOW,true
40,BQWA,FLOW,true
40,BSRL,FLOW,true
40,CHCY,FLOW,true
40,CWCP,FLOW,true
40,CWGV,FLOW,true
40,DKSD,FLOW,true
40,DRUG,FLOW,true
40,EDME,FLOW,false
40,EGNN,FLOW,false
40,ENCN,FLOW,true
40,EZMU,FLOW,true
40,FGDB,FLOW,true
40,FGDD,FLOW,true
40,FGTW,FLOW,true
40,FMAZ,FLOW,true
40,FNLD,FLOW,true
40,FNSH,FLOW,true
40,FQZF,FLOW,true
40,GPEN,FLOW,true
40,GWZP,FLOW,true
40,HAGC,FLOW,true
40,HMGB,FLOW,true
40,HNTS,FLOW,true
40,HUPR,FLOW,true
40,JJRP,FLOW,true
40,JSSN,FLOW,true
40,JTVH,FLOW,true
40,JWJY,FLOW,true
40,JWTD,FLOW,true
40,JXKM,FLOW,true
40,JYPN,FLOW,true
40,KZPH,FLOW,true
40,KZTZ,FLOW,true
40,LCMT,FLOW,true
40,LKPE,FLOW,false
40,LRNC,FLOW,true
40,LSGM,FLOW,true
40,LUTP,FLOW,true
40,LWEV,FLOW,true
40,LYAP,FLOW,true
40,LYRV,FLOW,false
40,LYTM,FLOW,true
40,MKAG,FLOW,true
40,MLDL,FLOW,true
40,MMGH,FLOW,true
40,MZJK,FLOW,true
40,NBDY,FLOW,true
40,NLFL,FLOW,true
40,NNWH,FLOW,true
40,NPTU,FLOW,true
40,NSAN,FLOW,true
40,PAXM,FLOW,true
40,PCFC,FLOW,false
40,PCFG,FLOW,true
40,PKVP,FLOW,true
40,PPSH,FLOW,true
40,QCFF,FLOW,true
40,QHPB,FLOW,true
40,QHPD,FLOW,true
40,QHPF,FLOW,true
40,QNPW,FLOW,true
40,QTUP,FLOW,true
40,RCYQ,FLOW,true
40,RCYT,FLOW,true
40,RELG,FLOW,true
40,REPV,FLOW,true
40,RGJW,FLOW,true
40,RQNK,FLOW,true
40,RRHU,FLOW,true
40,RRRK,FLOW,true
40,RUAM,FLOW,true
40,RUAQ,FLOW,true
40,RULV,FLOW,true
40,SBEA,FLOW,true
40,SBEQ,FLOW,true
40,SEA1,FLOW,true
40,SERU,FLOW,true
40,SMXS,FLOW,true
40,STRM,FLOW,true
40,SVCN,FLOW,true
40,SYZZ,FLOW,true
40,TGWS,FLOW,true
40,TKDW,FLOW,true
40,TNVX,FLOW,true
40,TNZY,FLOW,true
40,TPPR,FLOW,true
40,TPRW,FLOW,true
40,TQKG,FLOW,true
40,TRZP,FLOW,true
40,TVJD,FLOW,true
40,TVXA,FLOW,true
40,TZL4,FLOW,true
40,TZYR,FLOW,true
40,UMXA,FLOW,true
40,UNAP,FLOW,true
40,UTAC,FLOW,true
40,UTVT,FLOW,true
40,UULA,FLOW,true
40,UULB,FLOW,true
40,UULX,FLOW,true
40,UYQR,FLOW,true
40,UZXJ,FLOW,true
40,VFVN,FLOW,true
40,VKNP,FLOW,true
40,VPRF,FLOW,true
40,VSNF,FLOW,false
40,WMPT,FLOW,false
40,WPAU,FLOW,true
40,WPVT,FLOW,true
40,WQZM,FLOW,true
40,WTJG,FLOW,true
40,WYKZ,FLOW,true
40,XEXW,FLOW,true
40,XRVJ,FLOW,true
40,XUDT,FLOW,true
40,XVMN,FLOW,true
40,XVRV,FLOW,false
40,XYNK,FLOW,true
40,YRTK,FLOW,true
40,ZBES,FLOW,true
40,ZMJJ,FLOW,true
40,ZNMC,FLOW,true
40,ZSJC,FLOW,true
40,00A1,MSC,true
40,00IO,MSC,true
