StartName,StartGeo,EndName,EndGeo,Time
AKRON,ADHB,CHARLESTON,DKSD,1.3
AKRON,ADHB,CLEVELAND HOPKINS,DYCS,0.1
AKRON,ADHB,CONCORD,EGNN,4.7
AKRON,ADHB,CORPUS CHRISTI NA,ENCN,2.8
AKRON,ADHB,EARLE NWS,FQZF,0.8
AKRON,ADHB,FREEPORT,HAGC,2.5
AKRON,ADHB,GULFPORT,JTVH,1.9
AKRON,ADHB,HOUSTON,LCMT,2.4
AKRON,ADHB,INDIAN ISLAND,LKPE,4.5
AKRON,ADHB,JACKSONVILLE,LSGM,1.6
AKRON,ADHB,LONG BEACH,NPTU,4.5
AKRON,ADHB,LOS ANGELES,NSAN,4.5
AKRON,ADHB,MAYPORT NAVAL ST,PPSH,1.6
AKRON,ADHB,MIAMI,QCFF,2.3
AKRON,ADHB,MOREHEAD CITY,QTUP,1.1
AKRON,ADHB,NEW ORLEANS,RQNK,2.0
AKRON,ADHB,NEW YORK,RRHU,0.9
AKRON,ADHB,NEW YORK PORT EMB,RRRK,0.9
AKRON,ADHB,NEWPORT,RUAM,1.2
AKRON,ADHB,NEWPORT T2,RUAQ,1.2
AKRON,ADHB,NEWPORT NEWS,RULV,0.9
AKRON,ADHB,NORFOLK,SBEA,0.9
AKRON,ADHB,NORFOLK T2,SBEQ,0.9
AKRON,ADHB,OAKLAND SEALAND T,SERU,4.7
AKRON,ADHB,PORT EVERGLADES,TNVX,2.3
AKRON,ADHB,PORT HUENEME NCBC,TNZY,4.6
AKRON,ADHB,PORTLAND,TQKG,4.5
AKRON,ADHB,SAN DIEGO,UTAC,4.4
AKRON,ADHB,SAN PEDRO,UULX,4.5
AKRON,ADHB,SAVANNAH,UZXJ,1.4
AKRON,ADHB,SEATTLE,VFVN,4.5
AKRON,ADHB,SOUTHPORT MILITAR,WMPT,1.1
AKRON,ADHB,TACOMA,WPVT,4.5
AKRON,ADHB,VANCOUVER,XUDT,4.5
AKRON,ADHB,WILMINGTON,ZBES,1.1
AL BAHRAYN MINA S,ADKH,AL BAHRAYN MINA S,ADKH,0.0
AL BAHRAYN MINA S,ADKH,BAHRAIN INTL,ATXK,0.0
AL MAHDIYAH,ADLS,AL MAHDIYAH,ADLS,0.0
AL MAHDIYAH,ADLS,AS SUKHAYRAH,APFD,0.2
AL MAHDIYAH,ADLS,ASHTART,APRJ,0.2
AL MAHDIYAH,ADLS,BANZART,AVTB,0.3
AL MAHDIYAH,ADLS,BIZERTE,BSRK,0.2
AL MAHDIYAH,ADLS,BIZERTE,BSRL,0.3
AL MAHDIYAH,ADLS,SIDI AHMED AIR BA,BSRR,0.3
AL MAHDIYAH,ADLS,DJERBA,FGTS,0.2
AL MAHDIYAH,ADLS,DJERBA,FGTW,0.3
AL MAHDIYAH,ADLS,DJEDEIDA,FGTZ,0.2
AL MAHDIYAH,ADLS,EL AOUINA,FTXW,0.2
AL MAHDIYAH,ADLS,EL BORMA,FTZH,0.6
AL MAHDIYAH,ADLS,THYNA,FUQN,0.1
AL MAHDIYAH,ADLS,MATMATA,HNTK,0.3
AL MAHDIYAH,ADLS,GABES,HNTM,0.3
AL MAHDIYAH,ADLS,GABES,HNTS,0.3
AL MAHDIYAH,ADLS,GAFSA,HPBF,0.3
AL MAHDIYAH,ADLS,DJERBA,JEAH,0.2
AL MAHDIYAH,ADLS,KELIBIA,MBJJ,0.2
AL MAHDIYAH,ADLS,MADANIYIN,NWXN,0.3
AL MAHDIYAH,ADLS,FWD BASE,OPA1,0.3
AL MAHDIYAH,ADLS,FWD BASE 2ND,OPA2,0.3
AL MAHDIYAH,ADLS,OUED SIAH,PUBW,0.4
AL MAHDIYAH,ADLS,HABIB BOURGUIBA I,QNVA,0.1
AL MAHDIYAH,ADLS,MONTESSEUR,QRAW,0.6
AL MAHDIYAH,ADLS,REMADA,REAG,0.5
AL MAHDIYAH,ADLS,NEFTA,TPAL,0.4
AL MAHDIYAH,ADLS,PORTO FARINA,TQPB,0.3
AL MAHDIYAH,ADLS,UNKN TUNISIA,UNQU,0.1
AL MAHDIYAH,ADLS,SFAX,VKNG,0.1
AL MAHDIYAH,ADLS,SFAX,VKNP,0.1
AL MAHDIYAH,ADLS,SOUSSE,VXTS,0.1
AL MAHDIYAH,ADLS,SOUSSE,VXTY,0.1
AL MAHDIYAH,ADLS,SUSAH,WMY2,0.1
AL MAHDIYAH,ADLS,TABARQA,WPKY,0.4
AL MAHDIYAH,ADLS,TABARQAH,WPKZ,0.4
AL MAHDIYAH,ADLS,TUNIS,XJCM,0.2
AL MAHDIYAH,ADLS,TUNIS,XJCS,0.2
AL MAHDIYAH,ADLS,CARTHAGE,XJJD,0.2
AL MAHDIYAH,ADLS,ZARZIS,ZSAK,0.3
ALAMEDA,ADNA,BALTIMORE OUTPORT,AVBU,3.3
ALAMEDA,ADNA,BEAUMONT T2,BBNQ,2.0
ALAMEDA,ADNA,BEAUMONT,BBNV,2.0
ALAMEDA,ADNA,CHARLESTON,DKSD,3.2
ALAMEDA,ADNA,CONCORD,EGNN,2.0
ALAMEDA,ADNA,CORPUS CHRISTI NA,ENCN,2.0
ALAMEDA,ADNA,EARLE NWS,FQZF,3.5
ALAMEDA,ADNA,FREEPORT,HAGC,2.0
