Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
CTCN,STRATEGIC,C-17,0,true,,,false
CTCN,STRATEGIC,C-5A,0,true,,,false
CTCN,STRATEGIC,CH47,0,true,,,false
CTCN,STRATEGIC,KC-10,0,true,,,false
CTGC,STRATEGIC,B-747P,0,true,,,false
CTGC,STRATEGIC,C-17,0,true,,,false
CTGC,STRATEGIC,C-5A,0,true,,,false
CTGC,STRATEGIC,CH47,0,true,,,false
CTGC,STRATEGIC,KC-10,0,true,,,false
CURZ,STRATEGIC,B-747P,0,true,,,false
CURZ,STRATEGIC,C-17,0,true,,,false
CURZ,STRATEGIC,C-5A,0,true,,,false
CURZ,STRATEGIC,CH47,0,true,,,false
CURZ,STRATEGIC,KC-10,0,true,,,false
CVPF,STRATEGIC,B-747P,0,true,,,false
CVPF,STRATEGIC,C-17,0,true,,,false
CVPF,STRATEGIC,C-5A,0,true,,,false
CVPF,STRATEGIC,CH47,0,true,,,false
CVPF,STRATEGIC,KC-10,0,true,,,false
CVVM,STRATEGIC,B-747P,0,true,,,false
CVVM,STRATEGIC,C-17,0,true,,,false
CVVM,STRATEGIC,C-5A,0,true,,,false
CVVM,STRATEGIC,CH47,0,true,,,false
CVVM,STRATEGIC,KC-10,0,true,,,false
CWKW,STRATEGIC,B-747P,0,true,,,false
CWKW,STRATEGIC,C-17,0,true,,,false
CWKW,STRATEGIC,C-5A,0,true,,,false
CWKW,STRATEGIC,CH47,0,true,,,false
CWKW,STRATEGIC,KC-10,0,true,,,false
CYWF,STRATEGIC,B-747P,0,true,,,false
CYWF,STRATEGIC,C-17,0,true,,,false
CYWF,STRATEGIC,C-5A,0,true,,,false
CYWF,STRATEGIC,CH47,0,true,,,false
CYWF,STRATEGIC,KC-10,0,true,,,false
CZQZ,STRATEGIC,B-747P,0,true,,,false
CZQZ,STRATEGIC,C-17,0,true,,,false
CZQZ,STRATEGIC,C-5A,0,true,,,false
CZQZ,STRATEGIC,CH47,0,true,,,false
CZQZ,STRATEGIC,KC-10,0,true,,,false
DCFT,STRATEGIC,B-747P,0,true,,,false
DCFT,STRATEGIC,C-17,0,true,,,false
DCFT,STRATEGIC,C-5A,0,true,,,false
DCFT,STRATEGIC,CH47,0,true,,,false
DCFT,STRATEGIC,KC-10,0,true,,,false
DDPF,STRATEGIC,B-747P,0,true,,,false
DDPF,STRATEGIC,C-17,0,true,,,false
DDPF,STRATEGIC,C-5A,0,true,,,false
DDPF,STRATEGIC,CH47,0,true,,,false
DDPF,STRATEGIC,KC-10,0,true,,,false
DESR,STRATEGIC,B-747P,0,true,,,false
DESR,STRATEGIC,C-17,0,true,,,false
DESR,STRATEGIC,C-5A,0,true,,,false
DESR,STRATEGIC,CH47,0,true,,,false
DESR,STRATEGIC,KC-10,0,true,,,false
DGAB,STRATEGIC,B-747P,0,true,,,false
DGAB,STRATEGIC,C-17,0,true,,,false
DGAB,STRATEGIC,C-5A,0,true,,,false
DGAB,STRATEGIC,CH47,0,true,,,false
DGAB,STRATEGIC,KC-10,0,true,,,false
DJCF,STRATEGIC,B-747P,0,true,,,false
DJCF,STRATEGIC,C-17,0,true,,,false
DJCF,STRATEGIC,C-5A,0,true,,,false
DJCF,STRATEGIC,CH47,0,true,,,false
DJCF,STRATEGIC,KC-10,0,true,,,false
DKFX,STRATEGIC,B-747P,0,true,,,false
DKFX,STRATEGIC,C-17,0,true,,,false
DKFX,STRATEGIC,C-5A,0,true,,,false
DKFX,STRATEGIC,CH47,0,true,,,false
DKFX,STRATEGIC,KC-10,0,true,,,false
DNNH,STRATEGIC,B-747P,0,true,,,false
DNNH,STRATEGIC,C-17,0,true,,,false
DNNH,STRATEGIC,C-5A,0,true,,,false
DNNH,STRATEGIC,CH47,0,true,,,false
DNNH,STRATEGIC,KC-10,0,true,,,false
DNNL,STRATEGIC,B-747P,0,true,,,false
DNNL,STRATEGIC,C-17,0,true,,,false
DNNL,STRATEGIC,C-5A,0,true,,,false
DNNL,STRATEGIC,CH47,0,true,,,false
DNNL,STRATEGIC,KC-10,0,true,,,false
DPEZ,STRATEGIC,B-747P,0,true,,,false
DPEZ,STRATEGIC,C-17,0,true,,,false
DPEZ,STRATEGIC,C-5A,0,true,,,false
DPEZ,STRATEGIC,CH47,0,true,,,false
DPEZ,STRATEGIC,KC-10,0,true,,,false
DPMZ,STRATEGIC,B-747P,0,true,,,false
