Vehicle Backlog
ASSET POOL<String>,VEHICLE TYPE<String>,Time<Day>,Vehicle Backlog<Integer>
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,88,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,89,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,90,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,91,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,92,19
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,93,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,94,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,95,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,96,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,97,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,98,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,99,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,100,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,101,30
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,102,30
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,103,30
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,104,32
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,105,33
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,106,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,107,30
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,108,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,109,32
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,110,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,111,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,112,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,113,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,114,82
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,115,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,116,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,117,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,118,11
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,119,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,120,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,121,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,122,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,123,32
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,124,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,125,34
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,126,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,127,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,128,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,129,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,130,61
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,131,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,132,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,133,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,134,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,135,8
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,136,27
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,137,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,138,26
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,139,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,140,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,141,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,142,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,143,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,144,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,145,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,146,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,147,32
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,148,35
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,149,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,150,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,151,28
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,152,30
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,153,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,154,32
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,155,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,156,32
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,157,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,158,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,159,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,160,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,161,19
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,162,37
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,163,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,164,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,165,31
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,166,35
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,167,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,168,29
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,169,11
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,170,36
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,171,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,172,11
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,173,11
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,174,11
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,175,14
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,176,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,177,19
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,178,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,179,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,180,16
nine,Commercial 10-Ton Tractor/Commercial Semitrailer,181,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,0,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,1,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,2,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,3,2
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,4,2
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,5,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,6,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,7,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,8,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,9,8
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,10,1
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,11,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,12,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,13,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,14,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,15,0
twelve,Commercial 10-Ton Tractor/Commercial Semitrailer,16,0
