Geoloc,BerthGroup,Day,Enabled,Description,EventPhase,Data
VKNP,BG Safaqis cont-2 berth,0,true,,,0.6
VKNP,BG Safaqis NE-1 berth,0,true,,,0.6
VKNP,BG Safaqis NE-2 berth,0,true,,,0.6
VKNP,BG Safaqis NW-1 berth,0,true,,,0.6
VKNP,BG Safaqis tanker berth,0,true,,,0.6
VKNP,BG Safaqis NW-2 berth,0,true,,,0.6
VKNP,BG SALT,0,true,,,0.6
VPRF,VPRFVISA      01,0,true,,,1
VSNF,VSNFVISA      01,0,true,,,1
WMPT,WMPTBBULK/AMMO01,0,true,,,1
WMPT,WMPTBREAKBULK 01,0,true,,,1
WMPT,WMPTCONT/AMMO 01,0,true,,,1
WPAU,WPAUGENERAL PU01,0,true,,,1
WPVT,TACOMA berth group-WPVT,0,true,,,1
WQZM,WQZMVISA      01,0,true,,,1
WTJG,WTJGVISA      01,0,true,,,1
WYKZ,WYKZVISA      01,0,true,,,1
XEXW,XEXWVISA      01,0,true,,,1
XRVJ,XRVJVISA      01,0,true,,,1
XUDT,XUDTVISA      01,0,true,,,1
XVRV,XVRVVISA      01,0,true,,,1
XYNK,XYNKVISA      01,0,true,,,1
YRTK,YRTKGENERAL PU01,0,true,,,1
ZBES,WILMINGTON berth group-ZBES,0,true,,,1
ZLVW,ZLVWBBULK/RORO01,0,true,,,1
ZLVW,ZLVWBBULK/RORO02,0,true,,,1
ZLVW,ZLVWBREAKBULK 01,0,true,,,1
ZLVW,ZLVWGENERAL PU01,0,true,,,1
ZMJJ,ZMJJVISA      01,0,true,,,1
ZNMC,ZNMCBBULK/RORO01,0,true,,,1
ZNMC,ZNMCBBULK/RORO02,0,true,,,1
ZNMC,ZNMCBBULK/RORO03,0,true,,,1
ZNMC,ZNMCBBULK/RORO04,0,true,,,1
ZNMC,ZNMCGENERAL PU01,0,true,,,1
ZNMC,ZNMCGENERAL PU02,0,true,,,1
ZNMC,ZNMCGENERAL PU03,0,true,,,1
ZNMC,ZNMCGENERAL PU04,0,true,,,1
ZNMC,ZNMCGENERAL PU05,0,true,,,1
ZNMC,ZNMCRORO      01,0,true,,,1
ZNMC,ZNMCVISA      01,0,true,,,1
ZSJC,ZSJCVISA      01,0,true,,,1
EGNN,EGNNBBULK/AMMO01,0,true,,,1
EGNN,EGNNBBULK/AMMO02,0,true,,,1
EGNN,EGNNCONT/AMMO 01,0,true,,,1
FQZF,berth group-FQZF Terminal-19854,0,true,,,1
LKPE,LKPEBBULK/AMMO01,0,true,,,1
LKPE,LKPECONT/AMMO 01,0,true,,,1
LYRV,LYRVVISA      01,0,true,,,1
