KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I95+ 18909-4379,4379,51,51,,,,,,,,,,,intersection 3738,intersection 942,,,,,,,,
I95+ 18934-2116,2116,51,51,,,,,,,,,,,intersection 1948,intersection 2637,,,,,,,,
I95+ 18941-4760,4760,51,51,,,,,,,,,,,intersection 3388,intersection 1948,,,,,,,,
I95+ 19089-6033,6033,51,51,,,,,,,,,,,intersection 3256,intersection 3389,,,,,,,,
I95+ 19111-5680,5680,37,37,,,,,,,,,,,intersection 608,intersection 3256,,,,,,,,
I95+ 20476-3927,3927,23,23,,,,,,,,,,,intersection 3604,intersection 3605,,,,,,,,
I95+ 20477-5181,5181,23,23,,,,,,,,,,,intersection 2111,intersection 3605,,,,,,,,
I95+ 20483-5936,5936,23,23,,,,,,,,,,,intersection 3574,intersection 2111,,,,,,,,
I95+ 20495-5455,5455,23,23,,,,,,,,,,,intersection 1773,intersection 2849,,,,,,,,
I95+ 20498-3829,3829,23,23,,,,,,,,,,,intersection 3574,intersection 3575,,,,,,,,
I95+ 20519-2395,2395,23,23,,,,,,,,,,,intersection 2849,intersection 1910,,,,,,,,
I95+ 20521-1323,1323,23,23,,,,,,,,,,,intersection 1903,intersection 1904,,,,,,,,
I95+ 20528-1383,1383,23,23,,,,,,,,,,,intersection 882,intersection 1903,,,,,,,,
I95+ 20531-546,546,23,23,,,,,,,,,,,intersection 881,intersection 882,,,,,,,,
I95+ 20548-3449,3449,23,23,,,,,,,,,,,intersection 793,intersection 3438,,,,,,,,
I95+ 20557-2953,2953,23,23,,,,,,,,,,,intersection 1098,intersection 174,,,,,,,,
I95+ 20566-2994,2994,23,23,,,,,,,,,,,intersection 173,intersection 2693,,,,,,,,
I95+ 20572-661,661,23,23,,,,,,,,,,,intersection 370,intersection 1045,,,,,,,,
I95+ 20581-213,213,23,23,,,,,,,,,,,intersection 370,intersection 371,,,,,,,,
I95+ 20589-981,981,23,23,,,,,,,,,,,intersection 1489,intersection 1490,,,,,,,,
I95+ 20594-2454,2454,23,23,,,,,,,,,,,intersection 1511,intersection 2889,,,,,,,,
I95+ 20604-3335,3335,23,23,,,,,,,,,,,intersection 3396,intersection 2169,,,,,,,,
I95+ 3608-3557,3557,44,44,,,,,,,,,,,intersection 3480,intersection 93,,,,,,,,
I95+ 3621-4567,4567,09,09,,,,,,,,,,,intersection 3593,intersection 1144,,,,,,,,
I95+ 3631-4022,4022,09,09,,,,,,,,,,,intersection 1557,intersection 3593,,,,,,,,
I95+ 3635-4544,4544,09,09,,,,,,,,,,,intersection 2586,intersection 3776,,,,,,,,
I95+ 3639-4666,4666,09,09,,,,,,,,,,,intersection 3776,intersection 1638,,,,,,,,
I95+ 3646-1101,1101,09,09,,,,,,,,,,,intersection 1638,intersection 171,,,,,,,,
I95+ 3686-1381,1381,10,10,,,,,,,,,,,intersection 1472,intersection 1977,,,,,,,,
I95+ 3700-3392,3392,10,10,,,,,,,,,,,intersection 1472,intersection 1810,,,,,,,,
I95+ 3855-2977,2977,12,12,,,,,,,,,,,intersection 534,intersection 978,,,,,,,,
I95+ 3867-1469,1469,12,12,,,,,,,,,,,intersection 2069,intersection 533,,,,,,,,
I95+ 3905-5711,5711,12,12,,,,,,,,,,,intersection 2020,intersection 2069,,,,,,,,
I95+ 3921-1419,1419,12,12,,,,,,,,,,,intersection 1115,intersection 2020,,,,,,,,
I95+ 3938-2019,2019,12,12,,,,,,,,,,,intersection 79,intersection 1115,,,,,,,,
I95+ 3959-45,45,12,12,,,,,,,,,,,intersection 78,intersection 79,,,,,,,,
I95+ 3966-2927,2927,12,12,,,,,,,,,,,intersection 1129,intersection 78,,,,,,,,
I95+ 4008-723,723,12,12,,,,,,,,,,,intersection 1128,intersection 1129,,,,,,,,
I95+ 4063-3708,3708,12,12,,,,,,,,,,,intersection 3422,intersection 3539,,,,,,,,
I95+ 4086-4518,4518,12,12,,,,,,,,,,,intersection 1912,intersection 3422,,,,,,,,
I95+ 4118-1-2976,2976,12,12,,,,,,,,,,,intersection 2140,intersection 1912,,,,,,,,
I95+ 4118-2-1533,1533,12,12,,,,,,,,,,,intersection 2139,intersection 2140,,,,,,,,
I95+ 4118-3-5870,5870,12,12,,,,,,,,,,,intersection 3941,intersection 2139,,,,,,,,
I95+ 4118-6042,6042,12,12,,,,,,,,,,,intersection 3941,intersection 1852,,,,,,,,
I95+ 4217-1279,1279,12,12,,,,,,,,,,,intersection 545,intersection 1852,,,,,,,,
I95+ 4263-3083,3083,12,12,,,,,,,,,,,intersection 2907,intersection 545,,,,,,,,
I95+ 4276-4895,4895,12,12,,,,,,,,,,,intersection 2251,intersection 3842,,,,,,,,
I95+ 4288-5954,5954,12,12,,,,,,,,,,,intersection 2793,intersection 2251,,,,,,,,
I95+ 4295-2313,2313,12,12,,,,,,,,,,,intersection 2792,intersection 2793,,,,,,,,
I95+ 4783-2736,2736,45,45,,,,,,,,,,,intersection 1132,intersection 3078,,,,,,,,
I95+ 4784-4031,4031,13,13,,,,,,,,,,,intersection 3377,intersection 3078,,,,,,,,
I95+ 4800-2967,2967,13,13,,,,,,,,,,,intersection 3068,intersection 1681,,,,,,,,
I95+ 4813-2714,2714,13,13,,,,,,,,,,,intersection 3068,intersection 2177,,,,,,,,
I95+ 4816-1562,1562,13,13,,,,,,,,,,,intersection 197,intersection 2177,,,,,,,,
I95+ 4842-111,111,13,13,,,,,,,,,,,intersection 196,intersection 197,,,,,,,,
I95+ 4941-1981,1981,13,13,,,,,,,,,,,intersection 2175,intersection 196,,,,,,,,
I95+ 4949-5538,5538,13,13,,,,,,,,,,,intersection 2272,intersection 2175,,,,,,,,
I95+ 4961-4229,4229,12,12,,,,,,,,,,,intersection 720,intersection 2272,,,,,,,,
I95+ 7634-1334,1334,25,25,,,,,,,,,,,intersection 1918,intersection 1919,,,,,,,,
I95+ 7665-4867,4867,25,25,,,,,,,,,,,intersection 1919,intersection 3777,,,,,,,,
I95+ 7666-4548,4548,25,25,,,,,,,,,,,intersection 3499,intersection 3777,,,,,,,,
I95+ 7682-3607,3607,25,25,,,,,,,,,,,intersection 3499,intersection 3500,,,,,,,,
I95+ 7683-3951,3951,25,25,,,,,,,,,,,intersection 2350,intersection 3500,,,,,,,,
I95+ 7689-1761,1761,25,25,,,,,,,,,,,intersection 2350,intersection 2351,,,,,,,,
I95+ 7690-5150,5150,25,25,,,,,,,,,,,intersection 2351,intersection 368,,,,,,,,
I95+ 7763-2475,2475,25,25,,,,,,,,,,,intersection 1803,intersection 965,,,,,,,,
I95+ 7769-1673,1673,25,25,,,,,,,,,,,intersection 186,intersection 965,,,,,,,,
I95+ 7832-5925,5925,25,25,,,,,,,,,,,intersection 1260,intersection 123,,,,,,,,
I95+ 7874-2041,2041,25,25,,,,,,,,,,,intersection 2573,intersection 1261,,,,,,,,
I95+ 7925-4507,4507,25,25,,,,,,,,,,,intersection 2573,intersection 3562,,,,,,,,
I95+ 7929-4248,4248,25,25,,,,,,,,,,,intersection 1065,intersection 3562,,,,,,,,
I95+ 7944-3998,3998,25,25,,,,,,,,,,,intersection 1065,intersection 3582,,,,,,,,
I95+ 8034-1241,1241,10,10,,,,,,,,,,,intersection 1810,intersection 1811,,,,,,,,
I95+ 8039-4480,4480,24,24,,,,,,,,,,,intersection 1811,intersection 597,,,,,,,,
I95+ 8057-354,354,24,24,,,,,,,,,,,intersection 597,intersection 598,,,,,,,,
I95+ 8109-1117,1117,24,24,,,,,,,,,,,intersection 1654,intersection 1655,,,,,,,,
I95+ 8112-3295,3295,24,24,,,,,,,,,,,intersection 442,intersection 2483,,,,,,,,
I95+ 8113-4890,4890,24,24,,,,,,,,,,,intersection 3840,intersection 2483,,,,,,,,
I95+ 8128-4057,4057,24,24,,,,,,,,,,,intersection 1655,intersection 3654,,,,,,,,
I95+ 8174-1471,1471,24,24,,,,,,,,,,,intersection 2071,intersection 2072,,,,,,,,
I95+ 8179-3506,3506,24,24,,,,,,,,,,,intersection 2571,intersection 2072,,,,,,,,
I95+ 8194-3685,3685,24,24,,,,,,,,,,,intersection 3506,intersection 2572,,,,,,,,
I95+ 8201-5272,5272,24,24,,,,,,,,,,,intersection 1819,intersection 3430,,,,,,,,
I95+ 8202-3418,3418,24,24,,,,,,,,,,,intersection 3430,intersection 2482,,,,,,,,
I95+ 8203-1917,1917,24,24,,,,,,,,,,,intersection 442,intersection 2482,,,,,,,,
I95+ 8298-1246,1246,24,24,,,,,,,,,,,intersection 1818,intersection 1819,,,,,,,,
I95+ 8309-2039,2039,24,24,,,,,,,,,,,intersection 2571,intersection 2572,,,,,,,,
I95+-1034,1034,09,09,,,,,,,,,,,intersection 1556,intersection 1557,,,,,,,,
I95-5387,5387,09,09,,,,,,,,,,,intersection 93,intersection 3667,,,,,,,,
I96  S+-4852,4852,26,26,,,,,,,,,,,intersection 1769,intersection 676,,,,,,,,
I96 S+-4716,4716,26,26,,,,,,,,,,,intersection 677,intersection 3805,,,,,,,,
I96+ 8456-6133,6133,26,26,,,,,,,,,,,intersection 3323,intersection 981,,,,,,,,
I96+ 8494-5184,5184,26,26,,,,,,,,,,,intersection 3571,intersection 3323,,,,,,,,
I96+ 8553-5208,5208,26,26,,,,,,,,,,,intersection 2774,intersection 3571,,,,,,,,
I96+ 8599-205,205,26,26,,,,,,,,,,,intersection 356,intersection 357,,,,,,,,
I96+ 8606-1476,1476,26,26,,,,,,,,,,,intersection 2078,intersection 356,,,,,,,,
I96+ 8658-5415,5415,26,26,,,,,,,,,,,intersection 3805,intersection 2078,,,,,,,,
I96+ 8690-5047,5047,26,26,,,,,,,,,,,intersection 2290,intersection 3805,,,,,,,,
I96+ 8692-1689,1689,26,26,,,,,,,,,,,intersection 677,intersection 2290,,,,,,,,
I96+ 8704-405,405,26,26,,,,,,,,,,,intersection 676,intersection 677,,,,,,,,
I96+ 8763-4357,4357,26,26,,,,,,,,,,,intersection 1340,intersection 1769,,,,,,,,
I96+-3762,3762,26,26,,,,,,,,,,,intersection 683,intersection 3555,,,,,,,,
I96-617,617,26,26,,,,,,,,,,,intersection 981,intersection 683,,,,,,,,
I97 8091-5621,5621,24,24,,,,,,,,,,,intersection 2588,intersection 2700,,,,,,,,
I97 8287-2498,2498,24,24,,,,,,,,,,,intersection 2587,intersection 2700,,,,,,,,
I97+-2133,2133,24,24,,,,,,,,,,,intersection 2649,intersection 2587,,,,,,,,
I97-2059,2059,24,24,,,,,,,,,,,intersection 2587,intersection 2588,,,,,,,,
I980+-1695,1695,06,06,,,,,,,,,,,intersection 461,intersection 2295,,,,,,,,
I985+ 4410-3971,3971,13,13,,,,,,,,,,,intersection 2953,intersection 2045,,,,,,,,
I985+ 4412-1440,1440,13,13,,,,,,,,,,,intersection 2044,intersection 2045,,,,,,,,
I985+ 4421-802,802,13,13,,,,,,,,,,,intersection 1245,intersection 1246,,,,,,,,
I985+-2548,2548,13,13,,,,,,,,,,,intersection 2953,intersection 2954,,,,,,,,
I985-5759,5759,13,13,,,,,,,,,,,intersection 2044,intersection 1246,,,,,,,,
I99 14617-4473,4473,42,42,,,,,,,,,,,intersection 3762,intersection 3763,,,,,,,,
I99 14674-4872,4872,42,42,,,,,,,,,,,intersection 3835,intersection 1961,,,,,,,,
I99 14740-3730,3730,42,42,,,,,,,,,,,intersection 1960,intersection 1425,,,,,,,,
I99+ 14632-1121,1121,42,42,,,,,,,,,,,intersection 1661,intersection 1662,,,,,,,,
I99+ 14676-1368,1368,42,42,,,,,,,,,,,intersection 1960,intersection 1961,,,,,,,,
I99+ 14743-4142,4142,42,42,,,,,,,,,,,intersection 3125,intersection 1425,,,,,,,,
I99+ 14919-2808,2808,42,42,,,,,,,,,,,intersection 3124,intersection 3125,,,,,,,,
I99+-5089,5089,42,42,,,,,,,,,,,intersection 3835,intersection 1662,,,,,,,,
I99-5005,5005,42,42,,,,,,,,,,,intersection 1661,intersection 3763,,,,,,,,
