PARKING_NAME,AIRPORT_NAME, HOT_CARGO, NARROWBODY_PARKING_MOG, NARROWBODY_WORKING_MOG, NUMBER_FUEL_HYDRANTS, SMALLBODY_PARKING_MOG, SMALLBODY_WORKING_MOG, WIDEBODY_PARKING_MOG, WIDEBODY_WORKING_MOG, PRIORITY, MODIFY
CASTLE AFB -DESR-MAP-PARKING,CASTLE -DESR-APT,,,,,,,,,0,
MOODY AFB -QSEU-MAP-PARKING,MOODY AFB -QSEU-MAP,,,,,,,,,0,
FT HOOD AAF -KZVP-MAP-PARKING,FT HOOD AAF -KZVP-MAP,,,,,,,,,0,
PITTSBURG INTL -JLSS-JAP-PARKING,PITTSBURG INTL -JLSS-JAP,,,,,,,,,0,
ALCOA -AECW-AGS-PARKING,ALCOA -AECW-AGS,,,,,,,,,0,
PATUXENT RIVER NA -SYCM-MAP-PARKING,PATUXENT RIVER NA -SYCM-MAP,,,,,,,,,0,
HULMAN REGIONAL -LDXF-JAP-PARKING,HULMAN REGIONAL -LDXF-JAP,,,,,,,,,0,
DULUTH INTL -FMLH-JAP-PARKING,DULUTH INTL -FMLH-JAP,,,,,,,,,0,
PIERRE REGIONAL -TFMT-CAP-PARKING,PIERRE REGIONAL -TFMT-CAP,,,,,,,,,0,
NORFOLK NAS -SBDW-MAP-PARKING,NORFOLK NAS -SBDW-MAP,,,,,,,,,0,
BALTIMORE-WASHING -HBFB-CAP-PARKING,BALTIMORE-WASHING -HBFB-CAP,,,,,,,,,0,
WHEELER AAF -YVEW-MAP-PARKING,WHEELER AAF -YVEW-MAP,,,,,,,,,0,
ATLANTIC CITY MUN -AQRC-CAP-PARKING,ATLANTIC CITY MUN -AQRC-CAP,,,,,,,,,0,
SAVANNAH INTERNAT -XDQU-JAP-PARKING,SAVANNAH INTERNAT -XDQU-JAP,,,,,,,,,0,
GRISSOM AFB -CTGC-MAP-PARKING,GRISSOM AFB -CTGC-MAP,,,,,,,,,0,
CHEYENNE -DPEZ-JAP-PARKING,CHEYENNE -DPEZ-JAP,,,,,,,,,0,
CANNON AFB -CZQZ-MAP-PARKING,CANNON AFB -CZQZ-MAP,,,,,,,,,0,
MANCHESTER -JQMA-CAP-PARKING,MANCHESTER -JQMA-CAP,,,,,,,,,0,
SCHRIEVER AFB -GLEN-AFS-PARKING,SCHRIEVER AFB -GLEN-MAP,,,,,,,,,0,
SPRINGFIELD REGIO -VZXY-CAP-PARKING,SPRINGFIELD REGIO -VZXY-CAP,,,,,,,,,0,
FT LEE -HGQC-ASN-PARKING,FT LEE -HGQC-ASN,,,,,,,,,0,
SPIRIT OF ST LOUI -VZAS-CAP-PARKING,SPIRIT OF ST LOUI -VZAS-CAP,,,,,,,,,0,
MOBILE REGIONAL -AYSX-JAP-PARKING,MOBILE REGIONAL -AYSX-JAP,,,,,,,,,0,
OWENSBORO DAVIESS -FBMV-CAP-PARKING,OWENSBORO DAVIESS -FBMV-CAP,,,,,,,,,0,
ARKANSAS INTERNAT -BWKR-MAP-PARKING,ARKANSAS INTERNAT -BWKR-MAP,,,,,,,,,0,
FT WAINWRIGHT AAF -HFZY-MAP-PARKING,FT WAINWRIGHT AAF -HFZY-MAP,,,,,,,,,0,
SAN ANTONIO INTL -USQP-CAP-PARKING,SAN ANTONIO INTL -USQP-CAP,,,,,,,,,0,
DYESS AFB -FNWZ-MAP-PARKING,DYESS AFB -FNWZ-MAP,,,,,,,,,0,
WASHINGTON NATION -YMGC-APT-PARKING,RONALD REAGAN WAS -YMGC-APT,,,,,,,,,0,
EDWARDS AFB -FSPM-MAP-PARKING,EDWARDS AFB -FSPM-MAP,,,,,,,,,0,
WAINWRIGHT AAF -YFXQ-JAP-PARKING,WAINWRIGHT AAF -YFXQ-JAP,,,,,,,,,0,
PENSACOLA NAS -GWDD-MAP-PARKING,PENSACOLA NAS -GWDD-MAP,,,,,,,,,0,
ANDREWS AFB-NAF -AJXF-MAP-PARKING,ANDREWS AFB-NAF -AJXF-MAP,,,,,,,,,0,
HICKAM -KNMD-MAP-PARKING,HICKAM -KNMD-MAP,,,,,,,,,0,
WATERLOO MUNI -YMXZ-JAP-PARKING,WATERLOO MUNI -YMXZ-JAP,,,,,,,,,0,
GRANTS MILAN -JHVQ-CAP-PARKING,GRANTS MILAN -JHVQ-CAP,,,,,,,,,0,
BRADLEY INTERNATI -CEKT-JAP-PARKING,BRADLEY INTERNATI -CEKT-JAP,,,,,,,,,0,
SEATTLE TACOMA IN -VFZM-IAP-PARKING,SEATTLE TACOMA IN -VFZM-IAP,,,,,,,,,0,
PEASE INTL TRADE -SZDT-MAP-PARKING,PEASE INTL TRADE -SZDT-MAP,,,,,,,,,0,
FRESNO AIR TERMIN -HAWR-JAP-PARKING,FRESNO AIR TERMIN -HAWR-JAP,,,,,,,,,0,
MADANIYIN -NWXN-AFD-parking,MADANIYIN -NWXN-AFD,,,,,,,,,0,
NEW ORLEANS NAS -RQNA-MAP-PARKING,NEW ORLEANS NAS -RQNA-MAP,,,,,,,,,0,
MIAMI INTERNATION -QCFE-IAP-PARKING,MIAMI INTERNATION -QCFE-IAP,,,,,,,,,0,
MARTIN -PJFS-AGS-PARKING,MARTIN -PJFS-AGS,,,,,,,,,0,
CHARLOTTE-DOUGLAS -FJRP-JAP-PARKING,CHARLOTTE-DOUGLAS -FJRP-JAP,,,,,,,,,0,
DANE CO REGIONAL- -XGFG-JAP-PARKING,DANE CO REGIONAL- -XGFG-JAP,,,,,,,,,0,
MCCLELLAN AFB -PRJY-MAP-PARKING,MCCLELLAN AFB -PRJY-MAP,,,,,,,,,0,
SOUTH WEYMOUTH NA -VXTM-MAP-PARKING,SOUTH WEYMOUTH NA -VXTM-MAP,,,,,,,,,0,
MIRAMAR NAS -QKJA-MAP-PARKING,MIRAMAR NAS -QKJA-MAP,,,,,,,,,0,
KENNEDY INTRANATI -KEAQ-APT-PARKING,KENNEDY INTRANATI -KEAQ-APT,,,,,,,,,0,
WORCESTER -ZHAH-AGS-PARKING,WORCESTER -ZHAH-AGS,,,,,,,,,0,
ELLSWORTH AFB -FXBM-MAP-PARKING,ELLSWORTH AFB -FXBM-MAP,,,,,,,,,0,
BOLLING AFB HELIP -BXUR-MAP-PARKING,BOLLING AFB HELIP -BXUR-MAP,,,,,,,,,0,
EL BORMA -FTZH-APT-parking,EL BORMA -FTZH-APT,,,,,,,,,0,
parking-DKFX-19776,CHARLESTON AFB-IN -DKFX-JAP,,,,,,,,,1,A
FORBES FIELD parking-GUQE-19782,FORBES FIELD -GUQE-JAP,,,,,,,,,1,A
LA PORTE -MNWA-AGS-PARKING,LA PORTE -MNWA-AGS,,,,,,,,,0,
OTIS ANGB -SPBN-MAP-PARKING,OTIS ANGB -SPBN-MAP,,,,,,,,,0,
WHIDBEY ISLAND NA -YVPG-MAP-PARKING,WHIDBEY ISLAND NA -YVPG-MAP,,,,,,,,,0,
BEALE AFB -BAEY-MAP-PARKING,BEALE AFB -BAEY-MAP,,,,,,,,,0,
LOGAN INTL-BOSTON -NNGX-IAP-PARKING,LOGAN INTL-BOSTON -NNGX-IAP,,,,,,,,,0,
SAN DIEGO ANG -SACB-AGS-PARKING,SAN DIEGO ANG -SACB-AGS,,,,,,,,,0,
BARKSDALE AFB -AWUB-MAP-PARKING,BARKSDALE AFB -AWUB-MAP,,,,,,,,,0,
