KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I10 17814-2723,2723,null,null,0.44,,,,49717.65,50.0,,,,large road,ints-4483,ints-2936,,,,,,,,
I10 1978-2803,2803,null,null,0.36,,,,49717.65,50.0,,,,large road,ints-6003,ints-1629,,,,,,,,
I10 3759-4705,4705,null,null,1.02,,,,49717.65,50.0,,,,large road,ints-811,ints-6386,,,,,,,,
I10 3876-619,619,null,null,5.11,,,,38223.53,50.0,,,,large road,ints-4189,ints-1128,,,,,,,,
I10 7452-4296,4296,null,null,4.03,,,,49717.65,50.0,,,,large road,ints-3401,ints-618,,,,,,,,
I10 7495-713,713,null,null,1.37,,,,49717.65,50.0,,,,large road,ints-3846,ints-435,,,,,,,,
I10 7505-5216,5216,null,null,1.1,,,,49717.65,50.0,,,,large road,ints-3154,ints-1891,,,,,,,,
I10 7555-4734,4734,null,null,7.97,,,,49717.65,50.0,,,,large road,ints-772,ints-2905,,,,,,,,
I10 7560-5445,5445,null,null,1.07,,,,49717.65,50.0,,,,large road,ints-109,ints-4605,,,,,,,,
I10 7590-4773,4773,null,null,0.4,,,,49717.65,50.0,,,,large road,ints-3679,ints-5999,,,,,,,,
I10 7593-2260,2260,null,null,0.28,,,,49717.65,50.0,,,,large road,ints-1058,ints-5999,,,,,,,,
I10+ 10056-4404,4404,null,null,22.33,,,,49717.65,50.0,,,,large road,ints-1811,ints-2109,,,,,,,,
I10+ 10062-841,841,null,null,28.66,,,,49717.65,50.0,,,,large road,ints-1499,ints-1811,,,,,,,,
I10+ 10068-4121,4121,null,null,15.08,,,,38223.53,50.0,,,,large road,ints-2109,ints-4528,,,,,,,,
I10+ 11893-3080,3080,null,null,10.07,,,,49717.65,50.0,,,,large road,ints-28,ints-3084,,,,,,,,
I10+ 11898-3719,3719,null,null,109.66,,,,38223.53,50.0,,,,large road,ints-3084,ints-6104,,,,,,,,
I10+ 11906-2792,2792,null,null,24.82,,,,38223.53,50.0,,,,large road,ints-6104,ints-455,,,,,,,,
I10+ 11909-4627,4627,null,null,19.8,,,,49717.65,50.0,,,,large road,ints-713,ints-28,,,,,,,,
I10+ 1287-4007,4007,null,null,3.93,,,,49717.65,50.0,,,,large road,ints-6393,ints-1625,,,,,,,,
I10+ 1657-4203,4203,null,null,125.57,,,,38223.53,50.0,,,,large road,ints-2481,ints-4529,,,,,,,,
I10+ 17325-1194,1194,null,null,20.68,,,,38223.53,50.0,,,,large road,ints-3780,ints-713,,,,,,,,
I10+ 17359-2946,2946,null,null,117.79,,,,49717.65,50.0,,,,large road,ints-3594,ints-6284,,,,,,,,
I10+ 17361-4806,4806,null,null,1.96,,,,49717.65,50.0,,,,large road,ints-6284,ints-3780,,,,,,,,
