Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
DCFT,STRATEGIC,CH47,0,true,,,0
DCFT,STRATEGIC,KC-10,0,true,,,9999
DDPF,STRATEGIC,B-747P,0,true,,,0
DDPF,STRATEGIC,C-17,0,true,,,0
DDPF,STRATEGIC,C-5A,0,true,,,0
DDPF,STRATEGIC,CH47,0,true,,,0
DDPF,STRATEGIC,KC-10,0,true,,,0
DESR,STRATEGIC,B-747P,0,true,,,0
DESR,STRATEGIC,C-17,0,true,,,0
DESR,STRATEGIC,C-5A,0,true,,,0
DESR,STRATEGIC,CH47,0,true,,,0
DESR,STRATEGIC,KC-10,0,true,,,0
DGAB,STRATEGIC,B-747P,0,true,,,9999
DGAB,STRATEGIC,C-17,0,true,,,9999
DGAB,STRATEGIC,C-5A,0,true,,,9999
DGAB,STRATEGIC,CH47,0,true,,,0
DGAB,STRATEGIC,KC-10,0,true,,,9999
DJCF,STRATEGIC,B-747P,0,true,,,9999
DJCF,STRATEGIC,C-17,0,true,,,9999
DJCF,STRATEGIC,C-5A,0,true,,,9999
DJCF,STRATEGIC,CH47,0,true,,,0
DJCF,STRATEGIC,KC-10,0,true,,,9999
DKFX,STRATEGIC,B-747P,0,true,,,0
DKFX,STRATEGIC,C-17,0,true,,,0
DKFX,STRATEGIC,C-5A,0,true,,,0
DKFX,STRATEGIC,CH47,0,true,,,0
DKFX,STRATEGIC,KC-10,0,true,,,0
DNNH,STRATEGIC,B-747P,0,true,,,9999
DNNH,STRATEGIC,C-17,0,true,,,9999
DNNH,STRATEGIC,C-5A,0,true,,,9999
DNNH,STRATEGIC,CH47,0,true,,,0
DNNH,STRATEGIC,KC-10,0,true,,,9999
DNNL,STRATEGIC,B-747P,0,true,,,0
DNNL,STRATEGIC,C-17,0,true,,,0
DNNL,STRATEGIC,C-5A,0,true,,,0
DNNL,STRATEGIC,CH47,0,true,,,0
DNNL,STRATEGIC,KC-10,0,true,,,0
DPEZ,STRATEGIC,B-747P,0,true,,,9999
DPEZ,STRATEGIC,C-17,0,true,,,9999
DPEZ,STRATEGIC,C-5A,0,true,,,9999
DPEZ,STRATEGIC,CH47,0,true,,,0
DPEZ,STRATEGIC,KC-10,0,true,,,9999
DPMZ,STRATEGIC,B-747P,0,true,,,9999
DPMZ,STRATEGIC,C-17,0,true,,,9999
DPMZ,STRATEGIC,C-5A,0,true,,,9999
DPMZ,STRATEGIC,CH47,0,true,,,0
DPMZ,STRATEGIC,KC-10,0,true,,,9999
DPNB,STRATEGIC,B-747P,0,true,,,0
DPNB,STRATEGIC,C-17,0,true,,,0
DPNB,STRATEGIC,C-5A,0,true,,,0
DPNB,STRATEGIC,CH47,0,true,,,0
DPNB,STRATEGIC,KC-10,0,true,,,0
DTVB,STRATEGIC,B-747P,0,true,,,9999
DTVB,STRATEGIC,C-17,0,true,,,9999
DTVB,STRATEGIC,C-5A,0,true,,,9999
DTVB,STRATEGIC,CH47,0,true,,,0
DTVB,STRATEGIC,KC-10,0,true,,,9999
DVLK,STRATEGIC,B-747P,0,true,,,0
DVLK,STRATEGIC,C-17,0,true,,,0
DVLK,STRATEGIC,C-5A,0,true,,,0
DVLK,STRATEGIC,CH47,0,true,,,0
DVLK,STRATEGIC,KC-10,0,true,,,0
