block_id,ordering,carry_config,transport_means,distance_permission_type,distance,start_time,end_time
66,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,6,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
66,7,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
66,8,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
67,0,ALL,50FLAT,ANY_DISTANCE,,,
67,1,ALL,68FLAT,ANY_DISTANCE,,,
67,2,ALL,75FLAT,ANY_DISTANCE,,,
67,3,ALL,89FLAT,ANY_DISTANCE,,,
67,4,ALL,commercial heavy railcar,ANY_DISTANCE,,,
67,5,ALL,commercial medium railcar,ANY_DISTANCE,,,
68,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
69,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
70,0,ALL,M1074 PLS,ANY_DISTANCE,,,
70,1,ALL,M1075 PLS,ANY_DISTANCE,,,
70,2,ALL,M1083 WOWN 5-Ton MTV,ANY_DISTANCE,,,
70,3,ALL,M1083 WWN 5-TON MTV,ANY_DISTANCE,,,
70,4,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,5,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,6,ALL,M818 5-Ton Tractor/M128 12-Ton Semitrailer,ANY_DISTANCE,,,
70,7,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,8,ALL,M915A2 25-Ton Tractor/M872A3 34-Ton Semitrailer,ANY_DISTANCE,,,
70,9,ALL,M915A2 25-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
70,10,ALL,Commercial 10-Ton Tractor/Commercial Semitrailer,ANY_DISTANCE,,,
71,0,ALL,50FLAT,ANY_DISTANCE,,,
71,1,ALL,68FLAT,ANY_DISTANCE,,,
71,2,ALL,75FLAT,ANY_DISTANCE,,,
71,3,ALL,89FLAT,ANY_DISTANCE,,,
71,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
72,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
73,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
74,0,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
75,0,ALL,commercial heavy railcar,ANY_DISTANCE,,,
75,1,ALL,68FLAT,ANY_DISTANCE,,,
75,2,ALL,75FLAT,ANY_DISTANCE,,,
75,3,ALL,commercial medium railcar,ANY_DISTANCE,,,
76,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
77,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
78,0,ALL,Commercial Bus 45-pax,ANY_DISTANCE,,,
79,0,ALL,passenger railcar,ANY_DISTANCE,,,
80,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
81,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
82,0,ALL,Road (SELF),MAXIMUM_DISTANCE,4000.0,,
82,1,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
82,2,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
82,3,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
83,0,ALL,89FLAT,ANY_DISTANCE,,,
83,1,ALL,commercial medium railcar,ANY_DISTANCE,,,
83,2,ALL,commercial heavy railcar,ANY_DISTANCE,,,
84,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
85,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
86,0,ALL,Road (SELF),MAXIMUM_DISTANCE,400.0,,
87,0,ALL,68FLAT,ANY_DISTANCE,,,
87,1,ALL,75FLAT,ANY_DISTANCE,,,
87,2,ALL,commercial heavy railcar,ANY_DISTANCE,,,
87,3,ALL,commercial medium railcar,ANY_DISTANCE,,,
88,0,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
88,1,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
88,2,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
89,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
90,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
91,0,ALL,Road (SELF),MAXIMUM_DISTANCE,750.0,,
92,0,ALL,50FLAT,ANY_DISTANCE,,,
92,1,ALL,68FLAT,ANY_DISTANCE,,,
92,2,ALL,75FLAT,ANY_DISTANCE,,,
92,3,ALL,89FLAT,ANY_DISTANCE,,,
92,4,ALL,commercial medium railcar,ANY_DISTANCE,,,
92,5,ALL,commercial multi level,ANY_DISTANCE,,,
93,0,ALL,M1088 WOWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
93,1,ALL,M1088 WWN MTV Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
93,2,ALL,M123 10-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
93,3,ALL,M123 10-Ton Tractor/M870 40-Ton Lowbed,ANY_DISTANCE,,,
93,4,ALL,M818 5-Ton Tractor/M172 25-Ton Lowbed,ANY_DISTANCE,,,
93,5,ALL,M818 5-Ton Tractor/M871A2 22.5-Ton Semitrailer,ANY_DISTANCE,,,
93,6,ALL,M1070 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
93,7,ALL,M911 HET Tractor/M1000 70-Ton HET Trailer,ANY_DISTANCE,,,
93,8,ALL,M911 HET Tractor/M747 60-Ton HET Trailer,ANY_DISTANCE,,,
94,0,ALL,Water (ANY ASSET),ANY_DISTANCE,,,
95,0,ALL,Air (ANY ASSET),ANY_DISTANCE,,,
96,0,ALL,Road (SELF),MAXIMUM_DISTANCE,10.0,,
97,0,ALL,commercial heavy railcar,ANY_DISTANCE,,,
98,0,ALL,Commercial HET Tractor/Commercial HET Trailer,ANY_DISTANCE,,,
