RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
0HEEC,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,P,,35692,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55728L200
0HEEP,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,C,,35692,,,,,170,0,CO,170,,,,Y,,,false,false,,,,55728L200
0HEHC,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,P,,35690,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55727L100
0HEHP,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,C,,35690,,,,,169,0,CO,169,,,,Y,,,false,false,,,,55727L100
0HHD,A,7,HHC PSYOP BATTALION,,,PHNEE,C,,34319,,,,,100,0,HHC,100,,,,Y,,,false,false,,,,33706L000
0HNBC,A,7,TRANS LIGHT MDM TRUCK CO,,,U5BNN,P,,35686,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0HNBP,A,7,TRANS LIGHT MDM TRUCK CO,,,U5BNN,C,,35686,,,,,109,0,CO,109,,,,Y,,,false,false,,,,
0HVCC,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,P,,35690,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55727L100
0HVCP,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,C,,35690,,,,,169,0,CO,169,,,,Y,,,false,false,,,,55727L100
0J1EC,A,7,FINANCE SUPPORT UNIT,,,S4322,P,,32020,,,,,0,0,U,0,,,,Y,,,false,false,,,,
0J1EP,A,7,FINANCE SUPPORT UNIT,,,S4322,C,,32020,,,,,66,0,U,93,,,,Y,,,false,false,,,,
0JAAC,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,N,,,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0JAAP,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,C,,,,,,,170,0,CO,170,,,,Y,,,false,false,,,,55728L200
0JKBC,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,P,,35692,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55728L200
0JKBP,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,C,,35692,,,,,170,0,CO,170,,,,Y,,,false,false,,,,55728L200
0JLBC,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,P,,35692,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55728L200
0JLDP,A,7,T MDM TRK CO 5000 GAL TAN,,,U7BNN,C,,35704,,,,,166,0,CO,166,,,,Y,,,false,false,,,,55727L200
0JXC,A,7,ENGR FFTG TM   FIRE TRUCK,,,49ZFF,S,,31573,,,,,6,0,TM,6,,,,Y,,,false,false,,,,
0KFA,A,7,COMBAT HET CO,,,U4477,N,,,,,,,0,0,CO,298,,,,Y,,,false,false,,,,
0KFBC,A,7,INF BN  MECH,,,05TTT,P,,02002,,,,,0,0,BN,0,,,,Y,,,false,false,,,,07245L000
0KFBP,A,7,INF BN  MECH,,,05TTT,C,,02002,,,,,821,0,BN,821,,,,Y,,,false,false,,,,07245L000
0KGA,A,7,COMBAT HET CO,,,U4477,N,,,,,,,0,0,CO,298,,,,Y,,,false,false,,,,
0KGBC,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,P,,35692,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55728L200
0KGBP,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,C,,35692,,,,,170,0,CO,170,,,,Y,,,false,false,,,,55728L200
0KHA,A,7,COMBAT HET CO,,,U4477,N,,,,,,,0,0,CO,298,,,,Y,,,false,false,,,,
0LAA,A,7,"HHC, AIRBORNE CORPS",,,CAAAC,N,,,,,,,220,0,HHC,220,,,,Y,,,false,false,,,,
0LAB,A,7,"HHC, AIRBORNE CORPS",,,C99BB,N,,,,,,,150,0,HHC,150,,,,Y,,,false,false,,,,
0LBGC,A,7,SMOKE GENERATOR CO  MECH,,,GXVVV,P,,,,,,,0,0,CO,0,,,,Y,,,false,false,,,,03437L000
0LBGP,A,7,SMOKE GENERATOR CO  MECH,,,GXVVV,C,,,,,,,111,0,CO,111,,,,Y,,,false,false,,,,03437L000
0MAAC,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,P,,,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55728L200
0MAAP,A,7,T MDM TRK CO 5000 GAL TAN,,,UBBNN,C,,,,,,,170,0,CO,170,,,,Y,,,false,false,,,,55728L200
0MBDC,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,P,,35690,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55727L100
0MBDP,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,C,,35690,,,,,169,0,CO,169,,,,Y,,,false,false,,,,55727L100
0MBKC,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,P,,35690,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55727L100
0MBKP,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,C,,35690,,,,,169,0,CO,169,,,,Y,,,false,false,,,,55727L100
