RLN,Category,Mtons,Stons
0YBKC,NAT,0,0
0YBKC,OUT,60,19.1
0YBKC,OVR,1222,244.199997
0YBKP,BLK,0,0
0YBKP,NAT,0,0
0YBKP,OUT,0,0
0YBKP,OVR,0,0
0YBLC,BLK,33,13.5
0YBLC,NAT,0,0
0YBLC,OUT,60,19.1
0YBLC,OVR,1222,244.199997
0YBLP,BLK,0,0
0YBLP,NAT,0,0
0YBLP,OUT,0,0
0YBLP,OVR,0,0
0YBMC,BLK,49,19.9
0YBMC,NAT,0,0
0YBMC,OUT,180,57.299999
0YBMC,OVR,1059,214.600006
0YBMP,BLK,0,0
0YBMP,NAT,0,0
0YBMP,OUT,0,0
0YBMP,OVR,0,0
0YBNC,BLK,69,28
0YBNC,NAT,0,0
0YBNC,OUT,111,30.1
0YBNC,OVR,2503,475.899994
0YBNP,BLK,0,0
0YBNP,NAT,0,0
0YBNP,OUT,0,0
0YBNP,OVR,0,0
0YBPC,BLK,14,3.3
0YBPC,NAT,0,0
0YBPC,OUT,75,21
0YBPC,OVR,933,193.699997
0YBPP,BLK,0,0
0YBPP,NAT,0,0
0YBPP,OUT,0,0
0YBPP,OVR,0,0
0YBQC,BLK,43,17.299999
0YBQC,NAT,0,0
0YBQC,OUT,60,19.1
0YBQC,OVR,643,126.5
0YBQP,BLK,0,0
0YBQP,NAT,0,0
0YBQP,OUT,0,0
0YBQP,OVR,0,0
0YBRC,BLK,42,14.7
0YBRC,NAT,0,0
0YBRC,OUT,0,0
0YBRC,OVR,431,153.899994
0YBRP,BLK,0,0
0YBRP,NAT,0,0
0YBRP,OUT,0,0
0YBRP,OVR,0,0
0YBSC,BLK,42,14.7
0YBSC,NAT,0,0
0YBSC,OUT,0,0
0YBSC,OVR,431,153.899994
0YBSP,BLK,0,0
0YBSP,NAT,0,0
0YBSP,OUT,0,0
0YBSP,OVR,0,0
0YBTC,BLK,29,11.4
0YBTC,NAT,0,0
0YBTC,OUT,0,0
0YBTC,OVR,380,107.400002
0YBTP,BLK,0,0
