RLN,Origin,RLD,POEModeSource,POE,ALD,PODModeSource,POD,EAD,LAD,DestModeSource,Destination,RDD,JopesPriority,PriorityAddOn,PODDischargeConstraint,PODLoadConfigCode,DestDischargeConstraint,DestLoadConfigCode
00GF,HCTL,0,LG,ZBES,14,SE,HNTS,20,24,LD,WSVC,25,214,,,,,
00GFA,HCTL,0,LG,TMKH,20,AK,FUQN,20,24,LD,WSVC,25,214,,,,,
00GG,HCTL,0,LM,TMKH,20,AK,FUQN,20,24,LD,WSVC,25,214,,,,,
00GH,HCTL,0,LG,ZBES,14,SE,HNTS,20,24,LD,WSVC,25,214,,,,,
00GHA,HCTL,0,LG,TMKH,20,AK,FUQN,20,24,LD,WSVC,25,214,,,,,
00HB,HCTL,4,LM,TMKH,13,AK,FUQN,12,15,LD,WSVC,18,214,,,,,
00HC,HCTL,4,LM,TMKH,14,AK,FUQN,12,15,LD,WSVC,18,214,,,,,
00HDC,HCTL,0,LG,ZBES,14,SE,HNTS,14,15,LD,WSVC,18,214,,,,,
00HDP,HCTL,0,LM,TMKH,15,AK,FUQN,14,15,LD,WSVC,18,214,,,,,
00HE,HCTL,4,LM,TMKH,14,AK,FUQN,12,15,LD,WSVC,18,214,,,,,
00HF,HCTL,4,LM,TMKH,14,AK,FUQN,12,15,LD,WSVC,18,214,,,,,
00HG,HCTL,4,LM,TMKH,15,AK,FUQN,12,15,LD,WSVC,18,214,,,,,
00HK,HCTL,4,LM,TMKH,15,AK,FUQN,12,15,LD,WSVC,18,214,,,,,
00HL,HCTL,4,LM,TMKH,15,AK,FUQN,12,15,LD,WSVC,18,214,,,,,
00JC,HCTL,5,LM,DKSD,16,SE,HNTS,19,25,LD,WSVC,27,214,,,,,
00JCC,HCTL,11,LM,TMKH,19,AK,FUQN,19,25,LD,WSVC,27,214,,,,,
00JCP,HCTL,11,LM,TMKH,19,AK,FUQN,19,25,LD,WSVC,27,214,,,,,
00JD,HCTL,5,LG,DKSD,16,SE,HNTS,19,25,LD,WSVC,27,214,,,,,
00JDA,HCTL,11,LM,TMKH,19,AK,FUQN,19,25,LD,WSVC,27,214,,,,,
00JE,HCTL,11,LM,TMKH,19,AK,FUQN,19,25,LD,WSVC,27,214,,,,,
