ScenarioName,Rln,CargoId,Location,FromLocation,ToLocation,Ccc,Mode,ClosureTimePeriod,Rdd,CloseDay,Cargo,Pax,Pol,AirStons,Bulk,Over,Out,AirPax,SeaStons,Area,Vol,Cntr,SeaPax,SeaPol
metadata-scenario,1:0QAAC,1:0QAAC.J3B0001 et al.,WSVC,HNTS,WSVC,J3B,ROAD,10+ Days Late,26,36,11.699999809265137,0,0.0,0.0,0.0,0.0,0.0,0,11.699999809265137,0.0,0.0,11.699999809265137,0,0.0
metadata-scenario,1:03AGC,1:03AGC.A1D0002,NWXN,HNTS,NWXN,A1D,ROAD,Early,34,33,1352.400032043457,0,0.0,0.0,0.0,0.0,0.0,0,1352.400032043457,1352.400032043457,0.0,0.0,0,0.0
metadata-scenario,1:0QAEC,1:0QAEC.R1D0004,HPBF,VKNP,HPBF,R1D,ROAD,3 - 5 Days Late,32,35,18.799999237060547,0,0.0,0.0,0.0,0.0,0.0,0,18.799999237060547,18.799999237060547,0.0,0.0,0,0.0
metadata-scenario,1:03AEC,1:03AEC.A2D0002,WSVC,HNTS,WSVC,A2D,ROAD,Early,40,38,112.5,0,0.0,0.0,0.0,0.0,0.0,0,112.5,112.5,0.0,0.0,0,0.0
metadata-scenario,1:0TAEC,1:0TAEC.A2D0001,WSVC,HNTS,WSVC,A2D,ROAD,1 - 2 Days Late,32,33,235.0,0,0.0,0.0,0.0,0.0,0.0,0,235.0,235.0,0.0,0.0,0,0.0
metadata-scenario,1:0ZHCC,1:0ZHCC.R2D0007,NWXN,VKNP,NWXN,R2D,ROAD,10+ Days Late,34,49,2.9000000953674316,0,0.0,0.0,0.0,0.0,0.0,0,2.9000000953674316,2.9000000953674316,0.0,0.0,0,0.0
metadata-scenario,1:03AEC,1:03AEC.R2D0004,WSVC,HNTS,WSVC,R2D,ROAD,Early,40,37,23.399999618530273,0,0.0,0.0,0.0,0.0,0.0,0,23.399999618530273,23.399999618530273,0.0,0.0,0,0.0
metadata-scenario,1:0YCBC,1:0YCBC.R2D0005,WSVC,HNTS,WSVC,R2D,ROAD,10+ Days Late,37,48,4.300000190734863,0,0.0,0.0,0.0,0.0,0.0,0,4.300000190734863,4.300000190734863,0.0,0.0,0,0.0
metadata-scenario,1:0EGBC,1:0EGBC.R1D0005,WSVC,VKNP,WSVC,R1D,ROAD,Early,36,35,10.600000381469727,0,0.0,0.0,0.0,0.0,0.0,0,10.600000381469727,10.600000381469727,0.0,0.0,0,0.0
metadata-scenario,1:0TABC,1:0TABC.R1D0001,OPA1,APFD,OPA1,R1D,ROAD,3 - 5 Days Late,26,29,297.0,0,0.0,0.0,0.0,0.0,0.0,0,297.0,297.0,0.0,0.0,0,0.0
metadata-scenario,1:0EBRC,1:0EBRC.R2D0005,HPBF,HNTS,HPBF,R2D,ROAD,On Time,32,32,25.5,0,0.0,0.0,0.0,0.0,0.0,0,25.5,25.5,0.0,0.0,0,0.0
metadata-scenario,1:0HEDC,1:0HEDC.R2D0005,HNTM,HNTS,HNTM,R2D,ROAD,On Time,24,24,13.999999761581421,0,0.0,0.0,0.0,0.0,0.0,0,13.999999761581421,13.999999761581421,0.0,0.0,0,0.0
metadata-scenario,1:0YAFC,1:0YAFC.R1D0001,WSVC,HNTS,WSVC,R1D,ROAD,6 - 9 Days Late,26,34,117.59999465942383,0,0.0,0.0,0.0,0.0,0.0,0,117.59999465942383,117.59999465942383,0.0,0.0,0,0.0
metadata-scenario,1:03AGC,1:03AGC.J2D0002,NWXN,HNTS,NWXN,J2D,ROAD,On Time,34,34,12.199999809265137,0,0.0,0.0,0.0,0.0,0.0,0,12.199999809265137,12.199999809265137,0.0,0.0,0,0.0
metadata-scenario,1:0EBRC,1:0EBRC.R2D0003,HPBF,HNTS,HPBF,R2D,ROAD,Early,32,30,5.400000095367432,0,0.0,0.0,0.0,0.0,0.0,0,5.400000095367432,5.400000095367432,0.0,0.0,0,0.0
metadata-scenario,1:0YBNC,1:0YBNC.R1D0002,WSVC,VKNP,WSVC,R1D,ROAD,6 - 9 Days Late,37,46,10.100000381469727,0,0.0,0.0,0.0,0.0,0.0,0,10.100000381469727,10.100000381469727,0.0,0.0,0,0.0
metadata-scenario,1:0KFBC,1:0KFBC.A2D0002,WSVC,HNTS,WSVC,A2D,ROAD,10+ Days Late,43,60,212.5,0,0.0,0.0,0.0,0.0,0.0,0,212.5,212.5,0.0,0.0,0,0.0
metadata-scenario,1:0MBKP,1:0MBKP.PAX,HNTM,HNTK,HNTM,PAX,ROAD,Early,24,23,0.0,169,0.0,0.0,0.0,0.0,0.0,169,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0EGBC,1:0EGBC.R1D0007,WSVC,VKNP,WSVC,R1D,ROAD,Early,36,35,225.0,0,0.0,0.0,0.0,0.0,0.0,0,225.0,225.0,0.0,0.0,0,0.0
metadata-scenario,1:03AEC,1:03AEC.J7C0002,WSVC,HNTS,WSVC,J7C,ROAD,10+ Days Late,40,57,0.8000030517578125,0,0.0,0.0,0.0,0.0,0.0,0,0.8000030517578125,0.8000030517578125,0.0,0.0,0,0.0
metadata-scenario,1:0YBPC,1:0YBPC.J3B0001 et al.,WSVC,VKNP,WSVC,J3B,ROAD,10+ Days Late,12,35,3.299999952316284,0,0.0,0.0,0.0,0.0,0.0,0,3.299999952316284,0.0,0.0,3.299999952316284,0,0.0
metadata-scenario,1:0HVCC,1:0HVCC.J7C0001,HNTM,HNTS,HNTM,J7C,ROAD,10+ Days Late,24,57,10.0,0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,0.0,0.0,0,0.0
metadata-scenario,1:00HB,1:00HB.J7C0001,WSVC,FUQN,WSVC,J7C,ROAD,3 - 5 Days Late,18,22,9.0,0,0.0,9.0,9.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0NACC,1:0NACC.J7C0001,HPBF,HNTS,HPBF,J7C,ROAD,On Time,30,30,9.0,0,0.0,0.0,0.0,0.0,0.0,0,9.0,9.0,0.0,0.0,0,0.0
metadata-scenario,1:0DBBP,1:0DBBP.PAX,HPBF,HNTK,HPBF,PAX,ROAD,6 - 9 Days Late,30,36,0.0,28,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:00GC,1:00GC.A2D0001,WSVC,FUQN,WSVC,A2D,ROAD,Early,25,23,4.099999904632568,0,0.0,4.099999904632568,0.0,4.099999904632568,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0QAAC,1:0QAAC.R2B0004,WSVC,HNTS,WSVC,R2B,ROAD,10+ Days Late,26,38,4.5,0,0.0,0.0,0.0,0.0,0.0,0,4.5,4.5,0.0,0.0,0,0.0
metadata-scenario,1:0HEHC,1:0HEHC.R2D0004,HNTM,HNTS,HNTM,R2D,ROAD,1 - 2 Days Late,24,25,8.199999809265137,0,0.0,0.0,0.0,0.0,0.0,0,8.199999809265137,8.199999809265137,0.0,0.0,0,0.0
metadata-scenario,1:00FTC,1:00FTC.J3B0001 et al.,WSVC,VKNP,WSVC,J3B,ROAD,10+ Days Late,27,37,34.099998474121094,0,0.0,0.0,0.0,0.0,0.0,0,34.099998474121094,0.0,0.0,34.099998474121094,0,0.0
metadata-scenario,1:AR00046,1:AR00046.GAD,HNTM,HNTS,HNTM,GAD,ROAD,1 - 2 Days Late,43,45,0.0,0,13.09523868560791,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,13.09523868560791
metadata-scenario,1:03AJC,1:03AJC.A2D0001,NWXN,VKNP,NWXN,A2D,ROAD,On Time,34,34,83.39999771118164,0,0.0,0.0,0.0,0.0,0.0,0,83.39999771118164,83.39999771118164,0.0,0.0,0,0.0
metadata-scenario,1:0YCBC,1:0YCBC.R1D0001,WSVC,HNTS,WSVC,R1D,ROAD,6 - 9 Days Late,37,44,12.699999809265137,0,0.0,0.0,0.0,0.0,0.0,0,12.699999809265137,12.699999809265137,0.0,0.0,0,0.0
metadata-scenario,1:00FG,1:00FG.J7C0001,WSVC,FUQN,WSVC,J7C,ROAD,On Time,17,17,19.0,0,0.0,19.0,19.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0DBDC,1:0DBDC.R2D0006,HPBF,HNTS,HPBF,R2D,ROAD,Early,30,29,3.9000000953674316,0,0.0,0.0,0.0,0.0,0.0,0,3.9000000953674316,3.9000000953674316,0.0,0.0,0,0.0
