pool_num,node_name,is_from_node
6,WERS,1
6,MWXP,1
6,ADNE,1
6,NBJC,1
6,ADNC,1
6,UTKY,1
6,HHKD,1
6,FEQM,1
6,UTUL,1
6,PDZF,1
6,XBPC,1
6,SGPN,1
6,NNLX,1
6,XABS,1
6,JGGZ,1
6,HAWR,1
6,ADNF,1
6,XCQM,1
6,CVPF,1
6,XCYE,1
6,SETE,1
6,KRSM,1
6,PRYV,1
6,UPWV,1
6,SGQM,1
6,WJAP,1
6,MRKT,1
6,MFWM,1
6,PLXL,1
6,LEAS,1
6,ADND,1
6,XUDT,1
6,CTCN,1
6,HAYW,1
6,UTKS,1
6,TQJF,1
6,QYZH,1
6,SERB,1
6,HEPT,1
6,ADNR,1
6,TDHV,1
6,GFPP,1
6,VLLM,1
6,ADNK,1
6,BXRH,1
6,SESW,1
6,PDZE,1
6,XDMT,1
6,WMSA,1
6,DERM,1
6,TDKA,1
6,USDV,1
6,XSHL,1
6,YSYV,1
6,KHSH,1
6,UTLN,1
6,EDWC,1
6,TQKG,1
6,ADNG,1
6,JEGW,1
6,UTSE,1
6,TZHY,1
6,UCTE,1
6,NTNB,1
6,TQJG,1
6,ADNB,1
6,MJNV,1
6,GLRZ,1
6,EUFG,1
6,BASD,1
6,MVHZ,1
6,FDHB,1
6,EDUJ,1
6,EWYN,1
6,UCTL,1
6,FXBM,1
6,GHZO,1
6,DPEV,1
6,SERJ,1
6,USUJ,1
6,ZFNU,1
6,GHLN,1
6,QCQQ,1
6,XABT,1
6,UWGE,1
6,SERS,1
6,QMSN,1
6,XCQN,1
6,XDAT,1
6,UTLY,1
6,ADNA,1
6,XSHO,1
6,EKWW,1
6,ETVM,1
6,HJMC,1
6,SHAR,1
6,UJKH,1
6,FLUP,1
6,KRSQ,1
6,HCTG,1
6,DESR,1
6,URPB,1
6,KHST,1
6,UTLS,1
6,FERR,1
6,PYVR,1
6,VRES,1
6,UTRY,1
6,GRRY,1
6,KJGR,1
6,VYTD,1
6,SERU,1
6,XABX,1
6,DPEZ,1
6,HDDL,1
6,FLMT,1
6,PRJY,1
6,BXRM,1
6,DPFM,1
6,ARTZ,1
6,XDSV,1
6,GFVP,1
6,GLEN,1
