Geoloc,Name,Day,Enabled,Description,EventPhase,Length,Depth,Width,ApronWidth,TankerLoadRate,PolConnections
APGW,APGWVISA      01,0,true,,,9999,99,800,60,2000,0
JSSN,JSSNVISA      01,0,true,,,9999,99,800,60,2000,0
BQWA,BQWAVISA      01,0,true,,,9999,99,800,60,2000,0
AVBU,all-purpose berth-AVBU Terminal-19773,0,true,,,5000,55,800,120,2000,0
AEQT,AEQTVISA      01,0,true,,,9999,99,800,60,2000,0
ZLVW,ZLVWBBULK/RORO01,0,true,,,2624,39,800,60,2000,0
ZLVW,ZLVWBBULK/RORO02,0,true,,,721,34,800,60,2000,0
ZLVW,ZLVWBREAKBULK 01,0,true,,,557,34,800,60,2000,0
ZLVW,ZLVWGENERAL PU01,0,true,,,5851,45,800,60,2000,0
TPPR,TPPRGENERAL PU01,0,true,,,2000,36,800,60,2000,0
TPPR,TPPRVISA      01,0,true,,,9999,99,800,60,2000,0
JJRP,JJRPVISA      01,0,true,,,9999,99,800,60,2000,0
JTVH,GULFPORT all-purpose berth-JTVH,0,true,,,5000,55,800,120,2000,0
REPV,REPVBBULK/AMMO01,0,true,,,750,37,800,60,2000,0
REPV,REPVBBULK/CONT01,0,true,,,1000,37,800,60,2000,0
REPV,REPVBBULK/RORO01,0,true,,,1067,34,800,60,2000,0
REPV,REPVBBULK/RORO02,0,true,,,1554,34,800,60,2000,0
REPV,REPVBBULK/RORO03,0,true,,,505,34,800,60,2000,0
REPV,REPVBBULK/RORO04,0,true,,,501,34,800,60,2000,0
REPV,REPVVISA      01,0,true,,,9999,99,800,60,2000,0
LWEV,LWEVBBULK/RORO01,0,true,,,3280,44,800,60,2000,0
LWEV,LWEVGENERAL PU01,0,true,,,1968,44,800,60,2000,0
LWEV,LWEVGENERAL PU02,0,true,,,1640,44,800,60,2000,0
LWEV,LWEVGENERAL PU03,0,true,,,5562,37,800,60,2000,0
FMAZ,FMAZVISA      01,0,true,,,9999,99,800,60,2000,0
RRHU,RRHUVISA      01,0,true,,,9999,99,800,60,2000,0
NBDY,NBDYVISA      01,0,true,,,9999,99,800,60,2000,0
TKDW,TKDWBBULK/CONT01,0,true,,,1787,24,800,60,2000,0
TKDW,TKDWBBULK/CONT02,0,true,,,557,31,800,60,2000,0
TKDW,TKDWBBULK/RORO01,0,true,,,2453,36,800,60,2000,0
TKDW,TKDWBBULK/RORO02,0,true,,,656,36,800,60,2000,0
TKDW,TKDWBBULK/RORO03,0,true,,,2545,36,800,60,2000,0
TKDW,TKDWBBULK/RORO04,0,true,,,787,39,800,60,2000,0
TKDW,TKDWBBULK/RORO05,0,true,,,1056,39,800,60,2000,0
TKDW,TKDWGENERAL PU01,0,true,,,810,36,800,60,2000,0
TKDW,TKDWGENERAL PU02,0,true,,,639,36,800,60,2000,0
TKDW,TKDWGENERAL PU03,0,true,,,738,33,800,60,2000,0
TKDW,TKDWGENERAL PU04,0,true,,,1640,36,800,60,2000,0
WMPT,WMPTBBULK/AMMO01,0,true,,,2000,38,800,60,2000,0
WMPT,WMPTBREAKBULK 01,0,true,,,2000,38,800,60,2000,0
WMPT,WMPTCONT/AMMO 01,0,true,,,2000,38,800,60,2000,0
GPEN,GPENVISA      01,0,true,,,9999,99,800,60,2000,0
YRTK,YRTKGENERAL PU01,0,true,,,2000,45,800,60,2000,0
LCMT,LCMTVISA      01,0,true,,,9999,99,800,60,2000,0
JWJY,JWJYVISA      01,0,true,,,9999,99,800,60,2000,0
WPVT,TACOMA all-purpose berth-WPVT,0,true,,,5000,55,800,120,2000,0
DRUG,DRUGBREAKBULK 01,0,true,,,600,36,800,60,2000,0
DRUG,DRUGGENERAL PU01,0,true,,,1053,40,800,60,2000,0
ALRF,ALRFVISA      01,0,true,,,9999,99,800,60,2000,0
AMCQ,AMCQGENERAL PU01,0,true,,,9999,99,800,60,2000,0
KZPH,KZPHVISA      01,0,true,,,9999,99,800,60,2000,0
CHCY,CHCYBBULK/RORO01,0,true,,,5000,35,800,60,2000,0
CHCY,CHCYBBULK/RORO02,0,true,,,6300,28,800,60,2000,0
CHCY,CHCYBBULK/RORO03,0,true,,,738,39,800,60,2000,0
CHCY,CHCYGENERAL PU01,0,true,,,7200,40,800,60,2000,0
CHCY,CHCYGENERAL PU02,0,true,,,1150,40,800,60,2000,0
CHCY,CHCYGENERAL PU03,0,true,,,1312,40,800,60,2000,0
MZJK,MZJKVISA      01,0,true,,,9999,99,800,60,2000,0
RUAQ,RUAQ BG,0,true,,,1000,50,800,120,2000,0
LKPE,LKPEBBULK/AMMO01,0,true,,,660,55,800,60,2000,0
LKPE,LKPECONT/AMMO 01,0,true,,,1000,55,800,60,2000,0
LRNC,LRNCVISA      01,0,true,,,9999,99,800,60,2000,0
ZMJJ,ZMJJVISA      01,0,true,,,9999,99,800,60,2000,0
WQZM,WQZMVISA      01,0,true,,,9999,99,800,60,2000,0
UMXA,UMXAALL-PURPOS01,0,true,,,1148,40,800,120,2000,0
UMXA,UMXABBULK/RORO01,0,true,,,1148,40,800,60,2000,0
JYPN,JYPNVISA      01,0,true,,,9999,99,800,60,2000,0
HAGC,HAGCVISA      01,0,true,,,9999,99,800,60,2000,0
UTVT,UTVTGENERAL PU01,0,true,,,9999,99,800,60,2000,0
UTVT,UTVTVISA      01,0,true,,,9999,99,800,60,2000,0
EGNN,EGNNBBULK/AMMO01,0,true,,,1180,35,800,60,2000,0
EGNN,EGNNBBULK/AMMO02,0,true,,,1220,35,800,60,2000,0
EGNN,EGNNCONT/AMMO 01,0,true,,,1220,35,800,60,2000,0
PKVP,PKVPBBULK/RORO01,0,true,,,1377,30,800,60,2000,0
PKVP,PKVPBBULK/RORO02,0,true,,,1377,36,800,60,2000,0
