Name,GeolocCode,Active,FromDay,ToDay,CraneType,Quantity,ContainerOffloadRate,ContainerOnloadRate,BreakbulkOffloadRate,BreakbulkOnloadRate,ServesAll
UNAPBBULK/RORO22_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO23_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO24_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO25_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU01_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU02_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU03_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU04_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU05_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU06_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU07_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPGENERAL PU08_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPVISA      01_Crane,UNAP,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
LYRVVISA      01_Crane,LYRV,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
AELUVISA      01_Crane,AELU,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
NNWHVISA      01_Crane,NNWH,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
ABFLBBULK/RORO01_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBBULK/RORO02_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBBULK/RORO03_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBBULK/RORO04_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBBULK/RORO05_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBBULK/RORO06_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBBULK/RORO07_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBBULK/RORO08_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLBREAKBULK 01_Crane,ABFL,true,-999,99999,MOBILE,1,450,450,1800,1800,false
ABFLBREAKBULK 02_Crane,ABFL,true,-999,99999,MOBILE,1,450,450,1800,1800,false
ABFLGENERAL PU01_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLGENERAL PU02_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLGENERAL PU03_Crane,ABFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ABFLVISA      01_Crane,ABFL,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MobCranes: ASHTART -APRJ-PRT,APRJ,true,-999,99999,MOBILE,2,100,100,3000,3000,false
TQKGGENERAL PU01_Crane,TQKG,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TQKGVISA      01_Crane,TQKG,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
QNPWBBULK/RORO01_Crane,QNPW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QNPWBREAKBULK 01_Crane,QNPW,true,-999,99999,MOBILE,1,450,450,1800,1800,false
AJGXVISA      01_Crane,AJGX,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
RELGVISA      01_Crane,RELG,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MobCranes: TUNIS -XJCS-PRT,XJCS,true,-999,99999,MOBILE,2,100,100,3000,3000,false
TVXABBULK/RORO01_Crane,TVXA,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVXABBULK/RORO02_Crane,TVXA,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVXABBULK/RORO03_Crane,TVXA,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVXABREAKBULK 01_Crane,TVXA,true,-999,99999,MOBILE,1,450,450,1800,1800,false
TVXAGENERAL PU01_Crane,TVXA,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TVXAGENERAL PU02_Crane,TVXA,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ADKHBBULK/RORO01_Crane,ADKH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ADKHBBULK/RORO02_Crane,ADKH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ADKHBBULK/RORO03_Crane,ADKH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ADKHGENERAL PU01_Crane,ADKH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MLWYBBULK/RORO01_Crane,MLWY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MLWYBBULK/RORO02_Crane,MLWY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MLWYGENERAL PU01_Crane,MLWY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LYTMJLOTS     01_Crane,LYTM,true,-999,99999,MOBILE,1,750,750,3000,3000,false
LYTMVISA      01_Crane,LYTM,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
