Name,GeolocCode,BerthType,BerthGroup,Active,FromDay,ToDay,Length,ShipSpacing,Depth,Width,ApronWidth,MilitaryAvailable,TankerLoadRate,AllowableCargo,Overhang,PolConnections
QHPBBBULK/RORO02,QHPB,BBULK/RORO,QHPBBBULK/RORO02,false,0,99999,7692,50,37,800,60,true,2000,BOTH,0,0
QHPBBBULK/RORO03,QHPB,BBULK/RORO,QHPBBBULK/RORO03,false,0,99999,3078,50,37,800,60,true,2000,BOTH,0,0
QHPBGENERAL PU01,QHPB,GENERAL PURP,QHPBGENERAL PU01,true,0,99999,4001,50,43,800,60,true,2000,BOTH,0,0
QHPBVISA      01,QHPB,VISA,QHPBVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
QHPDBBULK/RORO01,QHPD,BBULK/RORO,QHPDBBULK/RORO01,true,0,99999,656,50,37,800,60,true,2000,BOTH,0,0
QHPDBBULK/RORO02,QHPD,BBULK/RORO,QHPDBBULK/RORO02,false,0,99999,1312,50,37,800,60,true,2000,BOTH,0,0
QHPDGENERAL PU01,QHPD,GENERAL PURP,QHPDGENERAL PU01,true,0,99999,1968,50,37,800,60,true,2000,BOTH,0,0
QCFFVISA      01,QCFF,VISA,QCFFVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
STRMGENERAL PU01,STRM,GENERAL PURP,STRMGENERAL PU01,true,0,99999,1600,50,40,800,60,true,2000,BOTH,0,0
CWGVVISA      01,CWGV,VISA,CWGVVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
RRQLBBULK/RORO01,RRQL,BBULK/RORO,RRQLBBULK/RORO01,false,0,99999,2000,50,35,800,60,true,2000,BOTH,0,0
RRQLBBULK/RORO02,RRQL,BBULK/RORO,RRQLBBULK/RORO02,false,0,99999,4144,50,35,800,60,true,2000,BOTH,0,0
RRQLBBULK/RORO03,RRQL,BBULK/RORO,RRQLBBULK/RORO03,false,0,99999,2790,50,35,800,60,true,2000,BOTH,0,0
RRQLBREAKBULK 01,RRQL,BREAKBULK,RRQLBREAKBULK 01,false,0,99999,4010,50,35,800,60,true,2000,BOTH,0,0
RRQLBREAKBULK 02,RRQL,BREAKBULK,RRQLBREAKBULK 02,false,0,99999,2150,50,35,800,60,true,2000,BOTH,0,0
RRQLBREAKBULK 03,RRQL,BREAKBULK,RRQLBREAKBULK 03,false,0,99999,2923,50,35,800,60,true,2000,BOTH,0,0
RRQLGENERAL PU01,RRQL,GENERAL PURP,RRQLGENERAL PU01,false,0,99999,5308,50,37,800,60,true,2000,BOTH,0,0
RRQLGENERAL PU02,RRQL,GENERAL PURP,RRQLGENERAL PU02,false,0,99999,2923,50,35,800,60,true,2000,BOTH,0,0
SAVANNAH all-purpose berth-UZXJ,UZXJ,ALL-PURPOSE,SAVANNAH berth group-UZXJ,true,-999,99999,5000,50,55,800,120,true,2000,BOTH,0,0
HMGBVISA      01,HMGB,VISA,HMGBVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
PAXMVISA      01,PAXM,VISA,PAXMVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
XEXWVISA      01,XEXW,VISA,XEXWVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
JACKSONVILLE all-purpose berth-LSGM,LSGM,ALL-PURPOSE,JACKSONVILLE berth group-LSGM,true,-999,99999,5000,50,55,800,120,true,2000,BOTH,0,0
NSANGENERAL PU01,NSAN,GENERAL PURP,NSANGENERAL PU01,false,0,99999,1000,50,45,800,60,true,2000,BOTH,0,0
NSANVISA      01,NSAN,VISA,NSANVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
TNVXVISA      01,TNVX,VISA,TNVXVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
MMGHGENERAL PU01,MMGH,GENERAL PURP,MMGHGENERAL PU01,true,0,99999,2361,50,39,800,60,true,2000,BOTH,0,0
MMGHGENERAL PU02,MMGH,GENERAL PURP,MMGHGENERAL PU02,true,0,99999,918,50,46,800,60,true,2000,BOTH,0,0
MMGHGENERAL PU03,MMGH,GENERAL PURP,MMGHGENERAL PU03,true,0,99999,787,50,37,800,60,true,2000,BOTH,0,0
MMGHGENERAL PU04,MMGH,GENERAL PURP,MMGHGENERAL PU04,true,0,99999,4362,50,46,800,60,true,2000,BOTH,0,0
MMGHRORO      01,MMGH,RORO,MMGHRORO      01,true,0,99999,2427,50,23,800,60,true,2000,BOTH,0,0
MMGHVISA      01,MMGH,VISA,MMGHVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
TGWSVISA      01,TGWS,VISA,TGWSVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO01,UNAP,BBULK/RORO,UNAPBBULK/RORO01,false,0,99999,600,50,36,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO02,UNAP,BBULK/RORO,UNAPBBULK/RORO02,false,0,99999,600,50,36,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO03,UNAP,BBULK/RORO,UNAPBBULK/RORO03,false,0,99999,600,50,36,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO04,UNAP,BBULK/RORO,UNAPBBULK/RORO04,false,0,99999,2283,50,36,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO05,UNAP,BBULK/RORO,UNAPBBULK/RORO05,false,0,99999,500,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO06,UNAP,BBULK/RORO,UNAPBBULK/RORO06,false,0,99999,500,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO07,UNAP,BBULK/RORO,UNAPBBULK/RORO07,false,0,99999,500,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO08,UNAP,BBULK/RORO,UNAPBBULK/RORO08,false,0,99999,500,50,34,800,60,true,2000,BOTH,0,0
UNAPBBULK/RORO09,UNAP,BBULK/RORO,UNAPBBULK/RORO09,false,0,99999,500,50,34,800,60,true,2000,BOTH,0,0
