Name,GeolocCode,TotalNewLimit
VFVNVISA      01,VFVN,2100000000
APGWVISA      01,APGW,2100000000
JSSNVISA      01,JSSN,2100000000
BQWAVISA      01,BQWA,2100000000
berth group-AVBU Terminal-19772,AVBU,2100000000
AEQTVISA      01,AEQT,2100000000
ZLVWBBULK/RORO01,ZLVW,2100000000
ZLVWBBULK/RORO02,ZLVW,2100000000
ZLVWBREAKBULK 01,ZLVW,2100000000
ZLVWGENERAL PU01,ZLVW,2100000000
TPPRGENERAL PU01,TPPR,2100000000
TPPRVISA      01,TPPR,2100000000
JJRPVISA      01,JJRP,2100000000
GULFPORT BG-JTVH Terminal-19783,JTVH,2100000000
REPVBBULK/AMMO01,REPV,2100000000
REPVBBULK/CONT01,REPV,2100000000
REPVBBULK/RORO01,REPV,2100000000
REPVBBULK/RORO02,REPV,2100000000
REPVBBULK/RORO03,REPV,2100000000
REPVBBULK/RORO04,REPV,2100000000
REPVVISA      01,REPV,2100000000
LWEVBBULK/RORO01,LWEV,2100000000
LWEVGENERAL PU01,LWEV,2100000000
LWEVGENERAL PU02,LWEV,2100000000
LWEVGENERAL PU03,LWEV,2100000000
FMAZVISA      01,FMAZ,2100000000
RRHUVISA      01,RRHU,2100000000
NBDYVISA      01,NBDY,2100000000
TKDWBBULK/CONT01,TKDW,2100000000
TKDWBBULK/CONT02,TKDW,2100000000
TKDWBBULK/RORO01,TKDW,2100000000
TKDWBBULK/RORO02,TKDW,2100000000
TKDWBBULK/RORO03,TKDW,2100000000
TKDWBBULK/RORO04,TKDW,2100000000
TKDWBBULK/RORO05,TKDW,2100000000
TKDWGENERAL PU01,TKDW,2100000000
TKDWGENERAL PU02,TKDW,2100000000
TKDWGENERAL PU03,TKDW,2100000000
TKDWGENERAL PU04,TKDW,2100000000
WMPTBBULK/AMMO01,WMPT,2100000000
WMPTBREAKBULK 01,WMPT,2100000000
WMPTCONT/AMMO 01,WMPT,2100000000
GPENVISA      01,GPEN,2100000000
YRTKGENERAL PU01,YRTK,2100000000
LCMTVISA      01,LCMT,2100000000
JWJYVISA      01,JWJY,2100000000
TACOMA berth group-WPVT,WPVT,2100000000
DRUGBREAKBULK 01,DRUG,2100000000
DRUGGENERAL PU01,DRUG,2100000000
ALRFVISA      01,ALRF,2100000000
AMCQGENERAL PU01,AMCQ,2100000000
KZPHVISA      01,KZPH,2100000000
CHCYBBULK/RORO01,CHCY,2100000000
CHCYBBULK/RORO02,CHCY,2100000000
CHCYBBULK/RORO03,CHCY,2100000000
CHCYGENERAL PU01,CHCY,2100000000
CHCYGENERAL PU02,CHCY,2100000000
CHCYGENERAL PU03,CHCY,2100000000
MZJKVISA      01,MZJK,2100000000
RUAQ BG,RUAQ,2100000000
LKPEBBULK/AMMO01,LKPE,2100000000
LKPECONT/AMMO 01,LKPE,2100000000
LRNCVISA      01,LRNC,2100000000
ZMJJVISA      01,ZMJJ,2100000000
WQZMVISA      01,WQZM,2100000000
UMXAALL-PURPOS01,UMXA,2100000000
UMXABBULK/RORO01,UMXA,2100000000
JYPNVISA      01,JYPN,2100000000
HAGCVISA      01,HAGC,2100000000
UTVTGENERAL PU01,UTVT,2100000000
UTVTVISA      01,UTVT,2100000000
EGNNBBULK/AMMO01,EGNN,2100000000
EGNNBBULK/AMMO02,EGNN,2100000000
EGNNCONT/AMMO 01,EGNN,2100000000
PKVPBBULK/RORO01,PKVP,2100000000
PKVPBBULK/RORO02,PKVP,2100000000
PKVPGENERAL PU01,PKVP,2100000000
PCFGVISA      01,PCFG,2100000000
PCFCVISA      01,PCFC,2100000000
MOREHEAD CITY BG-QTUP -19792,QTUP,2100000000
ZNMCBBULK/RORO01,ZNMC,2100000000
ZNMCBBULK/RORO02,ZNMC,2100000000
ZNMCBBULK/RORO03,ZNMC,2100000000
ZNMCBBULK/RORO04,ZNMC,2100000000
ZNMCGENERAL PU01,ZNMC,2100000000
ZNMCGENERAL PU02,ZNMC,2100000000
ZNMCGENERAL PU03,ZNMC,2100000000
ZNMCGENERAL PU04,ZNMC,2100000000
ZNMCGENERAL PU05,ZNMC,2100000000
ZNMCRORO      01,ZNMC,2100000000
ZNMCVISA      01,ZNMC,2100000000
UYQRBREAKBULK 01,UYQR,2100000000
UYQRGENERAL PU01,UYQR,2100000000
TPRWVISA      01,TPRW,2100000000
LUTPBBULK/RORO01,LUTP,2100000000
LUTPBBULK/RORO02,LUTP,2100000000
LUTPBBULK/RORO03,LUTP,2100000000
LUTPBBULK/RORO04,LUTP,2100000000
LUTPBBULK/RORO05,LUTP,2100000000
LUTPBBULK/RORO06,LUTP,2100000000
LUTPBBULK/RORO07,LUTP,2100000000
LUTPBBULK/RORO08,LUTP,2100000000
LUTPBBULK/RORO09,LUTP,2100000000
LUTPBBULK/RORO10,LUTP,2100000000
LUTPBBULK/RORO11,LUTP,2100000000
LUTPGENERAL PU01,LUTP,2100000000
LUTPGENERAL PU02,LUTP,2100000000
LUTPRORO      01,LUTP,2100000000
LUTPVISA      01,LUTP,2100000000
LONG BEACH berth group-NPTU,NPTU,2100000000
XVRVVISA      01,XVRV,2100000000
HUPRVISA      01,HUPR,2100000000
WYKZVISA      01,WYKZ,2100000000
CWCPVISA      01,CWCP,2100000000
WILMINGTON berth group-ZBES,ZBES,2100000000
