Utc,Ulc,UtcShortName,Service,AuthPers,Pax,Cbbls,UtcLongName,DeployIndCode,SecurityClass,UtcStatus,OriginatorUic,RecordIndicator,ReferenceDoc,ReplacerUtc,CreateDate,ChangeDate,CancelDate,Configuration
40512,ELE,NCFSU ECH12 TRA,N,0,0,0,NCFSU ECH12 TRANSM LINE EQUIP,E,U,A,N00025,,OPNAV 41P3,,Dec 17 2086,Mar 20 2091,,7
40513,ELE,NCFSU ECH13 EAR,N,0,0,0,NCFSU ECH13 EARTH MOVE+COMPAC,E,U,A,N00025,,OPNAV 41P3,,Dec 17 2086,Jun 03 2099,,7
40514,ELE,NCFSU ECH14 QUA,N,0,0,0,NCFSU ECH14 QUARRY CRUSHER EQ,E,U,A,N00025,,OPNAV 41P3,,Dec 17 2086,Jun 03 2099,,7
40601,TM,UCT,N,55,55,0,UCT,1,U,A,N00025,,OPNAVINST 5450-198A,,Dec 17 2086,Mar 20 2091,,7
40602,DET,UCT AIR DET,N,15,15,0,UCT AIR DET,1,U,A,N00025,,OPNAVINST 5450.198A,,Dec 17 2086,Jul 17 2090,,7
40603,DET,UCT WO/AIR DET,N,10,10,0,UCT LESS AIR DET,1,U,A,N00025,,OPNAVINST 5450.198A,,Dec 17 2086,Feb 11 2098,,7
40604,DET,UCT ARCTIC DET,N,15,15,0,UCT ARCTIC DET,5,U,A,N00025,,OPNAVINST 5450.198A,,Jun 23 2088,Feb 11 2098,,7
40701,U,CBU (PAX ONLY),N,50,50,0,CBU (PAX ONLY),5,U,A,N00025,,OPNAVINST 5450.46,,Dec 17 2086,Feb 11 2098,,7
40703,NSL,CBU FLTHOSP SPT,N,35,35,0,CBU FLEET HOSP SUPP PERS (PAX ONLY),5,U,A,N00025,,OPNAVINST 5450.46,,Oct 16 2090,Feb 11 2098,,7
40751,NSL,***CANCELLED***,N,0,98021,0,CBHU,,U,C,N00025,,,,Oct 16 2090,Feb 11 2098,,7
40801,U,CBMU,N,278,278,0,CBMU,1,U,A,N00025,,OPNAV 41P3,,Dec 17 2086,Mar 20 2091,,7
41D77,CO,"ENGR CO,ENGR BN",A,94,94,0,ENGR CO ENGR BN HVY DIV,1,U,A,W0ZUFF,,05337L000100,,Mar 06 2091,Jul 21 2003,,7
41SNN,PLT,PLATOON HQS,A,3,2012,0,PLATOON HQS,,U,C,W0ZUFF,,05540LJ00100,,Sep 24 2086,Jan 22 2002,,7
41ZZZ,BN,"ENGR BN, ABN DI",A,447,447,0,"ENGR BN, ABN DIV",1,U,A,W0ZUFF,,05025A000100,,Aug 25 2099,Jul 21 2003,,7
42433,CO,"ENGR CO, PIPELI",A,173,173,0,ENGR CO  PIPELINE CONST,1,U,A,W0ZUFF,,05434L000100,,Dec 04 2086,Jul 21 2003,,7
42B77,HHD,"HHD, ENGINEER B",A,61,61,0,HHD  ENGINEER BRIGADE,1,U,A,W0ZUFF,,05332L000100,,Nov 06 2089,Jul 21 2003,,7
42FEE,TM,QUARRY TEAMS,A,56,56,0,QUARRY TEAMS,1,U,A,W0ZUFF,,05520LC00100,,Jun 15 2087,Jul 21 2003,,7
42SNN,HHC,"HHC,ENGR BDE,TH",A,124,124,0,HHC ENGR BDE THEATER ARMY,1,U,A,W0ZUFF,,05602L000100,,Sep 24 2086,Jul 21 2003,,7
42ZZZ,BN,ENGR BN INF DIV,A,423,423,0,ENGR BN INF DIV LT,1,U,A,W0ZUFF,,05155A000100,,Aug 25 2099,Jul 21 2003,,7
4300U,NSL,ABFC A18 OICC,N,25,25,0,ABFC A18 OICC W/O FACILITIES,1,U,A,N00025,,OPNAV 41P3,,Dec 17 2086,Jan 16 2091,,7
4300W,NSL,***CANCELLED***,N,0,98021,0,ABFC A18 OICC W/FACILITIES,,U,C,N00025,,,,Dec 17 2086,Feb 11 2098,,7
43PPP,TM,ENGR EQUIP OP T,A,15,2071,0,ENGR EQUIP OP TEAMS,,U,C,W0Z2AA,,05520H6GH100,,May 14 2076,Jul 19 2002,,7
43RNN,HHC,"HHC, ENGR BN, A",A,153,153,0,HHC  ENGR BN  ABN DIV,1,U,A,W0ZUFF,,05026L000100,,Sep 24 2086,Jan 22 2002,,7
43SNN,HHC,"HHC, ENGR TOPO",A,68,68,0,HHC  ENGR TOPO BN  TA,1,U,A,W0ZUFF,,05606L000100,,Sep 24 2086,Jul 21 2003,,7
43ZZZ,BN,ENGR BN AIR ASS,A,451,451,0,ENGR BN AIR ASSLT DIV,1,U,A,W0ZUFF,,05215A000100,,Aug 25 2099,Jul 21 2003,,7
44101,HQ,HOMEPORT NCR HQ,N,189,189,0,HOMEPORT NCR HQ STAFF,5,U,A,N00011,,COMRNCFINST 3000.1,,Dec 29 2086,Dec 29 2086,,7
44222,CO,"ENGR CO, ACR",A,174,174,0,ENGR CO  ACR,1,U,A,W0ZUFF,,05113L000100,,Dec 26 2085,Jul 21 2003,,7
44333,HHC,"HHC, ENGR GROUP",A,86,0,0,"HHC, ENGR GROUP (CONST)",1,U,A,W0ZUFF,V,05412C100100,,Jul 21 2003,Jul 21 2003,,7
44444,BN,"ENGR BN, ABN DI",A,435,435,0,ENGR BN  ABN DIV,1,U,A,W0ZUFF,,05025L000100,,Aug 28 2085,Jan 22 2002,,7
44533,CO,"ENGR CO,ASSLT F",A,183,183,0,ENGR CO ASSLT FLTBRG  RIB,1,U,A,W0ZUFF,,05493L100100,,Dec 04 2086,Jul 21 2003,,7
44D77,PLT,"SUPPORT PLT,ENG",A,58,58,0,SUPPORT PLT ENGR BN HVY D,1,U,A,W0ZUFF,,05536L000100,,Mar 06 2091,Apr 15 2099,,7
44FEE,TM,REAL ESTATE TEA,A,15,15,0,REAL ESTATE TEAM,1,U,A,W0ZUFF,,05530LF00100,,Jun 15 2087,Jul 21 2003,,7
44RNN,CO,"ENGR CO, ENGR B",A,94,94,0,ENGR CO  ENGR BN  ABN DIV,1,U,A,W0ZUFF,,05027L000100,,Sep 24 2086,Jan 22 2002,,7
44SNN,CO,TOPO ENGR CO,A,119,119,0,TOPO ENGR CO,1,U,A,W0ZUFF,,05607L000100,,Sep 24 2086,Jul 21 2003,,7
44ZZZ,TM,ENGR FFTG TM -,A,4,4,0,ENGR FFTG TM - FFTG HQ,1,U,A,W0ZUFF,,05510AA00100,,Aug 25 2099,Jul 21 2003,,7
45333,HHC,"HHC, ENGR GROUP",A,75,0,0,"HHC, ENGR GROUP (CBT)",1,U,A,W0ZUFF,V,05412C200100,,Jul 21 2003,Jul 21 2003,,7
45533,CO,***CANCELLED***,A,0,99080,0,ENGR CO ASSLT FLTBRG M4T6,,U,C,W0ZUFF,,,,Dec 04 2086,Aug 04 2099,,7
45QNN,BN,"ENGR COMBAT BN,",A,643,643,0,ENGR COMBAT BN  HEAVY,1,U,A,W0ZUFF,,05415L000100,,Jun 06 2086,Jul 21 2003,,7
45ZZZ,TM,ENGR FFTG TM -,A,7,7,0,ENGR FFTG TM - FIRE TRUCK,1,U,A,W0ZUFF,,05510AB00100,,Aug 25 2099,Jul 21 2003,,7
46333,CO,ENGR PORT OPENI,A,191,0,0,ENGR PORT OPENING CO,1,U,A,W0ZUFF,V,05603C000100,,Jul 21 2003,Jul 21 2003,,7
46533,TM,"HHD, ENG BN",A,39,40,0,ENG TM   BN HQ,1,U,A,W0ZUFF,Y,05500LA00100,,Dec 04 2086,Jul 21 2003,,7
